item,treatment,outcome,your_code,note
917,traffic congestion,travel time to work,forward,Ùn tắc giao thông làm tăng thời gian đi làm
778,job performance,salary,forward,Hiệu suất công việc quyết định mức lương (giống 37)
1295,patient's diet,patient's life expectancy,forward,Chế độ ăn uống tác động lên tuổi thọ
1598,patient's exercise habits,patient's diet,unrelated,Hai thói quen sinh hoạt độc lập
1442,humidity level,profit of farmers,forward,Độ ẩm ảnh hưởng sâu bệnh/mùa màng tác động đến lợi nhuận
365,the water level of a river,the growth of crops,forward,Nguồn nước sông hỗ trợ tưới tiêu và sinh trưởng cây
1341,likelihood of flooding,amount of rainfall,reverse,Lượng mưa quyết định nguy cơ ngập lụt
1116,amount of sunlight,crop yield,forward,Ánh sáng mặt trời (quang hợp) quyết định năng suất mùa màng
1370,availability of public transportation,travel time to work,forward,Sự sẵn có của phương tiện công cộng ảnh hưởng thời gian đi làm
1399,healthcare coverage,education level,reverse,Trình độ học vấn cao dẫn đến việc làm có phúc lợi bảo hiểm y tế tốt
999,whether the person stays dry,whether the person gets wet,unrelated,Hai trạng thái đối nghịch của cùng một khái niệm
1122,the score obtained on the exam,the amount of sleep the night before the exam,reverse,Giấc ngủ đêm trước thi quyết định độ tỉnh táo và điểm số
673,the growth rate of crops,the water level in the river,reverse,Mực nước sông quyết định tốc độ sinh trưởng của cây trồng
1042,the score obtained on the exam,the overall performance in the course,forward,Điểm bài thi đóng góp vào kết quả chung của khóa học
96,soil moisture,amount of rainfall,reverse,Lượng mưa quyết định độ ẩm của đất (giống 8)
1457,amount of rainfall,groundwater level,forward,Mưa bổ cập làm dâng mực nước ngầm
993,whether the person stays dry,the decision to bring an umbrella,reverse,Quyết định mang ô giúp người không bị ướt
241,overall gpa,grade in the course,reverse,Điểm môn học thành phần cấu thành GPA tổng
611,revenue,sales,reverse,Doanh số/số lượng bán hàng sinh ra tổng doanh thu
1106,job experience,skills proficiency,forward,Kinh nghiệm làm việc tích lũy nâng cao trình độ kỹ năng
1389,employment status,happiness level,forward,Tình trạng việc làm ảnh hưởng trực tiếp đến mức độ hạnh phúc
193,wind speed,crop yield,forward,"Tốc độ gió (gió bão, gãy đổ, mất nước) ảnh hưởng năng suất cây trồng"
