item,id,query_type,question_property,lexicon,u,v,first,second,flipped,model,pred,parsed,relation,in_tok,out_tok
44,18686,ate,anticommonsense,KEEP,V2,X,full moon,yield per acre,True,gpt-4.1-nano,c,1,neither,102,3
44,18686,ate,anticommonsense,PERMUTE,V2,X,demand,full moon,True,gpt-4.1-nano,c,1,neither,97,3
44,18686,ate,anticommonsense,KEEP,X,Y,price,full moon,True,gpt-4.1-nano,c,1,neither,96,3
44,18686,ate,anticommonsense,PERMUTE,X,Y,yield per acre,demand,True,gpt-4.1-nano,c,1,neither,100,3
50,6665,ate,hard,KEEP,V2,X,proximity to a college,education level,False,gpt-4.1-nano,c,1,neither,106,3
50,6665,ate,hard,PERMUTE,V2,X,education level,salary,False,gpt-4.1-nano,a,1,agrees,96,3
50,6665,ate,hard,KEEP,X,Y,education level,salary,False,gpt-4.1-nano,a,1,agrees,96,3
50,6665,ate,hard,PERMUTE,X,Y,salary,unobserved confounders,False,gpt-4.1-nano,b,1,reversed,108,65
51,11998,ate,anticommonsense,KEEP,V2,X,drug taken,treatment assignment,True,gpt-4.1-nano,b,1,agrees,100,76
51,11998,ate,anticommonsense,PERMUTE,V2,X,treatment assignment,freckles,True,gpt-4.1-nano,c,1,neither,98,3
51,11998,ate,anticommonsense,KEEP,X,Y,drug taken,freckles,False,gpt-4.1-nano,c,1,neither,97,3
51,11998,ate,anticommonsense,PERMUTE,X,Y,treatment assignment,unobserved confounders,False,gpt-4.1-nano,c,1,neither,112,3
53,6642,ate,hard,KEEP,V2,X,education level,proximity to a college,True,gpt-4.1-nano,c,1,neither,106,3
53,6642,ate,hard,PERMUTE,V2,X,salary,education level,True,gpt-4.1-nano,b,1,agrees,96,3
53,6642,ate,hard,KEEP,X,Y,salary,education level,True,gpt-4.1-nano,b,1,agrees,96,3
53,6642,ate,hard,PERMUTE,X,Y,unobserved confounders,salary,True,gpt-4.1-nano,c,1,neither,108,3
62,13847,ate,anticommonsense,KEEP,V1,X,demand,supply,False,gpt-4.1-nano,a,1,agrees,95,118
62,13847,ate,anticommonsense,PERMUTE,V1,X,supply,demand,False,gpt-4.1-nano,b,1,reversed,95,57
62,13847,ate,anticommonsense,KEEP,V1,Y,demand,rainfall,False,gpt-4.1-nano,c,1,neither,95,3
62,13847,ate,anticommonsense,PERMUTE,V1,Y,supply,yield per acre,False,gpt-4.1-nano,c,1,neither,100,3
62,13847,ate,anticommonsense,KEEP,V2,X,yield per acre,supply,False,gpt-4.1-nano,a,1,agrees,100,3
62,13847,ate,anticommonsense,PERMUTE,V2,X,rainfall,demand,False,gpt-4.1-nano,c,1,neither,95,3
62,13847,ate,anticommonsense,KEEP,X,Y,supply,rainfall,False,gpt-4.1-nano,c,1,neither,95,3
62,13847,ate,anticommonsense,PERMUTE,X,Y,demand,yield per acre,False,gpt-4.1-nano,c,1,neither,100,3
66,13836,ate,anticommonsense,KEEP,V1,X,demand,supply,False,gpt-4.1-nano,a,1,agrees,95,118
66,13836,ate,anticommonsense,PERMUTE,V1,X,supply,rainfall,False,gpt-4.1-nano,c,1,neither,95,3
66,13836,ate,anticommonsense,KEEP,V1,Y,rainfall,demand,True,gpt-4.1-nano,c,1,neither,95,3
66,13836,ate,anticommonsense,PERMUTE,V1,Y,yield per acre,supply,True,gpt-4.1-nano,a,1,reversed,100,3
66,13836,ate,anticommonsense,KEEP,V2,X,yield per acre,supply,False,gpt-4.1-nano,a,1,agrees,100,3
66,13836,ate,anticommonsense,PERMUTE,V2,X,demand,rainfall,False,gpt-4.1-nano,c,1,neither,95,3
66,13836,ate,anticommonsense,KEEP,X,Y,rainfall,supply,True,gpt-4.1-nano,a,1,reversed,95,3
66,13836,ate,anticommonsense,PERMUTE,X,Y,yield per acre,rainfall,True,gpt-4.1-nano,c,1,neither,100,3
68,9755,det-counterfactual,commonsense,KEEP,V2,X,treatment assignment,drug taken,False,gpt-4.1-nano,a,1,agrees,100,3
68,9755,det-counterfactual,commonsense,PERMUTE,V2,X,unobserved confounders,treatment assignment,False,gpt-4.1-nano,c,1,neither,112,3
68,9755,det-counterfactual,commonsense,KEEP,X,Y,cholesterol level,drug taken,True,gpt-4.1-nano,c,1,neither,100,3
68,9755,det-counterfactual,commonsense,PERMUTE,X,Y,drug taken,treatment assignment,True,gpt-4.1-nano,b,1,agrees,100,76
69,20698,det-counterfactual,anticommonsense,KEEP,V2,X,cigarette tax,maternal smoking status,False,gpt-4.1-nano,a,1,agrees,105,3
69,20698,det-counterfactual,anticommonsense,PERMUTE,V2,X,brown eyes,unobserved confounders,False,gpt-4.1-nano,c,1,neither,111,3
69,20698,det-counterfactual,anticommonsense,KEEP,X,Y,brown eyes,maternal smoking status,True,gpt-4.1-nano,c,1,neither,103,3
69,20698,det-counterfactual,anticommonsense,PERMUTE,X,Y,cigarette tax,unobserved confounders,True,gpt-4.1-nano,c,1,neither,113,3
70,20743,det-counterfactual,anticommonsense,KEEP,V1,X,liking spicy food,poverty,True,gpt-4.1-nano,c,1,neither,101,3
70,20743,det-counterfactual,anticommonsense,PERMUTE,V1,X,cholera,water company,True,gpt-4.1-nano,c,1,neither,99,3
70,20743,det-counterfactual,anticommonsense,KEEP,V1,Y,cholera,poverty,True,gpt-4.1-nano,b,1,agrees,97,3
70,20743,det-counterfactual,anticommonsense,PERMUTE,V1,Y,liking spicy food,water company,True,gpt-4.1-nano,c,1,neither,103,3
70,20743,det-counterfactual,anticommonsense,KEEP,V2,X,water company,liking spicy food,False,gpt-4.1-nano,c,1,neither,103,3
70,20743,det-counterfactual,anticommonsense,PERMUTE,V2,X,poverty,cholera,False,gpt-4.1-nano,a,1,agrees,97,3
70,20743,det-counterfactual,anticommonsense,KEEP,X,Y,cholera,liking spicy food,True,gpt-4.1-nano,c,1,neither,103,3
70,20743,det-counterfactual,anticommonsense,PERMUTE,X,Y,liking spicy food,cholera,True,gpt-4.1-nano,c,1,neither,103,3
71,20700,det-counterfactual,anticommonsense,KEEP,V2,X,cigarette tax,maternal smoking status,False,gpt-4.1-nano,a,1,agrees,105,3
71,20700,det-counterfactual,anticommonsense,PERMUTE,V2,X,maternal smoking status,brown eyes,False,gpt-4.1-nano,c,1,neither,103,3
71,20700,det-counterfactual,anticommonsense,KEEP,X,Y,brown eyes,maternal smoking status,True,gpt-4.1-nano,c,1,neither,103,3
71,20700,det-counterfactual,anticommonsense,PERMUTE,X,Y,unobserved confounders,brown eyes,True,gpt-4.1-nano,c,1,neither,111,3
72,10039,det-counterfactual,commonsense,KEEP,V1,X,demand,supply,False,gpt-4.1-nano,a,1,agrees,95,118
72,10039,det-counterfactual,commonsense,PERMUTE,V1,X,supply,price,False,gpt-4.1-nano,a,1,agrees,94,3
72,10039,det-counterfactual,commonsense,KEEP,V1,Y,demand,price,False,gpt-4.1-nano,a,1,agrees,94,3
72,10039,det-counterfactual,commonsense,PERMUTE,V1,Y,supply,yield per acre,False,gpt-4.1-nano,c,1,neither,100,3
72,10039,det-counterfactual,commonsense,KEEP,V2,X,yield per acre,supply,False,gpt-4.1-nano,a,1,agrees,100,3
72,10039,det-counterfactual,commonsense,PERMUTE,V2,X,demand,price,False,gpt-4.1-nano,a,1,agrees,94,3
72,10039,det-counterfactual,commonsense,KEEP,X,Y,price,supply,True,gpt-4.1-nano,b,1,agrees,94,3
72,10039,det-counterfactual,commonsense,PERMUTE,X,Y,yield per acre,price,True,gpt-4.1-nano,c,1,neither,99,3
73,20728,det-counterfactual,anticommonsense,KEEP,V2,X,maternal smoking status,cigarette tax,True,gpt-4.1-nano,c,1,neither,105,3
73,20728,det-counterfactual,anticommonsense,PERMUTE,V2,X,cigarette tax,maternal smoking status,True,gpt-4.1-nano,a,1,reversed,105,3
73,20728,det-counterfactual,anticommonsense,KEEP,X,Y,maternal smoking status,brown eyes,False,gpt-4.1-nano,c,1,neither,103,3
73,20728,det-counterfactual,anticommonsense,PERMUTE,X,Y,cigarette tax,unobserved confounders,False,gpt-4.1-nano,c,1,neither,113,3
74,10332,det-counterfactual,commonsense,KEEP,V2,X,maternal smoking status,cigarette tax,True,gpt-4.1-nano,c,1,neither,105,3
74,10332,det-counterfactual,commonsense,PERMUTE,V2,X,unobserved confounders,maternal smoking status,True,gpt-4.1-nano,c,1,neither,115,3
74,10332,det-counterfactual,commonsense,KEEP,X,Y,infant's birth weight,maternal smoking status,True,gpt-4.1-nano,c,1,neither,110,3
74,10332,det-counterfactual,commonsense,PERMUTE,X,Y,cigarette tax,unobserved confounders,True,gpt-4.1-nano,c,1,neither,113,3
75,9782,det-counterfactual,commonsense,KEEP,V2,X,education level,proximity to a college,True,gpt-4.1-nano,c,1,neither,106,3
75,9782,det-counterfactual,commonsense,PERMUTE,V2,X,unobserved confounders,salary,True,gpt-4.1-nano,c,1,neither,108,3
75,9782,det-counterfactual,commonsense,KEEP,X,Y,salary,education level,True,gpt-4.1-nano,b,1,agrees,96,3
75,9782,det-counterfactual,commonsense,PERMUTE,X,Y,education level,unobserved confounders,True,gpt-4.1-nano,c,1,neither,111,3
76,20757,det-counterfactual,anticommonsense,KEEP,V1,X,liking spicy food,poverty,True,gpt-4.1-nano,c,1,neither,101,3
76,20757,det-counterfactual,anticommonsense,PERMUTE,V1,X,water company,cholera,True,gpt-4.1-nano,a,1,reversed,99,3
76,20757,det-counterfactual,anticommonsense,KEEP,V1,Y,cholera,poverty,True,gpt-4.1-nano,b,1,agrees,97,3
76,20757,det-counterfactual,anticommonsense,PERMUTE,V1,Y,liking spicy food,cholera,True,gpt-4.1-nano,c,1,neither,103,3
76,20757,det-counterfactual,anticommonsense,KEEP,V2,X,water company,liking spicy food,False,gpt-4.1-nano,c,1,neither,103,3
76,20757,det-counterfactual,anticommonsense,PERMUTE,V2,X,poverty,water company,False,gpt-4.1-nano,c,1,neither,97,3
76,20757,det-counterfactual,anticommonsense,KEEP,X,Y,liking spicy food,cholera,False,gpt-4.1-nano,c,1,neither,103,3
76,20757,det-counterfactual,anticommonsense,PERMUTE,X,Y,water company,liking spicy food,False,gpt-4.1-nano,c,1,neither,103,3
77,20169,det-counterfactual,anticommonsense,KEEP,V2,X,drinking coffee,proximity to a college,True,gpt-4.1-nano,c,1,neither,107,3
77,20169,det-counterfactual,anticommonsense,PERMUTE,V2,X,proximity to a college,drinking coffee,True,gpt-4.1-nano,c,1,neither,107,3
77,20169,det-counterfactual,anticommonsense,KEEP,X,Y,drinking coffee,salary,False,gpt-4.1-nano,c,1,neither,97,3
77,20169,det-counterfactual,anticommonsense,PERMUTE,X,Y,proximity to a college,unobserved confounders,False,gpt-4.1-nano,c,1,neither,118,3
78,20125,det-counterfactual,anticommonsense,KEEP,V2,X,drug taken,treatment assignment,True,gpt-4.1-nano,b,1,agrees,100,76
78,20125,det-counterfactual,anticommonsense,PERMUTE,V2,X,treatment assignment,freckles,True,gpt-4.1-nano,c,1,neither,98,3
78,20125,det-counterfactual,anticommonsense,KEEP,X,Y,drug taken,freckles,False,gpt-4.1-nano,c,1,neither,97,3
78,20125,det-counterfactual,anticommonsense,PERMUTE,X,Y,treatment assignment,unobserved confounders,False,gpt-4.1-nano,c,1,neither,112,3
79,10360,det-counterfactual,commonsense,KEEP,V1,X,poverty,water quality,False,gpt-4.1-nano,c,1,neither,97,3
79,10360,det-counterfactual,commonsense,PERMUTE,V1,X,water company,cholera,False,gpt-4.1-nano,a,1,agrees,99,3
79,10360,det-counterfactual,commonsense,KEEP,V1,Y,cholera,poverty,True,gpt-4.1-nano,b,1,agrees,97,3
79,10360,det-counterfactual,commonsense,PERMUTE,V1,Y,water quality,water company,True,gpt-4.1-nano,b,1,agrees,99,3
79,10360,det-counterfactual,commonsense,KEEP,V2,X,water quality,water company,True,gpt-4.1-nano,b,1,agrees,99,3
79,10360,det-counterfactual,commonsense,PERMUTE,V2,X,cholera,poverty,True,gpt-4.1-nano,b,1,agrees,97,3
79,10360,det-counterfactual,commonsense,KEEP,X,Y,cholera,water quality,True,gpt-4.1-nano,b,1,agrees,99,3
79,10360,det-counterfactual,commonsense,PERMUTE,X,Y,water quality,cholera,True,gpt-4.1-nano,a,1,reversed,99,3
80,20408,det-counterfactual,anticommonsense,KEEP,V1,X,demand,supply,False,gpt-4.1-nano,a,1,agrees,95,118
80,20408,det-counterfactual,anticommonsense,PERMUTE,V1,X,rainfall,yield per acre,False,gpt-4.1-nano,a,1,agrees,100,3
80,20408,det-counterfactual,anticommonsense,KEEP,V1,Y,rainfall,demand,True,gpt-4.1-nano,c,1,neither,95,3
80,20408,det-counterfactual,anticommonsense,PERMUTE,V1,Y,demand,rainfall,True,gpt-4.1-nano,c,1,neither,95,3
80,20408,det-counterfactual,anticommonsense,KEEP,V2,X,supply,yield per acre,True,gpt-4.1-nano,c,1,neither,100,3
80,20408,det-counterfactual,anticommonsense,PERMUTE,V2,X,yield per acre,supply,True,gpt-4.1-nano,a,1,reversed,100,3
80,20408,det-counterfactual,anticommonsense,KEEP,X,Y,supply,rainfall,False,gpt-4.1-nano,c,1,neither,95,3
80,20408,det-counterfactual,anticommonsense,PERMUTE,X,Y,yield per acre,demand,False,gpt-4.1-nano,c,1,neither,100,3
81,20114,det-counterfactual,anticommonsense,KEEP,V2,X,drug taken,treatment assignment,True,gpt-4.1-nano,b,1,agrees,100,76
81,20114,det-counterfactual,anticommonsense,PERMUTE,V2,X,unobserved confounders,freckles,True,gpt-4.1-nano,c,1,neither,109,3
81,20114,det-counterfactual,anticommonsense,KEEP,X,Y,freckles,drug taken,True,gpt-4.1-nano,c,1,neither,97,3
81,20114,det-counterfactual,anticommonsense,PERMUTE,X,Y,treatment assignment,unobserved confounders,True,gpt-4.1-nano,c,1,neither,112,3
82,20451,det-counterfactual,anticommonsense,KEEP,V1,X,demand,supply,False,gpt-4.1-nano,a,1,agrees,95,118
82,20451,det-counterfactual,anticommonsense,PERMUTE,V1,X,rainfall,yield per acre,False,gpt-4.1-nano,a,1,agrees,100,3
82,20451,det-counterfactual,anticommonsense,KEEP,V1,Y,demand,rainfall,False,gpt-4.1-nano,c,1,neither,95,3
82,20451,det-counterfactual,anticommonsense,PERMUTE,V1,Y,rainfall,demand,False,gpt-4.1-nano,c,1,neither,95,3
82,20451,det-counterfactual,anticommonsense,KEEP,V2,X,yield per acre,supply,False,gpt-4.1-nano,a,1,agrees,100,3
82,20451,det-counterfactual,anticommonsense,PERMUTE,V2,X,supply,yield per acre,False,gpt-4.1-nano,c,1,neither,100,3
82,20451,det-counterfactual,anticommonsense,KEEP,X,Y,supply,rainfall,False,gpt-4.1-nano,c,1,neither,95,3
82,20451,det-counterfactual,anticommonsense,PERMUTE,X,Y,yield per acre,demand,False,gpt-4.1-nano,c,1,neither,100,3
83,9819,det-counterfactual,commonsense,KEEP,V2,X,education level,proximity to a college,True,gpt-4.1-nano,c,1,neither,106,3
83,9819,det-counterfactual,commonsense,PERMUTE,V2,X,salary,unobserved confounders,True,gpt-4.1-nano,b,1,agrees,108,65
83,9819,det-counterfactual,commonsense,KEEP,X,Y,salary,education level,True,gpt-4.1-nano,b,1,agrees,96,3
83,9819,det-counterfactual,commonsense,PERMUTE,X,Y,proximity to a college,salary,True,gpt-4.1-nano,c,1,neither,103,3
84,20116,det-counterfactual,anticommonsense,KEEP,V2,X,treatment assignment,drug taken,False,gpt-4.1-nano,a,1,agrees,100,3
84,20116,det-counterfactual,anticommonsense,PERMUTE,V2,X,unobserved confounders,freckles,False,gpt-4.1-nano,c,1,neither,109,3
84,20116,det-counterfactual,anticommonsense,KEEP,X,Y,drug taken,freckles,False,gpt-4.1-nano,c,1,neither,97,3
84,20116,det-counterfactual,anticommonsense,PERMUTE,X,Y,freckles,treatment assignment,False,gpt-4.1-nano,c,1,neither,98,3
85,9818,det-counterfactual,commonsense,KEEP,V2,X,education level,proximity to a college,True,gpt-4.1-nano,c,1,neither,106,3
85,9818,det-counterfactual,commonsense,PERMUTE,V2,X,proximity to a college,education level,True,gpt-4.1-nano,c,1,neither,106,3
85,9818,det-counterfactual,commonsense,KEEP,X,Y,education level,salary,False,gpt-4.1-nano,a,1,agrees,96,3
85,9818,det-counterfactual,commonsense,PERMUTE,X,Y,proximity to a college,unobserved confounders,False,gpt-4.1-nano,c,1,neither,118,3
86,20719,det-counterfactual,anticommonsense,KEEP,V2,X,cigarette tax,maternal smoking status,False,gpt-4.1-nano,a,1,agrees,105,3
86,20719,det-counterfactual,anticommonsense,PERMUTE,V2,X,maternal smoking status,brown eyes,False,gpt-4.1-nano,c,1,neither,103,3
86,20719,det-counterfactual,anticommonsense,KEEP,X,Y,brown eyes,maternal smoking status,True,gpt-4.1-nano,c,1,neither,103,3
86,20719,det-counterfactual,anticommonsense,PERMUTE,X,Y,unobserved confounders,brown eyes,True,gpt-4.1-nano,c,1,neither,111,3
87,10364,det-counterfactual,commonsense,KEEP,V1,X,water quality,poverty,True,gpt-4.1-nano,a,1,reversed,97,3
87,10364,det-counterfactual,commonsense,PERMUTE,V1,X,water company,cholera,True,gpt-4.1-nano,a,1,reversed,99,3
87,10364,det-counterfactual,commonsense,KEEP,V1,Y,cholera,poverty,True,gpt-4.1-nano,b,1,agrees,97,3
87,10364,det-counterfactual,commonsense,PERMUTE,V1,Y,water quality,cholera,True,gpt-4.1-nano,a,1,reversed,99,3
87,10364,det-counterfactual,commonsense,KEEP,V2,X,water company,water quality,False,gpt-4.1-nano,c,1,neither,99,3
87,10364,det-counterfactual,commonsense,PERMUTE,V2,X,poverty,water company,False,gpt-4.1-nano,c,1,neither,97,3
87,10364,det-counterfactual,commonsense,KEEP,X,Y,water quality,cholera,False,gpt-4.1-nano,a,1,agrees,99,3
87,10364,det-counterfactual,commonsense,PERMUTE,X,Y,water company,water quality,False,gpt-4.1-nano,c,1,neither,99,3
88,20420,det-counterfactual,anticommonsense,KEEP,V1,X,supply,demand,True,gpt-4.1-nano,b,1,agrees,95,57
88,20420,det-counterfactual,anticommonsense,PERMUTE,V1,X,rainfall,yield per acre,True,gpt-4.1-nano,a,1,reversed,100,3
88,20420,det-counterfactual,anticommonsense,KEEP,V1,Y,rainfall,demand,True,gpt-4.1-nano,c,1,neither,95,3
88,20420,det-counterfactual,anticommonsense,PERMUTE,V1,Y,demand,yield per acre,True,gpt-4.1-nano,c,1,neither,100,3
88,20420,det-counterfactual,anticommonsense,KEEP,V2,X,supply,yield per acre,True,gpt-4.1-nano,c,1,neither,100,3
88,20420,det-counterfactual,anticommonsense,PERMUTE,V2,X,rainfall,supply,True,gpt-4.1-nano,a,1,reversed,95,3
88,20420,det-counterfactual,anticommonsense,KEEP,X,Y,rainfall,supply,True,gpt-4.1-nano,a,1,reversed,95,3
88,20420,det-counterfactual,anticommonsense,PERMUTE,X,Y,demand,rainfall,True,gpt-4.1-nano,c,1,neither,95,3
89,10376,det-counterfactual,commonsense,KEEP,V1,X,poverty,water quality,False,gpt-4.1-nano,c,1,neither,97,3
89,10376,det-counterfactual,commonsense,PERMUTE,V1,X,water company,cholera,False,gpt-4.1-nano,a,1,agrees,99,3
89,10376,det-counterfactual,commonsense,KEEP,V1,Y,poverty,cholera,False,gpt-4.1-nano,a,1,agrees,97,3
89,10376,det-counterfactual,commonsense,PERMUTE,V1,Y,water company,poverty,False,gpt-4.1-nano,c,1,neither,97,3
89,10376,det-counterfactual,commonsense,KEEP,V2,X,water company,water quality,False,gpt-4.1-nano,c,1,neither,99,3
89,10376,det-counterfactual,commonsense,PERMUTE,V2,X,water quality,cholera,False,gpt-4.1-nano,a,1,agrees,99,3
89,10376,det-counterfactual,commonsense,KEEP,X,Y,water quality,cholera,False,gpt-4.1-nano,a,1,agrees,99,3
89,10376,det-counterfactual,commonsense,PERMUTE,X,Y,cholera,poverty,False,gpt-4.1-nano,b,1,reversed,97,3
90,10033,det-counterfactual,commonsense,KEEP,V1,X,supply,demand,True,gpt-4.1-nano,b,1,agrees,95,57
90,10033,det-counterfactual,commonsense,PERMUTE,V1,X,demand,yield per acre,True,gpt-4.1-nano,c,1,neither,100,3
90,10033,det-counterfactual,commonsense,KEEP,V1,Y,demand,price,False,gpt-4.1-nano,a,1,agrees,94,3
90,10033,det-counterfactual,commonsense,PERMUTE,V1,Y,yield per acre,supply,False,gpt-4.1-nano,a,1,agrees,100,3
90,10033,det-counterfactual,commonsense,KEEP,V2,X,yield per acre,supply,False,gpt-4.1-nano,a,1,agrees,100,3
90,10033,det-counterfactual,commonsense,PERMUTE,V2,X,price,demand,False,gpt-4.1-nano,a,1,agrees,94,86
90,10033,det-counterfactual,commonsense,KEEP,X,Y,price,supply,True,gpt-4.1-nano,b,1,agrees,94,3
90,10033,det-counterfactual,commonsense,PERMUTE,X,Y,supply,demand,True,gpt-4.1-nano,b,1,agrees,95,57
91,20412,det-counterfactual,anticommonsense,KEEP,V1,X,demand,supply,False,gpt-4.1-nano,a,1,agrees,95,118
91,20412,det-counterfactual,anticommonsense,PERMUTE,V1,X,supply,demand,False,gpt-4.1-nano,b,1,reversed,95,57
91,20412,det-counterfactual,anticommonsense,KEEP,V1,Y,demand,rainfall,False,gpt-4.1-nano,c,1,neither,95,3
91,20412,det-counterfactual,anticommonsense,PERMUTE,V1,Y,supply,yield per acre,False,gpt-4.1-nano,c,1,neither,100,3
91,20412,det-counterfactual,anticommonsense,KEEP,V2,X,supply,yield per acre,True,gpt-4.1-nano,c,1,neither,100,3
91,20412,det-counterfactual,anticommonsense,PERMUTE,V2,X,demand,rainfall,True,gpt-4.1-nano,c,1,neither,95,3
91,20412,det-counterfactual,anticommonsense,KEEP,X,Y,rainfall,supply,True,gpt-4.1-nano,a,1,reversed,95,3
91,20412,det-counterfactual,anticommonsense,PERMUTE,X,Y,yield per acre,demand,True,gpt-4.1-nano,c,1,neither,100,3
92,20131,det-counterfactual,anticommonsense,KEEP,V2,X,treatment assignment,drug taken,False,gpt-4.1-nano,a,1,agrees,100,3
92,20131,det-counterfactual,anticommonsense,PERMUTE,V2,X,unobserved confounders,freckles,False,gpt-4.1-nano,c,1,neither,109,3
92,20131,det-counterfactual,anticommonsense,KEEP,X,Y,freckles,drug taken,True,gpt-4.1-nano,c,1,neither,97,3
92,20131,det-counterfactual,anticommonsense,PERMUTE,X,Y,treatment assignment,freckles,True,gpt-4.1-nano,c,1,neither,98,3
93,20198,det-counterfactual,anticommonsense,KEEP,V2,X,proximity to a college,drinking coffee,False,gpt-4.1-nano,c,1,neither,107,3
93,20198,det-counterfactual,anticommonsense,PERMUTE,V2,X,drinking coffee,unobserved confounders,False,gpt-4.1-nano,b,1,reversed,112,76
93,20198,det-counterfactual,anticommonsense,KEEP,X,Y,salary,drinking coffee,True,gpt-4.1-nano,c,1,neither,97,3
93,20198,det-counterfactual,anticommonsense,PERMUTE,X,Y,proximity to a college,unobserved confounders,True,gpt-4.1-nano,c,1,neither,118,3
94,10381,det-counterfactual,commonsense,KEEP,V1,X,water quality,poverty,True,gpt-4.1-nano,a,1,reversed,97,3
94,10381,det-counterfactual,commonsense,PERMUTE,V1,X,poverty,cholera,True,gpt-4.1-nano,a,1,reversed,97,3
94,10381,det-counterfactual,commonsense,KEEP,V1,Y,cholera,poverty,True,gpt-4.1-nano,b,1,agrees,97,3
94,10381,det-counterfactual,commonsense,PERMUTE,V1,Y,water company,cholera,True,gpt-4.1-nano,a,1,reversed,99,3
94,10381,det-counterfactual,commonsense,KEEP,V2,X,water company,water quality,False,gpt-4.1-nano,c,1,neither,99,3
94,10381,det-counterfactual,commonsense,PERMUTE,V2,X,water quality,poverty,False,gpt-4.1-nano,a,1,agrees,97,3
94,10381,det-counterfactual,commonsense,KEEP,X,Y,cholera,water quality,True,gpt-4.1-nano,b,1,agrees,99,3
94,10381,det-counterfactual,commonsense,PERMUTE,X,Y,water company,poverty,True,gpt-4.1-nano,c,1,neither,97,3
95,10348,det-counterfactual,commonsense,KEEP,V1,X,water quality,poverty,True,gpt-4.1-nano,a,1,reversed,97,3
95,10348,det-counterfactual,commonsense,PERMUTE,V1,X,water company,cholera,True,gpt-4.1-nano,a,1,reversed,99,3
