item,id,family,query_type,true_edge,shown_edge,residue,prompt_states_true,raw_states_shown,raw_states_true,raw_conflict_words,raw_conflict_near_edge,raw_no_effect_phrases,raw_chars,raw_pred,raw_correct,oracle_states_shown,oracle_states_true,oracle_conflict_words,oracle_conflict_near_edge,oracle_no_effect_phrases,oracle_chars,oracle_pred,oracle_correct,dr_k1_states_shown,dr_k1_states_true,dr_k1_conflict_words,dr_k1_conflict_near_edge,dr_k1_no_effect_phrases,dr_k1_chars,dr_k1_pred,dr_k1_correct,group,route
110,5106,diamondcut,ate,gyzp -> uvzi,uvzi -> gyzp,True,False,False,False,True,False,0,16334,yes,1,False,True,True,True,0,18708,yes,1,True,False,True,True,0,20003,yes,1,estimand kept,backdoor
112,15509,diamondcut,ate,gwet -> kwox,kwox -> gwet,True,False,False,False,True,True,0,18420,yes,1,False,False,True,True,1,23141,yes,1,True,False,True,True,2,21618,yes,1,"estimand changed, answer kept",backdoor
114,19977,diamondcut,det-counterfactual,jyka -> qwiu,qwiu -> jyka,True,True,False,True,True,True,1,16946,no,0,False,True,True,True,0,10275,no,0,True,True,True,True,2,26536,no,0,,
115,10764,diamondcut,ett,qwiu -> swoy,swoy -> qwiu,True,False,False,False,True,False,0,19896,no,1,False,True,True,False,3,15517,no,1,True,False,True,False,5,20179,no,1,estimand kept,backdoor
116,9570,diamondcut,det-counterfactual,jyka -> xevu,xevu -> jyka,True,True,False,False,True,True,1,25776,yes,1,False,True,True,True,1,16181,no,0,True,True,True,True,0,27910,no,0,,
117,5086,diamondcut,ett,muvy -> gyzp,gyzp -> muvy,True,False,False,False,True,False,0,15661,no,0,False,False,True,False,8,20934,no,0,True,False,True,False,0,14696,no,0,"estimand changed, answer kept",backdoor
118,350,diamondcut,ett,rukz -> muvy,muvy -> rukz,True,False,False,False,True,False,0,10346,yes,0,False,True,True,False,3,19856,yes,0,True,False,True,True,0,14690,yes,0,"estimand changed, answer kept",backdoor
119,10718,diamondcut,ett,tijv -> rixq,rixq -> tijv,True,False,False,False,True,False,0,20462,no,1,False,True,True,True,1,21204,no,1,True,False,True,True,3,19620,no,1,estimand kept,backdoor
130,5789,fork,ate,cwoi -> swoq,swoq -> cwoi,True,False,False,False,True,False,0,15371,no,1,False,True,True,True,13,33688,no,1,True,False,True,True,0,12679,no,1,"estimand changed, answer kept",backdoor
132,207,fork,ett,rukz -> tijw,tijw -> rukz,True,False,False,False,True,False,3,15866,yes,1,False,True,True,True,2,15688,yes,1,True,False,True,False,2,9834,yes,1,answer changed,no path
133,16015,fork,ett,muvq -> rukz,rukz -> muvq,True,False,False,False,False,False,0,3489,yes,1,False,True,True,True,2,16152,yes,1,True,False,False,False,0,9316,yes,1,"estimand changed, answer kept",backdoor
134,9656,fork,det-counterfactual,yomx -> tijv,tijv -> yomx,True,True,False,True,False,False,1,10093,yes,1,False,True,True,True,2,13855,yes,1,True,True,True,True,13,14739,yes,1,,
135,19943,fork,det-counterfactual,xevo -> hwax,hwax -> xevo,True,True,False,True,True,True,0,15135,no,0,False,True,True,True,0,12040,yes,1,True,True,True,True,5,23673,no,0,,
136,940,fork,ett,xevu -> uvzi,uvzi -> xevu,True,False,False,False,True,True,1,19158,no,1,False,True,False,False,2,16669,no,1,True,False,True,True,2,19974,no,1,"estimand changed, answer kept",no path
137,5054,fork,ett,xevo -> pexu,pexu -> xevo,True,False,False,False,True,True,0,9805,no,1,False,True,True,True,0,12421,no,1,True,False,True,True,2,22530,yes,0,"estimand changed, answer kept",backdoor
145,9014,frontdoor,ate,vubr -> zupj,zupj -> vubr,False,False,False,False,False,False,4,8287,no,0,False,True,False,False,8,19844,yes,1,False,False,True,True,16,15868,no,0,answer changed,no path
146,14651,frontdoor,ate,gwet -> kwoz,kwoz -> gwet,False,False,False,False,True,True,7,11348,no,0,False,True,True,True,7,18855,yes,1,True,True,False,False,17,11559,no,0,answer changed,no path
148,19325,frontdoor,ate,wibl -> xevo,xevo -> wibl,False,False,False,False,False,False,0,6647,no,0,False,True,True,True,10,20779,yes,1,False,False,False,False,15,20340,no,0,answer changed,no path
149,4166,frontdoor,ate,wibl -> xyfo,xyfo -> wibl,False,False,False,False,False,False,1,9003,no,0,False,True,False,False,4,19068,yes,1,True,False,False,False,17,19539,no,0,answer changed,no path
150,20623,frontdoor,det-counterfactual,qwiu -> gwet,gwet -> qwiu,True,True,False,True,True,True,1,15960,yes,1,False,True,True,True,7,19760,yes,1,True,True,True,True,9,29545,yes,1,,
151,9004,frontdoor,nie,gwet -> qwiu,qwiu -> gwet,False,False,False,True,False,False,10,8942,no,0,False,True,False,False,6,17529,yes,1,True,True,True,True,16,21831,no,0,,
152,10229,frontdoor,det-counterfactual,kraz -> swoy,swoy -> kraz,False,True,False,False,True,True,0,22893,no,1,False,True,True,True,0,23454,yes,0,True,True,True,True,2,30941,no,1,,
153,19421,frontdoor,ett,qwiu -> yomx,yomx -> qwiu,False,False,False,False,False,False,0,16841,no,1,False,True,False,False,4,30669,no,1,True,False,False,False,15,18485,no,1,"estimand changed, answer kept",no path
154,4267,frontdoor,nie,wibl -> glimx,glimx -> wibl,False,False,False,True,True,True,8,9930,no,0,False,True,True,False,5,20627,yes,1,True,True,True,True,26,12614,no,0,,
155,4167,frontdoor,ett,zuph -> rixq,rixq -> zuph,False,False,False,False,False,False,0,10321,no,1,False,True,False,False,4,19242,no,1,True,False,False,False,3,19426,no,1,"estimand changed, answer kept",backdoor
162,1128,mediation,ate,glimx -> zory,zory -> glimx,True,False,False,False,True,False,1,8817,no,1,False,True,False,False,2,17640,yes,0,True,False,False,False,4,21621,yes,0,estimand kept,backdoor
164,17234,mediation,ate,muvq -> swoq,swoq -> muvq,True,False,False,False,True,False,1,6936,yes,1,False,True,True,True,0,12323,yes,1,True,False,False,False,1,5102,yes,1,estimand kept,backdoor
167,4955,mediation,ate,jyka -> gyzp,gyzp -> jyka,True,False,False,False,True,False,0,5117,no,1,False,True,True,True,0,8735,no,1,True,False,True,True,0,7190,no,1,estimand kept,backdoor
168,15266,mediation,ett,xyfo -> yupt,yupt -> xyfo,False,False,False,False,False,False,0,5962,no,1,False,True,True,False,0,15548,no,1,True,False,True,False,0,23987,no,1,"estimand changed, answer kept",backdoor
169,16591,mediation,nde,jyka -> tijw,tijw -> jyka,False,False,False,False,True,True,0,10532,no,1,False,True,False,False,0,10797,no,1,True,False,True,True,5,12805,no,1,,
170,11567,mediation,ett,tijw -> rukz,rukz -> tijw,True,False,False,False,False,False,0,4455,no,1,False,True,False,False,0,14619,no,1,True,False,False,False,0,10215,no,1,estimand kept,backdoor
171,13453,mediation,ett,kwox -> hwax,hwax -> kwox,True,False,False,False,False,False,0,3504,no,1,False,True,True,True,17,22170,no,1,True,False,True,True,1,19570,no,1,answer changed,backdoor
172,20217,mediation,det-counterfactual,yomx -> rixq,rixq -> yomx,True,True,False,True,True,False,0,6911,no,1,False,True,True,True,3,8563,no,1,True,True,True,True,7,21786,no,1,,
173,20215,mediation,det-counterfactual,rukz -> swoq,swoq -> rukz,True,True,False,False,True,False,0,15285,no,1,False,True,True,False,0,15072,no,1,True,True,True,True,4,21998,no,1,,
