sample,item,id,lexicon,family,query_type,cond,k,estimand_unchanged,route,implied_answer,gold,gold_is_true_answer,n_scm,group,vs_ORACLE,vs_RAW
price400,24,19796,KEEP,IV,ate,DR_k1,1,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.0,0.5
price400,24,19796,KEEP,IV,ate,DR_k2,2,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.0,0.5
price400,24,19796,KEEP,IV,ate,DR_k3,3,False,no path,no,yes,True,2,answer changed,-0.6666666666666666,0.0
price400,24,19796,PSEUDO,IV,ate,DR_k1,1,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.0,0.6666666666666666
price400,24,19796,PSEUDO,IV,ate,DR_k2,2,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.0,0.6666666666666666
price400,24,19796,PSEUDO,IV,ate,DR_k3,3,False,no path,no,yes,True,2,answer changed,-1.0,-0.3333333333333333
price400,26,6588,KEEP,IV,ate,DR_k1,1,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.0,-0.3333333333333333
price400,26,6588,KEEP,IV,ate,DR_k2,2,False,no path,no,yes,True,2,answer changed,0.5,0.0
price400,26,6588,KEEP,IV,ate,DR_k3,3,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.0,-0.3333333333333333
price400,26,6588,PSEUDO,IV,ate,DR_k1,1,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.0,0.3333333333333333
price400,26,6588,PSEUDO,IV,ate,DR_k2,2,False,no path,no,yes,True,2,answer changed,-1.0,0.0
price400,26,6588,PSEUDO,IV,ate,DR_k3,3,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.3333333333333333,0.6666666666666666
price400,29,1591,KEEP,IV,ate,DR_k1,1,False,unidentified,unidentified,no,True,2,unidentified under the shown graph,0.0,0.0
price400,29,1591,KEEP,IV,ate,DR_k2,2,False,no path,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,29,1591,KEEP,IV,ate,DR_k3,3,False,no path,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,29,1591,PSEUDO,IV,ate,DR_k1,1,False,unidentified,unidentified,no,True,2,unidentified under the shown graph,0.0,0.0
price400,29,1591,PSEUDO,IV,ate,DR_k2,2,False,no path,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,29,1591,PSEUDO,IV,ate,DR_k3,3,False,no path,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,32,15108,KEEP,IV,ate,DR_k1,1,False,unidentified,unidentified,no,True,2,unidentified under the shown graph,0.0,-0.3333333333333333
price400,32,15108,KEEP,IV,ate,DR_k2,2,False,no path,no,no,True,2,"estimand changed, answer kept",0.5,0.0
price400,32,15108,KEEP,IV,ate,DR_k3,3,False,backdoor,no,no,True,2,"estimand changed, answer kept",0.0,-0.5
price400,32,15108,PSEUDO,IV,ate,DR_k1,1,False,unidentified,unidentified,no,True,2,unidentified under the shown graph,0.3333333333333333,-0.3333333333333333
price400,32,15108,PSEUDO,IV,ate,DR_k2,2,False,no path,no,no,True,2,"estimand changed, answer kept",0.6666666666666666,0.0
price400,32,15108,PSEUDO,IV,ate,DR_k3,3,False,backdoor,no,no,True,2,"estimand changed, answer kept",0.6666666666666666,0.0
price400,33,18628,KEEP,IV,ate,DR_k1,1,False,no path,no,yes,True,2,answer changed,0.0,-0.3333333333333333
price400,33,18628,KEEP,IV,ate,DR_k2,2,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.3333333333333333,0.0
price400,33,18628,KEEP,IV,ate,DR_k3,3,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",1.0,0.6666666666666666
price400,33,18628,PSEUDO,IV,ate,DR_k1,1,False,no path,no,yes,True,2,answer changed,-0.3333333333333333,0.0
price400,33,18628,PSEUDO,IV,ate,DR_k2,2,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.0,0.3333333333333333
price400,33,18628,PSEUDO,IV,ate,DR_k3,3,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.0,0.3333333333333333
price400,34,17061,KEEP,IV,ate,DR_k1,1,False,no path,no,yes,True,2,answer changed,-1.0,-0.3333333333333333
price400,34,17061,KEEP,IV,ate,DR_k2,2,False,no path,no,yes,True,2,answer changed,-0.5,0.0
price400,34,17061,KEEP,IV,ate,DR_k3,3,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.0,0.6666666666666666
price400,34,17061,PSEUDO,IV,ate,DR_k1,1,False,no path,no,yes,True,2,answer changed,-0.6666666666666666,0.0
price400,34,17061,PSEUDO,IV,ate,DR_k2,2,False,no path,no,yes,True,2,answer changed,-1.0,0.0
price400,34,17061,PSEUDO,IV,ate,DR_k3,3,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.0,0.6666666666666666
price400,35,15152,KEEP,IV,ate,DR_k1,1,False,no path,no,yes,True,2,answer changed,-0.6666666666666666,0.0
price400,35,15152,KEEP,IV,ate,DR_k2,2,False,no path,no,yes,True,2,answer changed,-0.6666666666666666,0.0
price400,35,15152,KEEP,IV,ate,DR_k3,3,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.0,0.6666666666666666
price400,35,15152,PSEUDO,IV,ate,DR_k1,1,False,no path,no,yes,True,2,answer changed,-0.3333333333333333,0.0
price400,35,15152,PSEUDO,IV,ate,DR_k2,2,False,no path,no,yes,True,2,answer changed,-0.3333333333333333,0.0
price400,35,15152,PSEUDO,IV,ate,DR_k3,3,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.0,0.3333333333333333
price400,37,3443,KEEP,IV,ate,DR_k1,1,False,backdoor,no,no,True,2,"estimand changed, answer kept",0.0,-0.3333333333333333
price400,37,3443,KEEP,IV,ate,DR_k2,2,False,backdoor,no,no,True,2,"estimand changed, answer kept",0.0,-0.3333333333333333
price400,37,3443,KEEP,IV,ate,DR_k3,3,False,backdoor,no,no,True,2,"estimand changed, answer kept",0.0,-0.3333333333333333
price400,37,3443,PSEUDO,IV,ate,DR_k1,1,False,backdoor,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,37,3443,PSEUDO,IV,ate,DR_k2,2,False,backdoor,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,37,3443,PSEUDO,IV,ate,DR_k3,3,False,backdoor,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,80,13538,KEEP,arrowhead,ate,DR_k1,1,True,backdoor,no,no,True,2,estimand kept,0.0,0.0
price400,80,13538,KEEP,arrowhead,ate,DR_k2,2,False,backdoor,no,no,True,2,"estimand changed, answer kept",-0.3333333333333333,-0.3333333333333333
price400,80,13538,KEEP,arrowhead,ate,DR_k3,3,False,no path,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,80,13538,PSEUDO,arrowhead,ate,DR_k1,1,True,backdoor,no,no,True,2,estimand kept,0.0,-1.0
price400,80,13538,PSEUDO,arrowhead,ate,DR_k2,2,False,backdoor,no,no,True,2,"estimand changed, answer kept",0.0,-1.0
price400,80,13538,PSEUDO,arrowhead,ate,DR_k3,3,False,no path,no,no,True,2,"estimand changed, answer kept",1.0,0.0
price400,81,9160,KEEP,arrowhead,ate,DR_k1,1,True,backdoor,no,no,True,2,estimand kept,0.0,0.0
price400,81,9160,KEEP,arrowhead,ate,DR_k2,2,False,backdoor,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,81,9160,KEEP,arrowhead,ate,DR_k3,3,False,backdoor,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,81,9160,PSEUDO,arrowhead,ate,DR_k1,1,True,backdoor,no,no,True,2,estimand kept,0.0,0.0
price400,81,9160,PSEUDO,arrowhead,ate,DR_k2,2,False,backdoor,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,81,9160,PSEUDO,arrowhead,ate,DR_k3,3,False,backdoor,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,82,2848,KEEP,arrowhead,ate,DR_k1,1,False,backdoor,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,82,2848,KEEP,arrowhead,ate,DR_k2,2,False,no path,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,82,2848,KEEP,arrowhead,ate,DR_k3,3,False,backdoor,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,82,2848,PSEUDO,arrowhead,ate,DR_k1,1,False,backdoor,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,82,2848,PSEUDO,arrowhead,ate,DR_k2,2,False,no path,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,82,2848,PSEUDO,arrowhead,ate,DR_k3,3,False,backdoor,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,83,7592,KEEP,arrowhead,ate,DR_k1,1,True,backdoor,yes,yes,True,2,estimand kept,0.3333333333333333,0.0
price400,83,7592,KEEP,arrowhead,ate,DR_k2,2,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.3333333333333333,0.0
price400,83,7592,KEEP,arrowhead,ate,DR_k3,3,False,no path,no,yes,True,2,answer changed,-0.3333333333333333,-0.6666666666666666
price400,83,7592,PSEUDO,arrowhead,ate,DR_k1,1,True,backdoor,yes,yes,True,2,estimand kept,0.0,0.0
price400,83,7592,PSEUDO,arrowhead,ate,DR_k2,2,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.0,0.0
price400,83,7592,PSEUDO,arrowhead,ate,DR_k3,3,False,no path,no,yes,True,2,answer changed,-0.3333333333333333,-0.3333333333333333
price400,86,13650,KEEP,arrowhead,ate,DR_k1,1,False,backdoor,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,86,13650,KEEP,arrowhead,ate,DR_k2,2,False,backdoor,no,no,True,2,"estimand changed, answer kept",-0.3333333333333333,-0.3333333333333333
price400,86,13650,KEEP,arrowhead,ate,DR_k3,3,False,no path,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,86,13650,PSEUDO,arrowhead,ate,DR_k1,1,False,backdoor,no,no,True,2,"estimand changed, answer kept",0.0,-1.0
price400,86,13650,PSEUDO,arrowhead,ate,DR_k2,2,False,backdoor,no,no,True,2,"estimand changed, answer kept",0.0,-1.0
price400,86,13650,PSEUDO,arrowhead,ate,DR_k3,3,False,no path,no,no,True,2,"estimand changed, answer kept",1.0,0.0
price400,87,2574,KEEP,arrowhead,ate,DR_k1,1,False,backdoor,no,yes,True,2,answer changed,0.0,0.0
price400,87,2574,KEEP,arrowhead,ate,DR_k2,2,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.0,0.0
price400,87,2574,KEEP,arrowhead,ate,DR_k3,3,False,backdoor,no,yes,True,2,answer changed,0.0,0.0
price400,87,2574,PSEUDO,arrowhead,ate,DR_k1,1,False,backdoor,no,yes,True,2,answer changed,0.0,0.6666666666666666
price400,87,2574,PSEUDO,arrowhead,ate,DR_k2,2,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.0,0.6666666666666666
price400,87,2574,PSEUDO,arrowhead,ate,DR_k3,3,False,backdoor,no,yes,True,2,answer changed,-0.3333333333333333,0.3333333333333333
price400,88,2323,KEEP,arrowhead,ate,DR_k1,1,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.0,0.0
price400,88,2323,KEEP,arrowhead,ate,DR_k2,2,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.0,0.0
price400,88,2323,KEEP,arrowhead,ate,DR_k3,3,False,no path,no,yes,True,2,answer changed,-0.6666666666666666,-0.6666666666666666
price400,88,2323,PSEUDO,arrowhead,ate,DR_k1,1,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.0,1.0
price400,88,2323,PSEUDO,arrowhead,ate,DR_k2,2,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.0,1.0
price400,88,2323,PSEUDO,arrowhead,ate,DR_k3,3,False,no path,no,yes,True,2,answer changed,-1.0,0.0
price400,89,8091,KEEP,arrowhead,ate,DR_k1,1,False,backdoor,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,89,8091,KEEP,arrowhead,ate,DR_k2,2,False,no path,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,89,8091,KEEP,arrowhead,ate,DR_k3,3,False,no path,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,89,8091,PSEUDO,arrowhead,ate,DR_k1,1,False,backdoor,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,89,8091,PSEUDO,arrowhead,ate,DR_k2,2,False,no path,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,89,8091,PSEUDO,arrowhead,ate,DR_k3,3,False,no path,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,91,19581,KEEP,arrowhead,ate,DR_k1,1,False,backdoor,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,91,19581,KEEP,arrowhead,ate,DR_k2,2,False,no path,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,91,19581,KEEP,arrowhead,ate,DR_k3,3,False,backdoor,no,no,True,2,"estimand changed, answer kept",-0.3333333333333333,-0.3333333333333333
price400,91,19581,PSEUDO,arrowhead,ate,DR_k1,1,False,backdoor,no,no,True,2,"estimand changed, answer kept",0.0,-0.6666666666666666
price400,91,19581,PSEUDO,arrowhead,ate,DR_k2,2,False,no path,no,no,True,2,"estimand changed, answer kept",0.3333333333333333,-0.3333333333333333
price400,91,19581,PSEUDO,arrowhead,ate,DR_k3,3,False,backdoor,no,no,True,2,"estimand changed, answer kept",-0.3333333333333333,-1.0
price400,94,7208,KEEP,arrowhead,ate,DR_k1,1,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.0,0.0
price400,94,7208,KEEP,arrowhead,ate,DR_k2,2,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.0,0.0
price400,94,7208,KEEP,arrowhead,ate,DR_k3,3,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.0,0.0
price400,94,7208,PSEUDO,arrowhead,ate,DR_k1,1,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.0,0.0
price400,94,7208,PSEUDO,arrowhead,ate,DR_k2,2,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.0,0.0
price400,94,7208,PSEUDO,arrowhead,ate,DR_k3,3,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.0,0.0
price400,96,14419,KEEP,arrowhead,ett,DR_k1,1,False,backdoor,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,96,14419,KEEP,arrowhead,ett,DR_k2,2,False,no path,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,96,14419,KEEP,arrowhead,ett,DR_k3,3,False,no path,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,96,14419,PSEUDO,arrowhead,ett,DR_k1,1,False,backdoor,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,96,14419,PSEUDO,arrowhead,ett,DR_k2,2,False,no path,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,96,14419,PSEUDO,arrowhead,ett,DR_k3,3,False,no path,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,98,18048,KEEP,arrowhead,ett,DR_k1,1,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.3333333333333333,0.6666666666666666
price400,98,18048,KEEP,arrowhead,ett,DR_k2,2,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",-0.6666666666666666,-0.3333333333333333
price400,98,18048,KEEP,arrowhead,ett,DR_k3,3,False,no path,no,yes,True,2,answer changed,0.3333333333333333,0.6666666666666666
price400,98,18048,PSEUDO,arrowhead,ett,DR_k1,1,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.3333333333333333,0.0
price400,98,18048,PSEUDO,arrowhead,ett,DR_k2,2,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.3333333333333333,0.0
price400,98,18048,PSEUDO,arrowhead,ett,DR_k3,3,False,no path,no,yes,True,2,answer changed,0.3333333333333333,0.0
price400,99,4365,KEEP,arrowhead,ett,DR_k1,1,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.0,0.6666666666666666
price400,99,4365,KEEP,arrowhead,ett,DR_k2,2,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.0,0.6666666666666666
price400,99,4365,KEEP,arrowhead,ett,DR_k3,3,False,no path,no,yes,True,2,answer changed,-1.0,-0.3333333333333333
price400,99,4365,PSEUDO,arrowhead,ett,DR_k1,1,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",-0.3333333333333333,-0.3333333333333333
price400,99,4365,PSEUDO,arrowhead,ett,DR_k2,2,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",-0.6666666666666666,-0.6666666666666666
price400,99,4365,PSEUDO,arrowhead,ett,DR_k3,3,False,no path,no,yes,True,2,answer changed,-0.6666666666666666,-0.6666666666666666
price400,104,9178,KEEP,arrowhead,ett,DR_k1,1,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.0,0.3333333333333333
price400,104,9178,KEEP,arrowhead,ett,DR_k2,2,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.0,0.3333333333333333
price400,104,9178,KEEP,arrowhead,ett,DR_k3,3,False,no path,no,yes,True,2,answer changed,-0.3333333333333333,0.0
price400,104,9178,PSEUDO,arrowhead,ett,DR_k1,1,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.3333333333333333,0.0
price400,104,9178,PSEUDO,arrowhead,ett,DR_k2,2,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.3333333333333333,0.0
price400,104,9178,PSEUDO,arrowhead,ett,DR_k3,3,False,no path,no,yes,True,2,answer changed,0.3333333333333333,0.0
price400,106,2480,KEEP,arrowhead,ett,DR_k1,1,True,backdoor,yes,yes,True,2,estimand kept,0.0,0.0
price400,106,2480,KEEP,arrowhead,ett,DR_k2,2,False,no path,no,yes,True,2,answer changed,-0.3333333333333333,-0.3333333333333333
price400,106,2480,KEEP,arrowhead,ett,DR_k3,3,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.0,0.0
price400,106,2480,PSEUDO,arrowhead,ett,DR_k1,1,True,backdoor,yes,yes,True,2,estimand kept,0.0,0.3333333333333333
price400,106,2480,PSEUDO,arrowhead,ett,DR_k2,2,False,no path,no,yes,True,2,answer changed,0.0,0.3333333333333333
price400,106,2480,PSEUDO,arrowhead,ett,DR_k3,3,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.0,0.3333333333333333
price400,109,14506,KEEP,arrowhead,ett,DR_k1,1,True,backdoor,yes,yes,True,2,estimand kept,0.0,0.0
price400,109,14506,KEEP,arrowhead,ett,DR_k2,2,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",-0.3333333333333333,-0.3333333333333333
price400,109,14506,KEEP,arrowhead,ett,DR_k3,3,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.0,0.0
price400,109,14506,PSEUDO,arrowhead,ett,DR_k1,1,True,backdoor,yes,yes,True,2,estimand kept,0.0,0.3333333333333333
price400,109,14506,PSEUDO,arrowhead,ett,DR_k2,2,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",-0.3333333333333333,0.0
price400,109,14506,PSEUDO,arrowhead,ett,DR_k3,3,False,backdoor,yes,yes,True,2,"estimand changed, answer kept",0.0,0.3333333333333333
price400,110,3206,KEEP,arrowhead,ett,DR_k1,1,False,backdoor,yes,no,True,2,answer changed,0.0,-0.3333333333333333
price400,110,3206,KEEP,arrowhead,ett,DR_k2,2,False,backdoor,yes,no,True,2,answer changed,0.0,-0.3333333333333333
price400,110,3206,KEEP,arrowhead,ett,DR_k3,3,False,no path,no,no,True,2,"estimand changed, answer kept",0.3333333333333333,0.0
price400,110,3206,PSEUDO,arrowhead,ett,DR_k1,1,False,backdoor,yes,no,True,2,answer changed,-0.3333333333333333,0.0
price400,110,3206,PSEUDO,arrowhead,ett,DR_k2,2,False,backdoor,yes,no,True,2,answer changed,0.0,0.0
price400,110,3206,PSEUDO,arrowhead,ett,DR_k3,3,False,no path,no,no,True,2,"estimand changed, answer kept",-0.5,0.0
price400,133,19043,KEEP,confounding,ate,DR_k1,1,False,no path,no,yes,True,2,answer changed,0.3333333333333333,-0.3333333333333333
price400,133,19043,KEEP,confounding,ate,DR_k2,2,False,backdoor,no,yes,True,2,answer changed,0.3333333333333333,-0.3333333333333333
price400,133,19043,KEEP,confounding,ate,DR_k3,3,False,no path,no,yes,True,2,answer changed,0.3333333333333333,-0.3333333333333333
price400,133,19043,PSEUDO,confounding,ate,DR_k1,1,False,no path,no,yes,True,2,answer changed,-0.3333333333333333,0.3333333333333333
price400,133,19043,PSEUDO,confounding,ate,DR_k2,2,False,backdoor,no,yes,True,2,answer changed,0.3333333333333333,1.0
price400,133,19043,PSEUDO,confounding,ate,DR_k3,3,False,no path,no,yes,True,2,answer changed,-0.6666666666666666,0.0
price400,135,8698,KEEP,confounding,ate,DR_k1,1,False,no path,no,yes,True,2,answer changed,0.0,-0.3333333333333333
price400,135,8698,KEEP,confounding,ate,DR_k2,2,False,backdoor,no,yes,True,2,answer changed,0.0,-0.3333333333333333
price400,135,8698,KEEP,confounding,ate,DR_k3,3,False,no path,no,yes,True,2,answer changed,0.0,-0.3333333333333333
price400,135,8698,PSEUDO,confounding,ate,DR_k1,1,False,no path,no,yes,True,2,answer changed,0.0,0.0
price400,135,8698,PSEUDO,confounding,ate,DR_k2,2,False,backdoor,no,yes,True,2,answer changed,0.5,0.3333333333333333
price400,135,8698,PSEUDO,confounding,ate,DR_k3,3,False,no path,no,yes,True,2,answer changed,-0.5,-0.3333333333333333
price400,139,8572,KEEP,confounding,ate,DR_k1,1,False,backdoor,yes,no,True,2,answer changed,0.0,0.0
price400,139,8572,KEEP,confounding,ate,DR_k2,2,False,backdoor,yes,no,True,2,answer changed,0.0,0.0
price400,139,8572,KEEP,confounding,ate,DR_k3,3,False,no path,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,139,8572,PSEUDO,confounding,ate,DR_k1,1,False,backdoor,yes,no,True,2,answer changed,0.0,0.0
price400,139,8572,PSEUDO,confounding,ate,DR_k2,2,False,backdoor,yes,no,True,2,answer changed,0.0,0.0
price400,139,8572,PSEUDO,confounding,ate,DR_k3,3,False,no path,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,142,3789,KEEP,confounding,ate,DR_k1,1,False,backdoor,yes,no,True,2,answer changed,0.0,0.0
price400,142,3789,KEEP,confounding,ate,DR_k2,2,False,backdoor,yes,no,True,2,answer changed,0.0,0.0
price400,142,3789,KEEP,confounding,ate,DR_k3,3,False,no path,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,142,3789,PSEUDO,confounding,ate,DR_k1,1,False,backdoor,yes,no,True,2,answer changed,0.0,0.0
price400,142,3789,PSEUDO,confounding,ate,DR_k2,2,False,backdoor,yes,no,True,2,answer changed,0.0,0.0
price400,142,3789,PSEUDO,confounding,ate,DR_k3,3,False,no path,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,143,8542,KEEP,confounding,ate,DR_k1,1,False,no path,no,yes,True,2,answer changed,-0.3333333333333333,-0.3333333333333333
price400,143,8542,KEEP,confounding,ate,DR_k2,2,False,backdoor,no,yes,True,2,answer changed,-0.3333333333333333,-0.3333333333333333
price400,143,8542,KEEP,confounding,ate,DR_k3,3,False,no path,no,yes,True,2,answer changed,-0.6666666666666666,-0.6666666666666666
price400,143,8542,PSEUDO,confounding,ate,DR_k1,1,False,no path,no,yes,True,2,answer changed,-0.3333333333333333,-0.6666666666666666
price400,143,8542,PSEUDO,confounding,ate,DR_k2,2,False,backdoor,no,yes,True,2,answer changed,0.0,-0.3333333333333333
price400,143,8542,PSEUDO,confounding,ate,DR_k3,3,False,no path,no,yes,True,2,answer changed,-0.6666666666666666,-1.0
price400,145,8355,KEEP,confounding,ate,DR_k1,1,False,no path,no,yes,True,2,answer changed,-1.0,-0.6666666666666666
price400,145,8355,KEEP,confounding,ate,DR_k2,2,False,backdoor,no,yes,True,2,answer changed,-0.6666666666666666,-0.3333333333333333
price400,145,8355,KEEP,confounding,ate,DR_k3,3,False,no path,no,yes,True,2,answer changed,-1.0,-0.6666666666666666
price400,145,8355,PSEUDO,confounding,ate,DR_k1,1,False,no path,no,yes,True,2,answer changed,-0.6666666666666666,-0.6666666666666666
price400,145,8355,PSEUDO,confounding,ate,DR_k2,2,False,backdoor,no,yes,True,2,answer changed,0.0,0.0
price400,145,8355,PSEUDO,confounding,ate,DR_k3,3,False,no path,no,yes,True,2,answer changed,-0.6666666666666666,-0.6666666666666666
price400,150,8686,KEEP,confounding,ate,DR_k1,1,False,no path,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,150,8686,KEEP,confounding,ate,DR_k2,2,False,backdoor,yes,no,True,2,answer changed,0.0,0.0
price400,150,8686,KEEP,confounding,ate,DR_k3,3,False,no path,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,150,8686,PSEUDO,confounding,ate,DR_k1,1,False,no path,no,no,True,2,"estimand changed, answer kept",0.0,0.0
price400,150,8686,PSEUDO,confounding,ate,DR_k2,2,False,backdoor,yes,no,True,2,answer changed,,0.0
price400,150,8686,PSEUDO,confounding,ate,DR_k3,3,False,no path,no,no,True,2,"estimand changed, answer kept",0.0,0.0
