id,matched,n_scm,printed_fits_true,printed_fits_faulty,max_dev_true,max_dev_faulty,wald_true,wald_printed,sign_differs,label,reasoning_value,label_follows_reasoning,label_follows_true
4686,True,2,True,True,0.0026,0.0023,-0.3283,-0.3214,False,no,-0.33,True,True
4702,True,2,True,True,0.0034,0.003,-0.3768,-0.3611,False,no,-0.38,True,True
4710,True,2,True,True,0.0033,0.0044,-0.3015,-0.3226,False,no,-0.3,True,True
4736,True,2,True,True,0.005,0.0044,-0.3186,-0.2667,False,yes,-0.32,True,True
4741,True,2,True,True,0.0034,0.0048,-0.2952,-0.3056,False,no,-0.29,True,True
4790,True,2,False,True,0.0056,0.0039,-0.2138,-0.2264,False,yes,-0.21,True,True
6409,True,2,False,True,0.0066,0.0046,-0.0199,-0.0,False,no,-0.01,True,True
6410,True,2,False,True,0.0066,0.0046,-0.0199,-0.0,False,yes,-0.01,True,True
6588,True,2,True,True,0.0046,0.0044,-0.3645,-0.375,False,yes,-0.36,True,True
6606,True,2,True,True,0.0027,0.0026,-0.3135,-0.3077,False,yes,-0.32,True,True
6610,True,2,True,True,0.0043,0.0013,-0.2553,-0.2683,False,yes,-0.27,True,True
6614,True,2,True,True,0.0004,0.0035,-0.3561,-0.3667,False,no,-0.34,True,True
6631,True,2,False,True,0.0109,0.0031,-0.4133,-0.45,False,no,-0.44,True,True
6638,True,2,True,True,0.0026,0.0042,-0.3798,-0.3902,False,no,-0.38,True,True
6642,True,2,True,True,0.0035,0.0041,-0.3676,-0.3704,False,no,-0.37,True,True
6665,True,2,True,True,0.0009,0.0022,-0.3344,-0.3333,False,yes,-0.34,True,True
8229,True,2,False,True,0.0065,0.0044,0.4,0.0,True,yes,0.06,True,True
8236,True,2,True,True,0.004,0.0042,0.227,0.2,False,yes,0.23,True,True
8239,True,2,False,True,0.0052,0.0049,0.2482,0.2368,False,yes,0.25,True,True
8256,True,2,False,True,0.0056,0.0045,0.2812,0.2708,False,no,0.28,True,True
8277,True,2,True,True,0.0048,0.0049,0.2958,0.3158,False,no,0.3,True,True
8285,True,2,False,True,0.0052,0.0049,0.2576,0.2963,False,no,0.26,True,True
8288,True,2,True,True,0.0036,0.0036,0.2146,0.2222,False,no,0.21,True,True
8304,True,2,True,True,0.0018,0.0043,0.1779,0.1714,False,no,0.19,True,True
9336,True,2,True,True,0.0016,0.0013,0.2166,0.2174,False,no,0.22,True,True
9343,True,2,False,True,0.0092,0.004,0.2286,0.25,False,yes,0.23,True,True
9383,True,2,True,True,0.0039,0.0036,0.5758,0.5814,False,yes,0.6,True,True
9388,True,2,True,True,0.0045,0.0024,0.359,0.3684,False,no,0.36,True,True
9397,True,2,False,True,0.0059,0.0034,0.316,0.3214,False,yes,0.32,True,True
9404,True,2,False,True,0.0056,0.0049,0.5736,0.6,False,yes,0.61,True,True
9410,True,2,False,True,0.0059,0.0029,0.6818,0.6571,False,no,0.67,True,True
9422,True,2,True,True,0.0019,0.0026,0.2537,0.2609,False,yes,0.25,True,True
9457,True,2,True,True,0.0039,0.0046,0.2886,0.2857,False,yes,0.29,True,True
9458,True,2,True,True,0.0039,0.0046,0.2886,0.2857,False,no,0.29,True,True
9467,True,2,False,True,0.0068,0.0048,0.2121,0.1875,False,no,0.21,True,True
9492,True,2,True,True,0.0039,0.0042,0.3881,0.4,False,no,0.39,True,True
9510,True,2,True,True,0.0009,0.0021,0.4468,0.4333,False,yes,0.45,True,True
9518,True,2,False,True,0.0057,0.0038,0.3994,0.4048,False,yes,0.4,True,True
11979,True,2,False,True,0.0119,0.0039,0.1782,0.186,False,yes,0.2,True,True
11998,True,2,True,True,0.0008,0.0015,0.1216,0.12,False,no,0.13,True,True
12022,True,2,True,True,0.0048,0.003,-0.1683,-0.1569,False,yes,-0.16,True,True
12028,True,2,True,True,0.0043,0.0026,0.1068,0.0833,False,no,0.09,True,True
12033,True,2,True,True,0.0013,0.004,-0.1027,-0.1064,False,yes,-0.1,True,True
12055,True,2,True,True,0.0017,0.0019,0.2029,0.2121,False,yes,0.2,True,True
12063,True,2,True,True,0.0047,0.0038,-0.0397,-0.0244,False,yes,-0.04,True,True
12224,True,2,True,True,0.003,0.0027,0.318,0.3077,False,yes,0.31,True,True
12227,True,2,True,True,0.0027,0.0027,0.5009,0.5128,False,yes,0.5,True,True
13835,True,2,False,True,0.0071,0.0029,-0.3982,-0.4048,False,no,-0.4,True,True
13836,True,2,False,True,0.0071,0.0029,-0.3982,-0.4048,False,yes,-0.4,True,True
13847,True,2,True,True,0.0021,0.0027,-0.2123,-0.2,False,yes,-0.22,True,True
13854,True,2,True,True,0.0017,0.0014,-0.2458,-0.2333,False,no,-0.24,True,True
13863,True,2,True,True,0.0004,0.0007,-0.4148,-0.4118,False,no,-0.42,True,True
13899,True,2,True,True,0.0046,0.0049,-0.2023,-0.2045,False,no,-0.2,True,True
13916,True,2,True,True,0.0039,0.0041,-0.3087,-0.3043,False,yes,-0.31,True,True
15037,True,2,True,True,0.0011,0.0049,-0.4651,-0.4615,False,yes,-0.44,True,True
15060,True,2,False,True,0.013,0.0043,-0.5815,-0.6296,False,yes,-0.61,True,True
15070,True,2,True,True,0.0038,0.0042,-0.3176,-0.3448,False,no,-0.32,True,True
15077,True,2,True,True,0.0045,0.0035,-0.2553,-0.2727,False,yes,-0.26,True,True
15084,True,2,False,True,0.0059,0.0046,-0.3532,-0.3654,False,yes,-0.35,True,True
15094,True,2,True,True,0.0034,0.003,-0.3768,-0.3611,False,no,-0.38,True,True
15108,True,2,True,True,0.0028,0.0043,-0.2565,-0.2424,False,no,-0.26,True,True
15117,True,2,True,True,0.0046,0.0045,-0.2557,-0.2424,False,no,-0.26,True,True
15120,True,2,False,True,0.0068,0.0046,-0.2836,-0.1818,False,yes,-0.28,True,True
15125,True,2,True,True,0.0026,0.0044,-0.3418,-0.3548,False,no,-0.34,True,True
15128,True,2,True,True,0.005,0.0044,-0.3186,-0.2667,False,yes,-0.32,True,True
15133,True,2,True,True,0.0034,0.0048,-0.2952,-0.3056,False,no,-0.29,True,True
15152,True,2,False,True,0.006,0.0011,-0.3471,-0.4,False,yes,-0.39,True,True
15157,True,2,False,True,0.0086,0.0014,-0.4663,-0.3333,False,no,-0.29,True,True
15160,True,2,True,True,0.0027,0.0027,-0.2301,-0.2222,False,yes,-0.23,True,True
15176,True,2,True,True,0.0041,0.0044,-0.2966,-0.2917,False,yes,-0.3,True,True
15182,True,2,False,True,0.0056,0.0039,-0.2138,-0.2264,False,yes,-0.21,True,True
16771,True,2,True,True,0.0011,0.0026,-0.1492,-0.1515,False,no,-0.14,True,True
16779,True,2,False,True,0.0144,0.0013,0.0631,0.0882,False,yes,0.09,True,True
16780,True,2,False,True,0.0144,0.0013,0.0631,0.0882,False,no,0.09,True,True
16786,True,2,True,True,0.0001,0.0047,0.0553,0.0556,False,no,0.05,True,True
16801,True,2,False,True,0.0066,0.0046,-0.0199,-0.0,False,no,-0.01,True,True
16818,True,2,False,True,0.0063,0.0045,-0.1259,-0.1167,False,no,-0.13,True,True
17002,True,2,True,True,0.0043,0.0013,-0.2553,-0.2683,False,yes,-0.27,True,True
17009,True,2,True,True,0.003,0.0038,-0.6748,-0.6923,False,no,-0.69,True,True
17023,True,2,False,True,0.0109,0.0031,-0.4133,-0.45,False,no,-0.44,True,True
17034,True,2,True,True,0.0035,0.0041,-0.3676,-0.3704,False,no,-0.37,True,True
17061,True,2,True,True,0.0042,0.0012,-0.4347,-0.4074,False,yes,-0.42,True,True
18623,True,2,True,True,0.0042,0.0031,0.2756,0.2727,False,yes,0.27,True,True
18628,True,2,True,True,0.004,0.0042,0.227,0.2,False,yes,0.23,True,True
18634,True,2,True,True,0.0044,0.0032,0.3619,0.3654,False,yes,0.36,True,True
18641,True,2,True,True,0.0043,0.0041,0.2374,0.2273,False,no,0.24,True,True
18686,True,2,True,True,0.0034,0.0024,0.3179,0.3214,False,yes,0.32,True,True
19796,True,2,False,True,0.0056,0.0049,0.5736,0.6,False,yes,0.61,True,True
19798,True,2,True,True,0.0041,0.0047,0.2857,0.2759,False,yes,0.29,True,True
19806,True,2,True,True,0.0036,0.0032,0.3458,0.3488,False,no,0.35,True,True
19831,True,2,True,True,0.0026,0.0039,0.302,0.2917,False,yes,0.29,True,True
19874,True,2,True,True,0.0032,0.0023,0.2774,0.2927,False,no,0.28,True,True
19902,True,2,True,True,0.0009,0.0021,0.4468,0.4333,False,yes,0.45,True,True
21021,True,1,False,True,0.0619,0.0024,-0.6252,-0.2632,False,no,-0.26,True,True
21469,True,1,False,True,0.0179,0.0029,0.3976,0.4,False,yes,0.37,True,True
21486,True,1,True,True,0.0023,0.0046,-0.5874,-0.5833,False,no,-0.55,True,True
21494,True,1,True,True,0.0035,0.0032,0.2736,0.2857,False,yes,0.28,True,True
21909,True,1,False,True,0.0118,0.004,0.343,0.375,False,yes,0.39,True,True
22354,True,1,False,True,0.0808,0.004,-0.6774,0.1538,True,no,0.16,True,False
22784,True,1,False,True,0.0864,0.0022,-0.4329,-0.3333,False,no,-0.35,True,True
22796,True,1,False,True,0.1161,0.0035,-0.608,-0.6429,False,yes,-0.66,True,True
23255,True,1,False,True,0.023,0.0021,0.3537,0.3,False,no,0.3,True,True
23259,True,1,False,True,0.0352,0.0022,0.6924,0.5676,False,no,0.57,True,True
23680,True,1,False,True,0.0981,0.0038,-1.8838,-0.2,False,no,-0.22,True,True
23683,True,1,False,True,0.01,0.0019,-0.2948,-0.2,False,yes,-0.18,True,True
23697,True,1,False,True,0.0081,0.0042,-0.0097,-0.0333,False,no,-0.04,True,True
24102,True,1,False,True,0.064,0.0033,-0.7726,-0.56,False,no,-0.58,True,True
24110,True,1,False,True,0.0485,0.0027,0.1212,0.0222,False,no,0.03,True,True
24960,True,1,False,True,0.0141,0.0045,-0.2882,0.0,False,yes,0.01,True,False
24967,True,1,False,True,0.009,0.0019,-0.4225,-0.403,False,yes,-0.4,True,True
24970,True,1,False,True,0.1922,0.0029,-1.107,0.3333,True,no,0.34,True,False
24972,True,1,False,True,0.1296,0.0046,0.1469,-0.0937,True,yes,-0.09,True,False
25391,True,1,True,True,0.0022,0.0034,0.0082,0.0,True,no,0.03,True,True
25827,True,1,False,True,0.0728,0.0046,24.4032,,,no,-0.23,True,False
26264,True,1,True,True,0.0027,0.0021,0.5719,0.5294,False,yes,0.55,True,True
26269,True,1,True,True,0.0022,0.0021,-0.0448,-0.0471,False,no,-0.04,True,True
26276,True,1,False,True,0.0061,0.0016,-0.5657,-0.5312,False,yes,-0.54,True,True
26281,True,1,False,True,0.0166,0.0048,-0.547,-0.5,False,yes,-0.48,True,True
26287,True,1,False,True,0.0092,0.0024,0.1229,0.0984,False,no,0.1,True,True
26726,True,1,False,True,0.0829,0.0036,0.5137,0.5185,False,yes,0.54,True,True
26729,True,1,False,True,0.0305,0.0031,-0.4298,-0.3636,False,no,-0.34,True,True
26730,True,1,False,True,0.0305,0.0031,-0.4298,-0.3636,False,yes,-0.34,True,True
27140,True,1,False,True,0.0148,0.0043,-0.123,-0.0,False,yes,0.32,True,False
27147,True,1,False,True,0.0147,0.0027,-0.0065,0.0,False,yes,-0.04,True,True
27161,True,1,False,True,0.0198,0.003,-0.2274,-0.2083,False,yes,-0.19,True,True
27579,True,1,False,True,0.0631,0.0048,0.0619,0.2069,False,no,0.19,True,True
27591,True,1,True,True,0.0042,0.0044,0.3609,0.3158,False,no,0.37,True,True
27594,True,1,False,True,0.0301,0.0024,-0.1891,-0.2656,False,yes,-0.26,True,True
28009,True,1,False,True,0.0177,0.0027,0.2387,0.375,False,no,0.35,True,True
28013,True,1,False,True,0.0578,0.0032,-0.3478,-0.2444,False,yes,-0.23,True,True
28024,True,1,False,True,0.0178,0.004,-0.0884,-0.5,False,no,-0.37,True,True
28485,True,1,False,True,0.0234,0.0038,-0.4275,-0.3333,False,yes,-0.35,True,True
28490,True,1,False,True,0.0195,0.0042,-0.2115,-0.087,False,no,-0.06,True,True
28497,True,1,True,True,0.002,0.0034,0.1085,0.1064,False,yes,0.11,True,True
28917,True,1,False,True,0.1411,0.0024,-0.3313,0.0417,True,no,0.05,True,False
29386,True,1,False,True,0.0115,0.0047,-0.217,0.0,False,yes,-0.07,True,True
