item,story,cond,lexicon,gold,n_nodes,has_data,path,model,pred,parsed,correct,in_tok,out_tok,error
75,"job performance rating | level of education | salary | years of work experience || AC,AD,BC,BD",RAW,KEEP,yes,4,True,True,gpt-4.1,yes,1,1,147,38,
77,"education level | happiness level | income level | job performance || AB,AC,BD,CD",ORACLE,KEEP,no,4,True,True,gpt-4.1,no,1,1,182,146,
77,"education level | happiness level | income level | job performance || AB,AC,BD,CD",RAW,KEEP,no,4,True,True,gpt-4.1,no,1,1,134,132,
79,"the amount of exercise a person gets | the amount of sleep a person gets | the person's energy level | the person's overall health || AD,BC,CD",ORACLE,KEEP,no,4,False,False,gpt-4.1,no,1,1,173,93,
79,"the amount of exercise a person gets | the amount of sleep a person gets | the person's energy level | the person's overall health || AD,BC,CD",RAW,KEEP,no,4,False,False,gpt-4.1,yes,1,0,110,3,
82,"the amount of time spent studying | the final grade in the course | the level of understanding of the subject | the test score obtained || AB,AC,BC,BD,CD",ORACLE,KEEP,yes,4,True,True,gpt-4.1,yes,1,1,248,135,
82,"the amount of time spent studying | the final grade in the course | the level of understanding of the subject | the test score obtained || AB,AC,BC,BD,CD",RAW,KEEP,yes,4,True,True,gpt-4.1,yes,1,1,169,3,
83,"the amount of sleep the night before the exam | the number of hours studied for an exam | the overall performance in the course | the score obtained on the exam || AB,AC,BD,CD",ORACLE,KEEP,yes,4,True,True,gpt-4.1,yes,1,1,273,139,
83,"the amount of sleep the night before the exam | the number of hours studied for an exam | the overall performance in the course | the score obtained on the exam || AB,AC,BD,CD",RAW,KEEP,yes,4,True,True,gpt-4.1,yes,1,1,189,49,
92,"customer satisfaction | product quality | revenue | sales || AC,BC,CD",ORACLE,KEEP,no,4,False,False,gpt-4.1,no,1,1,131,52,
92,"customer satisfaction | product quality | revenue | sales || AC,BC,CD",RAW,KEEP,no,4,False,False,gpt-4.1,yes,1,0,90,3,
94,"amount of trash left on the beach | number of people going to the beach | weather conditions || AB,AC,BC",ORACLE,KEEP,no,3,False,False,gpt-4.1,no,1,1,169,130,
94,"amount of trash left on the beach | number of people going to the beach | weather conditions || AB,AC,BC",RAW,KEEP,no,3,False,False,gpt-4.1,no,1,1,111,3,
96,"amount of rainfall | crop yield | soil moisture || AB,BC",ORACLE,KEEP,no,3,False,False,gpt-4.1,no,1,1,128,76,
96,"amount of rainfall | crop yield | soil moisture || AB,BC",RAW,KEEP,no,3,False,False,gpt-4.1,no,1,1,92,95,
97,"availability of alternative routes | road construction | traffic congestion | travel time to destination || AB,AC,AD,BD,CD",ORACLE,KEEP,no,4,True,True,gpt-4.1,no,1,1,198,109,
97,"availability of alternative routes | road construction | traffic congestion | travel time to destination || AB,AC,AD,BD,CD",RAW,KEEP,no,4,True,True,gpt-4.1,no,1,1,137,3,
99,"job experience | job performance | level of education | salary || AB,AD,BC,BD,CD",ORACLE,KEEP,yes,4,True,True,gpt-4.1,yes,1,1,191,130,
99,"job experience | job performance | level of education | salary || AB,AD,BC,BD,CD",RAW,KEEP,yes,4,True,True,gpt-4.1,yes,1,1,141,113,
103,"a company | company expenses | company profit | company revenue || AB,AC,AD,BC",ORACLE,KEEP,no,4,False,False,gpt-4.1,no,1,1,131,197,
103,"a company | company expenses | company profit | company revenue || AB,AC,AD,BC",RAW,KEEP,no,4,False,False,gpt-4.1,no,1,1,90,126,
104,"amount of exercise | caloric intake | weight loss/gain || AC,BC",ORACLE,KEEP,yes,3,True,True,gpt-4.1,yes,1,1,190,165,
104,"amount of exercise | caloric intake | weight loss/gain || AC,BC",RAW,KEEP,yes,3,True,True,gpt-4.1,yes,1,1,149,52,
105,"crop yield | economic growth | humidity level | profit of farmers | weather conditions || AB,AC,BC,BD,CD,DE",ORACLE,KEEP,yes,5,True,True,gpt-4.1,yes,1,1,199,126,
105,"crop yield | economic growth | humidity level | profit of farmers | weather conditions || AB,AC,BC,BD,CD,DE",RAW,KEEP,yes,5,True,True,gpt-4.1,yes,1,1,134,130,
107,"amount of rainfall | crop yield | soil moisture level | weather conditions || AC,AD,BC,CD",ORACLE,KEEP,yes,4,True,True,gpt-4.1,yes,1,1,186,214,
107,"amount of rainfall | crop yield | soil moisture level | weather conditions || AC,AD,BC,CD",RAW,KEEP,yes,4,True,True,gpt-4.1,yes,1,1,134,80,
108,"amount of studying | grade in class | overall academic achievement | test performance || AB,BC,BD,CD",ORACLE,KEEP,yes,4,True,True,gpt-4.1,yes,1,1,192,139,
108,"amount of studying | grade in class | overall academic achievement | test performance || AB,BC,BD,CD",RAW,KEEP,yes,4,True,True,gpt-4.1,yes,1,1,139,37,
109,"a manufacturing plant | the efficiency of the plant's machinery | the overall profitability of the plant | the production output of the plant || AB,AC,AD,BC,BD",ORACLE,KEEP,no,4,True,True,gpt-4.1,no,1,1,357,532,
109,"a manufacturing plant | the efficiency of the plant's machinery | the overall profitability of the plant | the production output of the plant || AB,AC,AD,BC,BD",RAW,KEEP,no,4,True,True,gpt-4.1,no,1,1,286,562,
110,"amount of rainfall | crop yield | groundwater level || AB,AC",ORACLE,KEEP,no,3,False,False,gpt-4.1,no,1,1,119,63,
110,"amount of rainfall | crop yield | groundwater level || AB,AC",RAW,KEEP,no,3,False,False,gpt-4.1,no,1,1,90,132,
114,"the availability of public transportation | the cost of fuel | the number of cars on the road || AC,BC",ORACLE,KEEP,no,3,False,False,gpt-4.1,no,1,1,154,102,
114,"the availability of public transportation | the cost of fuel | the number of cars on the road || AC,BC",RAW,KEEP,no,3,False,False,gpt-4.1,no,1,1,104,3,
116,"patient's diet | patient's exercise habits | patient's life expectancy | patient's overall health | patient's stress levels || AD,BD,CD,DE",ORACLE,KEEP,no,5,False,False,gpt-4.1,no,1,1,160,68,
116,"patient's diet | patient's exercise habits | patient's life expectancy | patient's overall health | patient's stress levels || AD,BD,CD,DE",RAW,KEEP,no,5,False,False,gpt-4.1,no,1,1,94,81,
120,"the amount of exercise a person does | the person's cardiovascular health | the person's immune system | the person's overall health | the person's respiratory health || AB,AD,BC,BE,CD,CE,DE",ORACLE,KEEP,yes,5,True,True,gpt-4.1,yes,1,1,251,165,
120,"the amount of exercise a person does | the person's cardiovascular health | the person's immune system | the person's overall health | the person's respiratory health || AB,AD,BC,BE,CD,CE,DE",RAW,KEEP,yes,5,True,True,gpt-4.1,yes,1,1,162,3,
125,"the amount of rainfall in a region | the availability of water for irrigation | the crop yield in the region | the water level in a river || AB,AC,BC,BD,CD",ORACLE,KEEP,no,4,False,False,gpt-4.1,no,1,1,192,95,
125,"the amount of rainfall in a region | the availability of water for irrigation | the crop yield in the region | the water level in a river || AB,AC,BC,BD,CD",RAW,KEEP,no,4,False,False,gpt-4.1,no,1,1,108,3,
129,"amount of sunlight | crop quality | crop yield | weather conditions || AC,AD,BC,BD",ORACLE,KEEP,no,4,False,False,gpt-4.1,no,1,1,136,140,
129,"amount of sunlight | crop quality | crop yield | weather conditions || AC,AD,BC,BD",RAW,KEEP,no,4,False,False,gpt-4.1,no,1,1,94,124,
135,"the grade achieved in an exam | the likelihood of getting a scholarship | the likelihood of getting admitted to a university | the number of hours spent studying || AB,BC,BD",ORACLE,KEEP,no,4,False,False,gpt-4.1,no,1,1,170,128,
135,"the grade achieved in an exam | the likelihood of getting a scholarship | the likelihood of getting admitted to a university | the number of hours spent studying || AB,BC,BD",RAW,KEEP,no,4,False,False,gpt-4.1,yes,1,0,110,162,
139,"employment status | happiness level | income | level of education || AB,AC,AD",ORACLE,KEEP,no,4,False,False,gpt-4.1,no,1,1,123,127,
139,"employment status | happiness level | income | level of education || AB,AC,AD",RAW,KEEP,no,4,False,False,gpt-4.1,no,1,1,92,173,
149,"final grade in the class | number of hours of studying for a test | test score || AB,BC",ORACLE,KEEP,yes,3,True,True,gpt-4.1,yes,1,1,190,212,
149,"final grade in the class | number of hours of studying for a test | test score || AB,BC",RAW,KEEP,yes,3,True,True,gpt-4.1,yes,1,1,146,35,
152,"customer satisfaction | product quality | revenue | sales || AC,BC,CD",ORACLE,KEEP,no,4,True,True,gpt-4.1,no,1,1,171,133,
152,"customer satisfaction | product quality | revenue | sales || AC,BC,CD",RAW,KEEP,no,4,True,True,gpt-4.1,no,1,1,130,124,
157,"the amount of sleep the student gets | the grade the student receives on a test | the number of hours a student studies | the overall academic performance of the student || AB,AD,BD,CD",ORACLE,KEEP,yes,4,True,True,gpt-4.1,yes,1,1,263,173,
157,"the amount of sleep the student gets | the grade the student receives on a test | the number of hours a student studies | the overall academic performance of the student || AB,AD,BD,CD",RAW,KEEP,yes,4,True,True,gpt-4.1,yes,1,1,178,3,
163,"the final grade of the student | whether a student studies for an exam | whether the student is well-prepared | whether the student performs well on the exam | whether the student understands the material || AB,AC,AD,BC,BD,BE,CD,DE",ORACLE,KEEP,no,5,True,True,gpt-4.1,no,1,1,301,150,
163,"the final grade of the student | whether a student studies for an exam | whether the student is well-prepared | whether the student performs well on the exam | whether the student understands the material || AB,AC,AD,BC,BD,BE,CD,DE",RAW,KEEP,no,5,True,True,gpt-4.1,no,1,1,174,40,
164,"amount of sleep | exam score | number of hours studied || AC,BC",ORACLE,KEEP,no,3,False,False,gpt-4.1,no,1,1,134,76,
164,"amount of sleep | exam score | number of hours studied || AC,BC",RAW,KEEP,no,3,False,False,gpt-4.1,yes,1,0,96,94,
165,"credit score | income level | loan approval status | savings amount || AB,AC,AD,BD,CD",ORACLE,KEEP,yes,4,True,True,gpt-4.1,yes,1,1,286,441,
165,"credit score | income level | loan approval status | savings amount || AB,AC,AD,BD,CD",RAW,KEEP,yes,4,True,True,gpt-4.1,yes,1,1,232,427,
168,"education level | happiness level | income level | job performance || AB,AC,BD,CD",ORACLE,KEEP,no,4,False,False,gpt-4.1,no,1,1,138,66,
168,"education level | happiness level | income level | job performance || AB,AC,BD,CD",RAW,KEEP,no,4,False,False,gpt-4.1,no,1,1,90,116,
176,"exam score | grade in the course | number of hours studied || AB,BC",ORACLE,KEEP,no,3,False,False,gpt-4.1,no,1,1,133,110,
176,"exam score | grade in the course | number of hours studied || AB,BC",RAW,KEEP,no,3,False,False,gpt-4.1,no,1,1,94,204,
182,"the final grade of the student | whether a student studies for an exam | whether the student is well-prepared | whether the student performs well on the exam | whether the student understands the material || AB,AC,AD,BC,BD,BE,CD,DE",ORACLE,KEEP,no,5,True,True,gpt-4.1,no,1,1,437,620,
182,"the final grade of the student | whether a student studies for an exam | whether the student is well-prepared | whether the student performs well on the exam | whether the student understands the material || AB,AC,AD,BC,BD,BE,CD,DE",RAW,KEEP,no,5,True,True,gpt-4.1,no,1,1,310,560,
185,"job experience | job performance | level of education | salary | skills proficiency || AB,AD,AE,BC,BD,CD,CE",ORACLE,KEEP,no,5,True,True,gpt-4.1,no,1,1,194,134,
185,"job experience | job performance | level of education | salary | skills proficiency || AB,AD,AE,BC,BD,CD,CE",RAW,KEEP,no,5,True,True,gpt-4.1,no,1,1,138,36,
188,"overall health condition | physical fitness level | time spent exercising || AB,AC",ORACLE,KEEP,no,3,False,False,gpt-4.1,no,1,1,125,56,
188,"overall health condition | physical fitness level | time spent exercising || AB,AC",RAW,KEEP,no,3,False,False,gpt-4.1,no,1,1,94,243,
189,"a person's education level | a person's financial stability | a person's income | a person's job status || AB,AC,AD,BC",ORACLE,KEEP,yes,4,True,True,gpt-4.1,yes,1,1,198,147,
189,"a person's education level | a person's financial stability | a person's income | a person's job status || AB,AC,AD,BC",RAW,KEEP,yes,4,True,True,gpt-4.1,yes,1,1,146,3,
191,"job experience | job performance | level of education | salary || AB,AD,BC,BD,CD",ORACLE,KEEP,yes,4,True,True,gpt-4.1,yes,1,1,287,407,
191,"job experience | job performance | level of education | salary || AB,AD,BC,BD,CD",RAW,KEEP,yes,4,True,True,gpt-4.1,yes,1,1,237,463,
192,"the amount of exercise a person does | the person's cardiovascular health | the person's immune system | the person's overall health | the person's respiratory health || AB,AD,BC,BE,CD,CE,DE",ORACLE,KEEP,no,5,False,False,gpt-4.1,no,1,1,187,59,
192,"the amount of exercise a person does | the person's cardiovascular health | the person's immune system | the person's overall health | the person's respiratory health || AB,AD,BC,BE,CD,CE,DE",RAW,KEEP,no,5,False,False,gpt-4.1,no,1,1,98,3,
193,"amount of rainfall | crop yield | temperature | wind speed || AD,BD,CD",ORACLE,KEEP,no,4,True,True,gpt-4.1,no,1,1,179,154,
193,"amount of rainfall | crop yield | temperature | wind speed || AD,BD,CD",RAW,KEEP,no,4,True,True,gpt-4.1,no,1,1,134,35,
195,"credit score | income level | loan approval status | savings amount || AB,AC,AD,BD,CD",ORACLE,KEEP,no,4,False,False,gpt-4.1,no,1,1,146,246,
195,"credit score | income level | loan approval status | savings amount || AB,AC,AD,BD,CD",RAW,KEEP,no,4,False,False,gpt-4.1,no,1,1,92,155,
197,"the grade achieved in an exam | the likelihood of getting a scholarship | the likelihood of getting admitted to a university | the number of hours spent studying || AB,BC,BD",ORACLE,KEEP,no,4,True,True,gpt-4.1,no,1,1,226,226,
197,"the grade achieved in an exam | the likelihood of getting a scholarship | the likelihood of getting admitted to a university | the number of hours spent studying || AB,BC,BD",RAW,KEEP,no,4,True,True,gpt-4.1,no,1,1,166,58,
205,"whether a person is exposed to a contagious disease | whether the person receives appropriate treatment | whether the person recovers from the disease | whether the person seeks medical attention | whether the person shows symptoms of the disease || AB,AE,BC,BD,CD,CE,DE",ORACLE,KEEP,no,5,True,True,gpt-4.1,no,1,1,461,568,
205,"whether a person is exposed to a contagious disease | whether the person receives appropriate treatment | whether the person recovers from the disease | whether the person seeks medical attention | whether the person shows symptoms of the disease || AB,AE,BC,BD,CD,CE,DE",RAW,KEEP,no,5,True,True,gpt-4.1,no,1,1,340,555,
215,"crop yield | the amount of rainfall | the soil moisture level || AB,AC,BC",ORACLE,KEEP,no,3,False,False,gpt-4.1,no,1,1,138,88,
215,"crop yield | the amount of rainfall | the soil moisture level || AB,AC,BC",RAW,KEEP,no,3,False,False,gpt-4.1,no,1,1,94,94,
218,"job experience | job performance | level of education | salary | skills proficiency || AB,AD,AE,BC,BD,CD,CE",ORACLE,KEEP,no,5,True,True,gpt-4.1,no,1,1,194,88,
218,"job experience | job performance | level of education | salary | skills proficiency || AB,AD,AE,BC,BD,CD,CE",RAW,KEEP,no,5,True,True,gpt-4.1,no,1,1,138,3,
220,"amount of rainfall | crop yield | soil moisture level | weather conditions || AC,AD,BC,CD",ORACLE,KEEP,yes,4,True,True,gpt-4.1,yes,1,1,284,481,
220,"amount of rainfall | crop yield | soil moisture level | weather conditions || AC,AD,BC,CD",RAW,KEEP,yes,4,True,True,gpt-4.1,yes,1,1,232,529,
223,"customer satisfaction with a product | number of positive reviews for the product | revenue generated from the product | sales performance of the product || AB,AD,BC,CD",ORACLE,KEEP,no,4,False,False,gpt-4.1,no,1,1,179,101,
223,"customer satisfaction with a product | number of positive reviews for the product | revenue generated from the product | sales performance of the product || AB,AD,BC,CD",RAW,KEEP,no,4,False,False,gpt-4.1,no,1,1,106,153,
226,"the amount of exercise the person does | the amount of sleep a person gets | the overall health of the person | the productivity level of the person || AB,AD,BD,CD",ORACLE,KEEP,no,4,True,True,gpt-4.1,no,1,1,248,146,
226,"the amount of exercise the person does | the amount of sleep a person gets | the overall health of the person | the productivity level of the person || AB,AD,BD,CD",RAW,KEEP,no,4,True,True,gpt-4.1,no,1,1,170,63,
229,"amount of exercise | body weight | caloric intake | overall health || AD,BC,CD",ORACLE,KEEP,no,4,False,False,gpt-4.1,no,1,1,139,94,
229,"amount of exercise | body weight | caloric intake | overall health || AD,BC,CD",RAW,KEEP,no,4,False,False,gpt-4.1,no,1,1,92,201,
230,"exam score | grade in the course | number of hours studied for an exam || AB,AC,BC",ORACLE,KEEP,yes,3,True,True,gpt-4.1,yes,1,1,209,260,
230,"exam score | grade in the course | number of hours studied for an exam || AB,AC,BC",RAW,KEEP,yes,3,True,True,gpt-4.1,yes,1,1,162,113,
231,"the amount of time spent studying | the final grade in the course | the level of understanding of the subject | the test score obtained || AB,AC,BC,BD,CD",ORACLE,KEEP,no,4,True,True,gpt-4.1,no,1,1,380,386,
231,"the amount of time spent studying | the final grade in the course | the level of understanding of the subject | the test score obtained || AB,AC,BC,BD,CD",RAW,KEEP,no,4,True,True,gpt-4.1,no,1,1,301,657,
232,"humidity | precipitation | temperature | weather conditions || AB,AC,BC,BD",ORACLE,KEEP,no,4,False,False,gpt-4.1,no,1,1,124,91,
232,"humidity | precipitation | temperature | weather conditions || AB,AC,BC,BD",RAW,KEEP,no,4,False,False,gpt-4.1,no,1,1,88,136,
234,"patient's diet | patient's exercise habits | patient's life expectancy | patient's overall health | patient's stress levels || AD,BD,CD,DE",ORACLE,KEEP,yes,5,True,True,gpt-4.1,yes,1,1,208,162,
234,"patient's diet | patient's exercise habits | patient's life expectancy | patient's overall health | patient's stress levels || AD,BD,CD,DE",RAW,KEEP,yes,5,True,True,gpt-4.1,yes,1,1,142,81,
235,"availability of public transportation | traffic congestion | travel time to work || AB,AC,BC",ORACLE,KEEP,no,3,False,False,gpt-4.1,no,1,1,138,163,
235,"availability of public transportation | traffic congestion | travel time to work || AB,AC,BC",RAW,KEEP,no,3,False,False,gpt-4.1,no,1,1,94,154,
237,"access to medical facilities | education level | healthcare coverage | income level | overall health status || AC,AE,BC,BE,CD,CE,DE",ORACLE,KEEP,yes,5,True,True,gpt-4.1,yes,1,1,210,180,
237,"access to medical facilities | education level | healthcare coverage | income level | overall health status || AC,AE,BC,BE,CD,CE,DE",RAW,KEEP,yes,5,True,True,gpt-4.1,yes,1,1,138,3,
241,"grade in the course | number of hours studied | overall gpa | test performance || AB,BC,CD",ORACLE,KEEP,no,4,False,False,gpt-4.1,no,1,1,148,90,
241,"grade in the course | number of hours studied | overall gpa | test performance || AB,BC,CD",RAW,KEEP,no,4,False,False,gpt-4.1,no,1,1,96,3,
242,"the amount of rainfall in a region | the availability of water for irrigation | the crop yield in the region | the water level in a river || AB,AC,BC,BD,CD",ORACLE,KEEP,no,4,True,True,gpt-4.1,no,1,1,254,151,
242,"the amount of rainfall in a region | the availability of water for irrigation | the crop yield in the region | the water level in a river || AB,AC,BC,BD,CD",RAW,KEEP,no,4,True,True,gpt-4.1,no,1,1,170,55,
244,"the decision to bring an umbrella | the weather forecast | whether the person gets wet | whether the person stays dry || AB,BC,BD",ORACLE,KEEP,yes,4,True,True,gpt-4.1,yes,1,1,203,115,
244,"the decision to bring an umbrella | the weather forecast | whether the person gets wet | whether the person stays dry || AB,BC,BD",RAW,KEEP,yes,4,True,True,gpt-4.1,yes,1,1,150,110,
250,"exam score | grade received in the course | number of hours studied for an exam || AB,AC",ORACLE,KEEP,no,3,False,False,gpt-4.1,no,1,1,142,152,
250,"exam score | grade received in the course | number of hours studied for an exam || AB,AC",RAW,KEEP,no,3,False,False,gpt-4.1,no,1,1,106,3,
251,"the amount of rainfall in a region | the availability of water for irrigation | the crop yield in the region | the water level in a river || AB,AC,BC,BD,CD",ORACLE,KEEP,yes,4,True,True,gpt-4.1,yes,1,1,254,156,
251,"the amount of rainfall in a region | the availability of water for irrigation | the crop yield in the region | the water level in a river || AB,AC,BC,BD,CD",RAW,KEEP,yes,4,True,True,gpt-4.1,yes,1,1,170,71,
254,"the amount of sleep the night before the exam | the number of hours studied for an exam | the overall performance in the course | the score obtained on the exam || AB,AC,BD,CD",ORACLE,KEEP,no,4,False,False,gpt-4.1,no,1,1,196,181,
254,"the amount of sleep the night before the exam | the number of hours studied for an exam | the overall performance in the course | the score obtained on the exam || AB,AC,BD,CD",RAW,KEEP,no,4,False,False,gpt-4.1,no,1,1,112,143,
256,"amount of exercise | body weight | dietary habits | risk of developing chronic diseases || AC,BC,CD",ORACLE,KEEP,no,4,False,False,gpt-4.1,no,1,1,147,94,
256,"amount of exercise | body weight | dietary habits | risk of developing chronic diseases || AC,BC,CD",RAW,KEEP,no,4,False,False,gpt-4.1,no,1,1,98,196,
259,"humidity | rainfall | temperature || AC,BC",ORACLE,KEEP,no,3,True,True,gpt-4.1,no,1,1,157,150,
259,"humidity | rainfall | temperature || AC,BC",RAW,KEEP,no,3,True,True,gpt-4.1,no,1,1,126,55,
263,"job experience | job performance | level of education | salary || AB,AD,BC,BD,CD",ORACLE,KEEP,no,4,False,False,gpt-4.1,no,1,1,138,228,
263,"job experience | job performance | level of education | salary || AB,AD,BC,BD,CD",RAW,KEEP,no,4,False,False,gpt-4.1,no,1,1,88,77,
269,"the amount of exercise the person does | the amount of sleep a person gets | the overall health of the person | the productivity level of the person || AB,AD,BD,CD",ORACLE,KEEP,yes,4,True,True,gpt-4.1,yes,1,1,382,617,
269,"the amount of exercise the person does | the amount of sleep a person gets | the overall health of the person | the productivity level of the person || AB,AD,BD,CD",RAW,KEEP,yes,4,True,True,gpt-4.1,yes,1,1,304,611,
272,"amount of rainfall | crop yield | soil moisture level | weather conditions || AC,AD,BC,CD",ORACLE,KEEP,no,4,True,True,gpt-4.1,no,1,1,190,149,
