item,story,cond,lexicon,gold,n_nodes,has_data,path,model,pred,parsed,correct,in_tok,out_tok,error,provider,finish,usd,max_tokens
17,"the grade obtained on the exam | whether a student studies for an exam or not | whether the student passes the course or not || AB,BC",ORACLE,PSEUDO,yes,3,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,182,132,,Novita,stop,7.737e-05,700
17,"the grade obtained on the exam | whether a student studies for an exam or not | whether the student passes the course or not || AB,BC",RAW,PSEUDO,yes,3,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,144,132,,Novita,stop,7.224e-05,700
19,"amount of exercise | body weight | dietary habits | risk of developing chronic diseases || AC,BC,CD",DR_k1,PSEUDO,no,4,True,True,meta-llama/llama-3.3-70b-instruct,no,1,1,186,111,,Novita,stop,6.951e-05,700
19,"amount of exercise | body weight | dietary habits | risk of developing chronic diseases || AC,BC,CD",ORACLE,PSEUDO,no,4,True,True,meta-llama/llama-3.3-70b-instruct,no,1,1,194,268,,Novita,stop,0.00013339,700
19,"amount of exercise | body weight | dietary habits | risk of developing chronic diseases || AC,BC,CD",RAW,PSEUDO,no,4,True,True,meta-llama/llama-3.3-70b-instruct,no,1,1,144,125,,Novita,stop,6.944e-05,700
20,"amount of rainfall | growth rate of plants | water level in a nearby river || AB,AC",DR_k1,PSEUDO,no,3,False,False,meta-llama/llama-3.3-70b-instruct,yes,1,0,135,225,,Novita,stop,0.000108225,700
20,"amount of rainfall | growth rate of plants | water level in a nearby river || AB,AC",ORACLE,PSEUDO,no,3,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,128,78,,Novita,stop,4.848e-05,700
20,"amount of rainfall | growth rate of plants | water level in a nearby river || AB,AC",RAW,PSEUDO,no,3,False,False,meta-llama/llama-3.3-70b-instruct,yes,1,0,98,227,,Novita,stop,0.00010403,700
28,"the amount of sleep the night before the exam | the number of hours studied for an exam | the overall performance in the course | the score obtained on the exam || AB,AC,BD,CD",DR_k1,PSEUDO,no,4,True,True,meta-llama/llama-3.3-70b-instruct,no,1,1,299,651,,Novita,stop,0.000300765,700
28,"the amount of sleep the night before the exam | the number of hours studied for an exam | the overall performance in the course | the score obtained on the exam || AB,AC,BD,CD",ORACLE,PSEUDO,no,4,True,True,meta-llama/llama-3.3-70b-instruct,no,1,1,299,570,,Novita,stop,0.000268365,700
28,"the amount of sleep the night before the exam | the number of hours studied for an exam | the overall performance in the course | the score obtained on the exam || AB,AC,BD,CD",RAW,PSEUDO,no,4,True,True,meta-llama/llama-3.3-70b-instruct,no,1,1,247,628,,Novita,stop,0.000284545,700
37,"customer satisfaction with a product | number of positive reviews for the product | revenue generated from the product | sales performance of the product || AB,AD,BC,CD",DR_k1,PSEUDO,no,4,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,151,408,,Novita,stop,0.000183585,700
37,"customer satisfaction with a product | number of positive reviews for the product | revenue generated from the product | sales performance of the product || AB,AD,BC,CD",ORACLE,PSEUDO,no,4,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,151,500,,Novita,stop,0.000220385,700
37,"customer satisfaction with a product | number of positive reviews for the product | revenue generated from the product | sales performance of the product || AB,AD,BC,CD",RAW,PSEUDO,no,4,False,False,meta-llama/llama-3.3-70b-instruct,yes,1,0,98,201,,Novita,stop,9.363e-05,700
46,"whether a person eats a healthy diet | whether a person exercises regularly | whether a person has good cardiovascular health | whether a person maintains a healthy weight || AB,AD,BC,CD",DR_k1,PSEUDO,no,4,True,True,meta-llama/llama-3.3-70b-instruct,no,1,1,187,329,,Novita,stop,0.000156845,700
46,"whether a person eats a healthy diet | whether a person exercises regularly | whether a person has good cardiovascular health | whether a person maintains a healthy weight || AB,AD,BC,CD",ORACLE,PSEUDO,no,4,True,True,meta-llama/llama-3.3-70b-instruct,no,1,1,195,257,,Novita,stop,0.000129125,700
46,"whether a person eats a healthy diet | whether a person exercises regularly | whether a person has good cardiovascular health | whether a person maintains a healthy weight || AB,AD,BC,CD",RAW,PSEUDO,no,4,True,True,meta-llama/llama-3.3-70b-instruct,no,1,1,144,131,,Novita,stop,7.184e-05,700
50,"whether a person is exposed to a contagious disease | whether the person receives appropriate treatment | whether the person recovers from the disease | whether the person seeks medical attention | whether the person shows symptoms of the disease || AB,AE,BC,BD,CD,CE,DE",DR_k1,PSEUDO,no,5,True,True,meta-llama/llama-3.3-70b-instruct,no,1,1,318,560,,Novita,stop,0.00026693,700
50,"whether a person is exposed to a contagious disease | whether the person receives appropriate treatment | whether the person recovers from the disease | whether the person seeks medical attention | whether the person shows symptoms of the disease || AB,AE,BC,BD,CD,CE,DE",ORACLE,PSEUDO,no,5,True,True,meta-llama/llama-3.3-70b-instruct,no,1,1,317,260,,Novita,stop,0.000146795,700
50,"whether a person is exposed to a contagious disease | whether the person receives appropriate treatment | whether the person recovers from the disease | whether the person seeks medical attention | whether the person shows symptoms of the disease || AB,AE,BC,BD,CD,CE,DE",RAW,PSEUDO,no,5,True,True,meta-llama/llama-3.3-70b-instruct,no,1,1,244,559,,Novita,stop,0.00025654,700
51,"employment status | happiness level | income | level of education || AB,AC,AD",DR_k1,PSEUDO,no,4,False,False,meta-llama/llama-3.3-70b-instruct,yes,1,0,142,91,,Novita,stop,5.557e-05,700
51,"employment status | happiness level | income | level of education || AB,AC,AD",ORACLE,PSEUDO,no,4,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,134,102,,Novita,stop,5.889e-05,700
51,"employment status | happiness level | income | level of education || AB,AC,AD",RAW,PSEUDO,no,4,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,100,222,,Novita,stop,0.0001023,700
63,"amount of exercise | body weight | caloric intake | overall health || AD,BC,CD",DR_k1,PSEUDO,no,4,False,False,meta-llama/llama-3.3-70b-instruct,yes,1,0,149,204,,Novita,stop,0.000101715,700
63,"amount of exercise | body weight | caloric intake | overall health || AD,BC,CD",ORACLE,PSEUDO,no,4,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,149,339,,Novita,stop,0.000155715,700
63,"amount of exercise | body weight | caloric intake | overall health || AD,BC,CD",RAW,PSEUDO,no,4,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,100,168,,Novita,stop,8.07e-05,700
64,"the amount of sleep the night before the exam | the exam score | the number of hours studied for an exam || AC,BC",DR_k1,PSEUDO,no,3,False,False,meta-llama/llama-3.3-70b-instruct,yes,1,0,138,232,,Novita,stop,0.00011143,700
64,"the amount of sleep the night before the exam | the exam score | the number of hours studied for an exam || AC,BC",ORACLE,PSEUDO,no,3,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,138,257,,Novita,stop,0.00012143,700
64,"the amount of sleep the night before the exam | the exam score | the number of hours studied for an exam || AC,BC",RAW,PSEUDO,no,3,False,False,meta-llama/llama-3.3-70b-instruct,yes,1,0,99,370,,Novita,stop,0.000161365,700
65,"crop yield | harvest quality | temperature | weather conditions || AC,AD,BC,BD,CD",DR_k1,PSEUDO,yes,4,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,203,202,,Novita,stop,0.000108205,700
65,"crop yield | harvest quality | temperature | weather conditions || AC,AD,BC,BD,CD",ORACLE,PSEUDO,yes,4,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,203,234,,Novita,stop,0.000121005,700
65,"crop yield | harvest quality | temperature | weather conditions || AC,AD,BC,BD,CD",RAW,PSEUDO,yes,4,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,144,132,,Novita,stop,7.224e-05,700
66,"a company | company expenses | company profit | company revenue || AB,AC,AD,BC",DR_k1,PSEUDO,no,4,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,145,248,,Novita,stop,0.000118775,700
66,"a company | company expenses | company profit | company revenue || AB,AC,AD,BC",ORACLE,PSEUDO,no,4,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,146,390,,Novita,stop,0.00017571,700
66,"a company | company expenses | company profit | company revenue || AB,AC,AD,BC",RAW,PSEUDO,no,4,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,100,319,,Novita,stop,0.0001411,700
67,"first-born child | parent | second-born child | third-born child || AB,AC,AD,BC,BD",DR_k1,PSEUDO,no,4,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,154,247,,Novita,stop,0.00011959,700
67,"first-born child | parent | second-born child | third-born child || AB,AC,AD,BC,BD",ORACLE,PSEUDO,no,4,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,146,203,,Novita,stop,0.00010091,700
67,"first-born child | parent | second-born child | third-born child || AB,AC,AD,BC,BD",RAW,PSEUDO,no,4,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,99,224,,Novita,stop,0.000102965,700
68,"amount of exercise | overall health status | physical fitness level || AB,BC",DR_k1,PSEUDO,no,3,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,127,177,,Novita,stop,8.7945e-05,700
68,"amount of exercise | overall health status | physical fitness level || AB,BC",ORACLE,PSEUDO,no,3,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,136,154,,Novita,stop,7.996e-05,700
68,"amount of exercise | overall health status | physical fitness level || AB,BC",RAW,PSEUDO,no,3,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,98,224,,Novita,stop,0.00010283,700
69,"patient's diet | patient's exercise habits | patient's life expectancy | patient's overall health | patient's stress levels || AD,BD,CD,DE",DR_k1,PSEUDO,no,5,True,True,meta-llama/llama-3.3-70b-instruct,no,1,1,201,171,,Novita,stop,9.5535e-05,700
69,"patient's diet | patient's exercise habits | patient's life expectancy | patient's overall health | patient's stress levels || AD,BD,CD,DE",ORACLE,PSEUDO,no,5,True,True,meta-llama/llama-3.3-70b-instruct,no,1,1,209,190,,Novita,stop,0.000104215,700
69,"patient's diet | patient's exercise habits | patient's life expectancy | patient's overall health | patient's stress levels || AD,BD,CD,DE",RAW,PSEUDO,no,5,True,True,meta-llama/llama-3.3-70b-instruct,no,1,1,148,130,,Novita,stop,7.198e-05,700
71,"the exam score | the number of hours spent sleeping the night before the exam | the number of hours spent studying for an exam || AC,BC",DR_k1,PSEUDO,yes,3,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,186,163,,Novita,stop,9.031e-05,700
71,"the exam score | the number of hours spent sleeping the night before the exam | the number of hours spent studying for an exam || AC,BC",ORACLE,PSEUDO,yes,3,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,187,134,,Novita,stop,7.8845e-05,700
71,"the exam score | the number of hours spent sleeping the night before the exam | the number of hours spent studying for an exam || AC,BC",RAW,PSEUDO,yes,3,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,148,153,,Novita,stop,8.118e-05,700
72,"a person's education level | the person's income | the person's job title | the person's salary || AC,AD,BC",DR_k1,PSEUDO,no,4,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,139,530,,Novita,stop,0.000230765,700
72,"a person's education level | the person's income | the person's job title | the person's salary || AC,AD,BC",ORACLE,PSEUDO,no,4,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,138,319,,Novita,stop,0.00014623,700
72,"a person's education level | the person's income | the person's job title | the person's salary || AC,AD,BC",RAW,PSEUDO,no,4,False,False,meta-llama/llama-3.3-70b-instruct,yes,1,0,98,260,,Novita,stop,0.00011723,700
75,"job performance rating | level of education | salary | years of work experience || AC,AD,BC,BD",DR_k1,PSEUDO,yes,4,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,204,229,,Novita,stop,0.00011914,700
75,"job performance rating | level of education | salary | years of work experience || AC,AD,BC,BD",ORACLE,PSEUDO,yes,4,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,196,181,,Novita,stop,9.886e-05,700
75,"job performance rating | level of education | salary | years of work experience || AC,AD,BC,BD",RAW,PSEUDO,yes,4,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,149,158,,Novita,stop,8.3315e-05,700
77,"education level | happiness level | income level | job performance || AB,AC,BD,CD",DR_k1,PSEUDO,no,4,True,True,meta-llama/llama-3.3-70b-instruct,no,1,1,197,421,,Novita,stop,0.000194995,700
77,"education level | happiness level | income level | job performance || AB,AC,BD,CD",ORACLE,PSEUDO,no,4,True,True,meta-llama/llama-3.3-70b-instruct,no,1,1,198,347,,Novita,stop,0.00016553,700
77,"education level | happiness level | income level | job performance || AB,AC,BD,CD",RAW,PSEUDO,no,4,True,True,meta-llama/llama-3.3-70b-instruct,no,1,1,144,124,,Novita,stop,6.904e-05,700
79,"the amount of exercise a person gets | the amount of sleep a person gets | the person's energy level | the person's overall health || AD,BC,CD",DR_k1,PSEUDO,no,4,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,147,232,,Novita,stop,0.000112645,700
79,"the amount of exercise a person gets | the amount of sleep a person gets | the person's energy level | the person's overall health || AD,BC,CD",ORACLE,PSEUDO,no,4,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,146,242,,Novita,stop,0.00011651,700
79,"the amount of exercise a person gets | the amount of sleep a person gets | the person's energy level | the person's overall health || AD,BC,CD",RAW,PSEUDO,no,4,False,False,meta-llama/llama-3.3-70b-instruct,yes,1,0,98,300,,Novita,stop,0.00013323,700
82,"the amount of time spent studying | the final grade in the course | the level of understanding of the subject | the test score obtained || AB,AC,BC,BD,CD",DR_k1,PSEUDO,yes,4,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,206,388,,Novita,stop,0.00018301,700
82,"the amount of time spent studying | the final grade in the course | the level of understanding of the subject | the test score obtained || AB,AC,BC,BD,CD",ORACLE,PSEUDO,yes,4,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,207,370,,Novita,stop,0.000175945,700
82,"the amount of time spent studying | the final grade in the course | the level of understanding of the subject | the test score obtained || AB,AC,BC,BD,CD",RAW,PSEUDO,yes,4,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,151,187,,Novita,stop,9.5185e-05,700
83,"the amount of sleep the night before the exam | the number of hours studied for an exam | the overall performance in the course | the score obtained on the exam || AB,AC,BD,CD",DR_k1,PSEUDO,yes,4,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,200,181,,Novita,stop,9.94e-05,700
83,"the amount of sleep the night before the exam | the number of hours studied for an exam | the overall performance in the course | the score obtained on the exam || AB,AC,BD,CD",ORACLE,PSEUDO,yes,4,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,199,177,,Novita,stop,9.7665e-05,700
83,"the amount of sleep the night before the exam | the number of hours studied for an exam | the overall performance in the course | the score obtained on the exam || AB,AC,BD,CD",RAW,PSEUDO,yes,4,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,147,162,,Novita,stop,8.4645e-05,700
92,"customer satisfaction | product quality | revenue | sales || AC,BC,CD",DR_k1,PSEUDO,no,4,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,149,263,,Novita,stop,0.000125315,700
92,"customer satisfaction | product quality | revenue | sales || AC,BC,CD",ORACLE,PSEUDO,no,4,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,148,247,,Novita,stop,0.00011878,700
92,"customer satisfaction | product quality | revenue | sales || AC,BC,CD",RAW,PSEUDO,no,4,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,98,36,,Novita,stop,2.763e-05,700
94,"amount of trash left on the beach | number of people going to the beach | weather conditions || AB,AC,BC",DR_k1,PSEUDO,no,3,False,False,meta-llama/llama-3.3-70b-instruct,yes,1,0,140,75,,Novita,stop,4.89e-05,700
94,"amount of trash left on the beach | number of people going to the beach | weather conditions || AB,AC,BC",ORACLE,PSEUDO,no,3,False,False,meta-llama/llama-3.3-70b-instruct,yes,1,0,141,335,,Novita,stop,0.000153035,700
94,"amount of trash left on the beach | number of people going to the beach | weather conditions || AB,AC,BC",RAW,PSEUDO,no,3,False,False,meta-llama/llama-3.3-70b-instruct,yes,1,0,99,309,,Novita,stop,0.000136965,700
96,"amount of rainfall | crop yield | soil moisture || AB,BC",DR_k1,PSEUDO,no,3,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,127,335,,Novita,stop,0.000151145,700
96,"amount of rainfall | crop yield | soil moisture || AB,BC",ORACLE,PSEUDO,no,3,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,136,294,,Novita,stop,0.00013596,700
96,"amount of rainfall | crop yield | soil moisture || AB,BC",RAW,PSEUDO,no,3,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,98,178,,Novita,stop,8.443e-05,700
97,"availability of alternative routes | road construction | traffic congestion | travel time to destination || AB,AC,AD,BD,CD",DR_k1,PSEUDO,no,4,True,True,meta-llama/llama-3.3-70b-instruct,no,1,1,198,216,,Novita,stop,0.00011313,700
97,"availability of alternative routes | road construction | traffic congestion | travel time to destination || AB,AC,AD,BD,CD",ORACLE,PSEUDO,no,4,True,True,meta-llama/llama-3.3-70b-instruct,no,1,1,197,152,,Novita,stop,8.7395e-05,700
97,"availability of alternative routes | road construction | traffic congestion | travel time to destination || AB,AC,AD,BD,CD",RAW,PSEUDO,no,4,True,True,meta-llama/llama-3.3-70b-instruct,no,1,1,143,134,,Novita,stop,7.2905e-05,700
99,"job experience | job performance | level of education | salary || AB,AD,BC,BD,CD",DR_k1,PSEUDO,yes,4,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,210,311,,Novita,stop,0.00015275,700
99,"job experience | job performance | level of education | salary || AB,AD,BC,BD,CD",ORACLE,PSEUDO,yes,4,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,210,279,,Novita,stop,0.00013995,700
99,"job experience | job performance | level of education | salary || AB,AD,BC,BD,CD",RAW,PSEUDO,yes,4,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,151,175,,Novita,stop,9.0385e-05,700
103,"a company | company expenses | company profit | company revenue || AB,AC,AD,BC",DR_k1,PSEUDO,no,4,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,147,323,,Novita,stop,0.000149045,700
103,"a company | company expenses | company profit | company revenue || AB,AC,AD,BC",ORACLE,PSEUDO,no,4,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,147,154,,Novita,stop,8.1445e-05,700
103,"a company | company expenses | company profit | company revenue || AB,AC,AD,BC",RAW,PSEUDO,no,4,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,100,70,,Novita,stop,4.15e-05,700
104,"amount of exercise | caloric intake | weight loss/gain || AC,BC",DR_k1,PSEUDO,yes,3,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,184,242,,Novita,stop,0.00012164,700
104,"amount of exercise | caloric intake | weight loss/gain || AC,BC",ORACLE,PSEUDO,yes,3,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,184,136,,Novita,stop,7.924e-05,700
104,"amount of exercise | caloric intake | weight loss/gain || AC,BC",RAW,PSEUDO,yes,3,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,147,155,,Novita,stop,8.1845e-05,700
105,"crop yield | economic growth | humidity level | profit of farmers | weather conditions || AB,AC,BC,BD,CD,DE",DR_k1,PSEUDO,yes,5,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,217,195,,Novita,stop,0.000107295,700
105,"crop yield | economic growth | humidity level | profit of farmers | weather conditions || AB,AC,BC,BD,CD,DE",ORACLE,PSEUDO,yes,5,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,217,195,,Novita,stop,0.000107295,700
105,"crop yield | economic growth | humidity level | profit of farmers | weather conditions || AB,AC,BC,BD,CD,DE",RAW,PSEUDO,yes,5,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,148,133,,Novita,stop,7.318e-05,700
107,"amount of rainfall | crop yield | soil moisture level | weather conditions || AC,AD,BC,CD",DR_k1,PSEUDO,yes,4,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,203,247,,Novita,stop,0.000126205,700
107,"amount of rainfall | crop yield | soil moisture level | weather conditions || AC,AD,BC,CD",ORACLE,PSEUDO,yes,4,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,203,249,,Novita,stop,0.000127005,700
107,"amount of rainfall | crop yield | soil moisture level | weather conditions || AC,AD,BC,CD",RAW,PSEUDO,yes,4,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,148,142,,Novita,stop,7.678e-05,700
108,"amount of studying | grade in class | overall academic achievement | test performance || AB,BC,BD,CD",DR_k1,PSEUDO,yes,4,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,198,236,,Novita,stop,0.00012113,700
108,"amount of studying | grade in class | overall academic achievement | test performance || AB,BC,BD,CD",ORACLE,PSEUDO,yes,4,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,199,226,,Novita,stop,0.000117265,700
108,"amount of studying | grade in class | overall academic achievement | test performance || AB,BC,BD,CD",RAW,PSEUDO,yes,4,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,145,131,,Novita,stop,7.1975e-05,700
109,"a manufacturing plant | the efficiency of the plant's machinery | the overall profitability of the plant | the production output of the plant || AB,AC,AD,BC,BD",DR_k1,PSEUDO,no,4,True,True,meta-llama/llama-3.3-70b-instruct,no,1,1,295,596,,Novita,stop,0.000278225,700
109,"a manufacturing plant | the efficiency of the plant's machinery | the overall profitability of the plant | the production output of the plant || AB,AC,AD,BC,BD",ORACLE,PSEUDO,no,4,True,True,meta-llama/llama-3.3-70b-instruct,no,1,1,294,603,,Novita,stop,0.00028089,700
109,"a manufacturing plant | the efficiency of the plant's machinery | the overall profitability of the plant | the production output of the plant || AB,AC,AD,BC,BD",RAW,PSEUDO,no,4,True,True,meta-llama/llama-3.3-70b-instruct,,0,0,244,700,,Novita,length,0.00031294,700
110,"amount of rainfall | crop yield | groundwater level || AB,AC",DR_k1,PSEUDO,no,3,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,137,546,,Novita,stop,0.000236895,700
110,"amount of rainfall | crop yield | groundwater level || AB,AC",ORACLE,PSEUDO,no,3,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,130,329,,Novita,stop,0.00014915,700
110,"amount of rainfall | crop yield | groundwater level || AB,AC",RAW,PSEUDO,no,3,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,100,187,,Novita,stop,8.83e-05,700
114,"the availability of public transportation | the cost of fuel | the number of cars on the road || AC,BC",DR_k1,PSEUDO,no,3,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,136,196,,Novita,stop,9.676e-05,700
114,"the availability of public transportation | the cost of fuel | the number of cars on the road || AC,BC",ORACLE,PSEUDO,no,3,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,135,175,,Novita,stop,8.8225e-05,700
114,"the availability of public transportation | the cost of fuel | the number of cars on the road || AC,BC",RAW,PSEUDO,no,3,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,98,213,,Novita,stop,9.843e-05,700
116,"patient's diet | patient's exercise habits | patient's life expectancy | patient's overall health | patient's stress levels || AD,BD,CD,DE",DR_k1,PSEUDO,no,5,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,152,305,,Novita,stop,0.00014252,700
116,"patient's diet | patient's exercise habits | patient's life expectancy | patient's overall health | patient's stress levels || AD,BD,CD,DE",ORACLE,PSEUDO,no,5,False,False,meta-llama/llama-3.3-70b-instruct,yes,1,0,161,396,,Novita,stop,0.000180135,700
116,"patient's diet | patient's exercise habits | patient's life expectancy | patient's overall health | patient's stress levels || AD,BD,CD,DE",RAW,PSEUDO,no,5,False,False,meta-llama/llama-3.3-70b-instruct,yes,1,0,98,395,,Novita,stop,0.00017123,700
120,"the amount of exercise a person does | the person's cardiovascular health | the person's immune system | the person's overall health | the person's respiratory health || AB,AD,BC,BE,CD,CE,DE",DR_k1,PSEUDO,yes,5,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,222,238,,Novita,stop,0.00012517,700
120,"the amount of exercise a person does | the person's cardiovascular health | the person's immune system | the person's overall health | the person's respiratory health || AB,AD,BC,BE,CD,CE,DE",ORACLE,PSEUDO,yes,5,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,222,369,,Novita,stop,0.00017757,700
120,"the amount of exercise a person does | the person's cardiovascular health | the person's immune system | the person's overall health | the person's respiratory health || AB,AD,BC,BE,CD,CE,DE",RAW,PSEUDO,yes,5,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,148,133,,Novita,stop,7.318e-05,700
125,"the amount of rainfall in a region | the availability of water for irrigation | the crop yield in the region | the water level in a river || AB,AC,BC,BD,CD",DR_k1,PSEUDO,no,4,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,153,397,,Novita,stop,0.000179455,700
125,"the amount of rainfall in a region | the availability of water for irrigation | the crop yield in the region | the water level in a river || AB,AC,BC,BD,CD",ORACLE,PSEUDO,no,4,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,153,414,,Novita,stop,0.000186255,700
125,"the amount of rainfall in a region | the availability of water for irrigation | the crop yield in the region | the water level in a river || AB,AC,BC,BD,CD",RAW,PSEUDO,no,4,False,False,meta-llama/llama-3.3-70b-instruct,yes,1,0,98,232,,Novita,stop,0.00010603,700
129,"amount of sunlight | crop quality | crop yield | weather conditions || AC,AD,BC,BD",DR_k1,PSEUDO,no,4,False,False,meta-llama/llama-3.3-70b-instruct,no,1,1,155,344,,Novita,stop,0.000158525,700
