model,lexicon,cond,item,old_pred,new_pred,old_correct,new_correct
gpt-4.1-nano,KEEP,ORACLE,53,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,53,no,no,0,0
gpt-4.1-nano,KEEP,RAW,54,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,54,yes,yes,0,0
gpt-4.1-nano,KEEP,DR_k1,54,yes,yes,0,0
gpt-4.1-nano,KEEP,RAW,55,yes,yes,0,0
gpt-4.1-nano,KEEP,ORACLE,55,yes,no,0,1
gpt-4.1-nano,KEEP,DR_k1,55,no,no,1,1
gpt-4.1-nano,KEEP,RAW,56,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,56,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,56,no,no,1,1
gpt-4.1-nano,KEEP,RAW,57,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,57,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,57,no,no,1,1
gpt-4.1-nano,KEEP,RAW,58,yes,yes,1,1
gpt-4.1-nano,KEEP,ORACLE,58,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,58,no,yes,0,1
gpt-4.1-nano,KEEP,RAW,59,yes,yes,0,0
gpt-4.1-nano,KEEP,ORACLE,59,yes,no,0,1
gpt-4.1-nano,KEEP,DR_k1,59,yes,no,0,1
gpt-4.1-nano,KEEP,RAW,81,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,81,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,81,no,no,1,1
gpt-4.1-nano,KEEP,RAW,82,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,82,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,82,no,no,1,1
gpt-4.1-nano,KEEP,RAW,83,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,83,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,83,no,no,1,1
gpt-4.1-nano,KEEP,RAW,84,yes,yes,1,1
gpt-4.1-nano,KEEP,ORACLE,84,yes,no,1,0
gpt-4.1-nano,KEEP,DR_k1,84,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,87,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,87,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,87,no,no,1,1
gpt-4.1-nano,KEEP,RAW,88,yes,yes,1,1
gpt-4.1-nano,KEEP,ORACLE,88,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,88,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,89,yes,yes,1,1
gpt-4.1-nano,KEEP,ORACLE,89,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,89,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,90,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,90,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,90,no,no,1,1
gpt-4.1-nano,KEEP,RAW,92,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,92,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,92,no,no,1,1
gpt-4.1-nano,KEEP,RAW,95,yes,yes,1,1
gpt-4.1-nano,KEEP,ORACLE,95,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,95,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,96,yes,yes,1,1
gpt-4.1-nano,KEEP,ORACLE,96,no,yes,0,1
gpt-4.1-nano,KEEP,DR_k1,96,no,yes,0,1
gpt-4.1-nano,KEEP,RAW,100,no,yes,0,1
gpt-4.1-nano,KEEP,ORACLE,100,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,100,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,101,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,101,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,101,no,no,1,1
gpt-4.1-nano,KEEP,RAW,102,yes,yes,1,1
gpt-4.1-nano,KEEP,ORACLE,102,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,102,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,103,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,103,no,yes,1,0
gpt-4.1-nano,KEEP,DR_k1,103,no,no,1,1
gpt-4.1-nano,KEEP,RAW,104,no,,0,0
gpt-4.1-nano,KEEP,ORACLE,104,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,104,yes,,1,0
gpt-4.1-nano,KEEP,RAW,105,yes,yes,1,1
gpt-4.1-nano,KEEP,ORACLE,105,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,105,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,106,no,no,0,0
gpt-4.1-nano,KEEP,ORACLE,106,no,yes,0,1
gpt-4.1-nano,KEEP,DR_k1,106,no,no,0,0
gpt-4.1-nano,KEEP,RAW,107,yes,yes,1,1
gpt-4.1-nano,KEEP,ORACLE,107,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,107,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,108,yes,yes,0,0
gpt-4.1-nano,KEEP,ORACLE,108,,,0,0
gpt-4.1-nano,KEEP,DR_k1,108,no,yes,1,0
gpt-4.1-nano,KEEP,RAW,109,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,109,,,0,0
gpt-4.1-nano,KEEP,DR_k1,109,no,,1,0
gpt-4.1-nano,KEEP,RAW,110,yes,yes,1,1
gpt-4.1-nano,KEEP,ORACLE,110,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,110,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,111,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,111,yes,no,0,1
gpt-4.1-nano,KEEP,DR_k1,111,no,no,1,1
gpt-4.1-nano,KEEP,RAW,112,no,,0,0
gpt-4.1-nano,KEEP,ORACLE,112,yes,no,1,0
gpt-4.1-nano,KEEP,DR_k1,112,yes,,1,0
gpt-4.1-nano,KEEP,RAW,113,,no,0,1
gpt-4.1-nano,KEEP,ORACLE,113,,no,0,1
gpt-4.1-nano,KEEP,DR_k1,113,,,0,0
gpt-4.1-nano,KEEP,RAW,114,no,,1,0
gpt-4.1-nano,KEEP,ORACLE,114,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,114,no,,1,0
gpt-4.1-nano,KEEP,RAW,115,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,115,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,115,no,no,1,1
gpt-4.1-nano,KEEP,RAW,116,,yes,0,1
gpt-4.1-nano,KEEP,ORACLE,116,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,116,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,117,no,no,0,0
gpt-4.1-nano,KEEP,ORACLE,117,no,no,0,0
gpt-4.1-nano,KEEP,DR_k1,117,no,,0,0
gpt-4.1-nano,KEEP,RAW,118,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,118,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,118,no,no,1,1
gpt-4.1-nano,KEEP,RAW,119,yes,yes,1,1
gpt-4.1-nano,KEEP,ORACLE,119,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,119,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,140,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,140,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,140,no,no,1,1
gpt-4.1-nano,KEEP,RAW,143,yes,yes,1,1
gpt-4.1-nano,KEEP,ORACLE,143,no,no,0,0
gpt-4.1-nano,KEEP,DR_k1,143,no,no,0,0
gpt-4.1-nano,KEEP,RAW,145,yes,yes,1,1
gpt-4.1-nano,KEEP,ORACLE,145,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,145,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,149,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,149,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,149,no,no,1,1
gpt-4.1-nano,KEEP,RAW,155,yes,yes,1,1
gpt-4.1-nano,KEEP,ORACLE,155,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,155,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,158,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,158,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,158,no,no,1,1
gpt-4.1-nano,KEEP,RAW,159,yes,yes,1,1
gpt-4.1-nano,KEEP,ORACLE,159,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,159,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,160,yes,yes,1,1
gpt-4.1-nano,KEEP,ORACLE,160,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,160,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,161,yes,yes,1,1
gpt-4.1-nano,KEEP,ORACLE,161,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,161,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,162,yes,yes,0,0
gpt-4.1-nano,KEEP,ORACLE,162,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,162,no,no,1,1
gpt-4.1-nano,KEEP,RAW,163,no,no,0,0
gpt-4.1-nano,KEEP,ORACLE,163,no,no,0,0
gpt-4.1-nano,KEEP,DR_k1,163,no,no,0,0
gpt-4.1-nano,KEEP,RAW,164,no,no,0,0
gpt-4.1-nano,KEEP,ORACLE,164,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,164,yes,no,1,0
gpt-4.1-nano,KEEP,RAW,165,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,165,yes,no,0,1
gpt-4.1-nano,KEEP,DR_k1,165,no,no,1,1
gpt-4.1-nano,KEEP,RAW,166,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,166,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,166,no,no,1,1
gpt-4.1-nano,KEEP,RAW,167,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,167,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,167,no,no,1,1
gpt-4.1-nano,KEEP,RAW,168,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,168,yes,no,0,1
gpt-4.1-nano,KEEP,DR_k1,168,no,no,1,1
gpt-4.1-nano,KEEP,RAW,169,no,yes,1,0
gpt-4.1-nano,KEEP,ORACLE,169,yes,yes,0,0
gpt-4.1-nano,KEEP,DR_k1,169,no,no,1,1
gpt-4.1-nano,KEEP,RAW,170,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,170,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,170,no,no,1,1
gpt-4.1-nano,KEEP,RAW,171,no,no,0,0
gpt-4.1-nano,KEEP,ORACLE,171,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,171,no,no,0,0
gpt-4.1-nano,KEEP,RAW,172,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,172,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,172,no,no,1,1
gpt-4.1-nano,KEEP,RAW,173,no,no,0,0
gpt-4.1-nano,KEEP,ORACLE,173,no,yes,0,1
gpt-4.1-nano,KEEP,DR_k1,173,no,no,0,0
gpt-4.1-nano,KEEP,RAW,174,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,174,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,174,no,no,1,1
gpt-4.1-nano,KEEP,RAW,175,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,175,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,175,no,no,1,1
gpt-4.1-nano,KEEP,RAW,176,yes,yes,1,1
gpt-4.1-nano,KEEP,ORACLE,176,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,176,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,177,no,no,0,0
gpt-4.1-nano,KEEP,ORACLE,177,no,no,0,0
gpt-4.1-nano,KEEP,DR_k1,177,no,no,0,0
gpt-4.1-nano,KEEP,RAW,178,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,178,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,178,no,no,1,1
gpt-4.1-nano,KEEP,RAW,179,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,179,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,179,no,no,1,1
gpt-4.1-nano,KEEP,RAW,180,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,180,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,180,no,no,1,1
gpt-4.1-nano,KEEP,RAW,183,yes,yes,1,1
gpt-4.1-nano,KEEP,ORACLE,183,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,183,no,yes,0,1
gpt-4.1-nano,KEEP,RAW,184,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,184,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,184,no,no,1,1
gpt-4.1-nano,KEEP,RAW,185,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,185,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,185,no,no,1,1
gpt-4.1-nano,KEEP,RAW,186,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,186,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,186,no,no,1,1
gpt-4.1-nano,KEEP,RAW,187,yes,yes,1,1
gpt-4.1-nano,KEEP,ORACLE,187,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,187,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,188,yes,yes,1,1
gpt-4.1-nano,KEEP,ORACLE,188,,yes,0,1
gpt-4.1-nano,KEEP,DR_k1,188,,,0,0
gpt-4.1-nano,KEEP,RAW,190,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,190,no,,1,0
gpt-4.1-nano,KEEP,DR_k1,190,no,no,1,1
gpt-4.1-nano,KEEP,RAW,195,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,195,,no,0,1
gpt-4.1-nano,KEEP,DR_k1,195,no,no,1,1
gpt-4.1-nano,KEEP,RAW,197,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,197,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,197,no,no,1,1
gpt-4.1-nano,KEEP,RAW,198,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,198,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,198,no,no,1,1
gpt-4.1-nano,KEEP,RAW,200,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,200,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,200,no,yes,1,0
gpt-4.1-nano,KEEP,RAW,203,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,203,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,203,no,no,1,1
gpt-4.1-nano,KEEP,RAW,204,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,204,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,204,no,no,1,1
gpt-4.1-nano,KEEP,RAW,205,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,205,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,205,no,no,1,1
gpt-4.1-nano,KEEP,RAW,206,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,206,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,206,no,no,1,1
gpt-4.1-nano,KEEP,RAW,210,no,no,0,0
gpt-4.1-nano,KEEP,ORACLE,210,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,210,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,212,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,212,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,212,yes,yes,0,0
gpt-4.1-nano,KEEP,RAW,214,no,no,0,0
gpt-4.1-nano,KEEP,ORACLE,214,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,214,no,no,0,0
gpt-4.1-nano,KEEP,RAW,218,no,no,0,0
gpt-4.1-nano,KEEP,ORACLE,218,no,no,0,0
gpt-4.1-nano,KEEP,DR_k1,218,no,no,0,0
gpt-4.1-nano,KEEP,RAW,219,no,no,0,0
gpt-4.1-nano,KEEP,ORACLE,219,no,no,0,0
gpt-4.1-nano,KEEP,DR_k1,219,yes,no,1,0
gpt-4.1-nano,KEEP,RAW,240,no,,1,0
gpt-4.1-nano,KEEP,ORACLE,240,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,240,no,no,1,1
gpt-4.1-nano,KEEP,RAW,241,yes,no,1,0
gpt-4.1-nano,KEEP,ORACLE,241,yes,no,1,0
gpt-4.1-nano,KEEP,DR_k1,241,no,yes,0,1
gpt-4.1-nano,KEEP,RAW,246,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,246,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,246,no,no,1,1
gpt-4.1-nano,KEEP,RAW,247,yes,yes,1,1
gpt-4.1-nano,KEEP,ORACLE,247,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,247,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,250,yes,yes,1,1
gpt-4.1-nano,KEEP,ORACLE,250,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,250,no,no,0,0
gpt-4.1-nano,KEEP,RAW,251,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,251,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,251,no,no,1,1
gpt-4.1-nano,KEEP,RAW,253,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,253,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,253,no,no,1,1
gpt-4.1-nano,KEEP,RAW,257,,yes,0,1
gpt-4.1-nano,KEEP,ORACLE,257,no,yes,0,1
gpt-4.1-nano,KEEP,DR_k1,257,no,no,0,0
gpt-4.1-nano,KEEP,RAW,258,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,258,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,258,no,no,1,1
gpt-4.1-nano,KEEP,RAW,260,no,,1,0
gpt-4.1-nano,KEEP,ORACLE,260,,,0,0
gpt-4.1-nano,KEEP,DR_k1,260,,,0,0
gpt-4.1-nano,KEEP,RAW,261,yes,yes,1,1
gpt-4.1-nano,KEEP,ORACLE,261,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,261,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,262,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,262,no,yes,1,0
gpt-4.1-nano,KEEP,DR_k1,262,no,no,1,1
gpt-4.1-nano,KEEP,RAW,263,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,263,no,yes,1,0
gpt-4.1-nano,KEEP,DR_k1,263,no,yes,1,0
gpt-4.1-nano,KEEP,RAW,264,no,yes,0,1
gpt-4.1-nano,KEEP,ORACLE,264,yes,no,1,0
gpt-4.1-nano,KEEP,DR_k1,264,no,yes,0,1
gpt-4.1-nano,KEEP,RAW,265,yes,no,1,0
gpt-4.1-nano,KEEP,ORACLE,265,no,no,0,0
gpt-4.1-nano,KEEP,DR_k1,265,no,no,0,0
gpt-4.1-nano,KEEP,RAW,266,yes,yes,1,1
gpt-4.1-nano,KEEP,ORACLE,266,no,yes,0,1
gpt-4.1-nano,KEEP,DR_k1,266,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,267,no,no,0,0
gpt-4.1-nano,KEEP,ORACLE,267,no,yes,0,1
gpt-4.1-nano,KEEP,DR_k1,267,no,yes,0,1
gpt-4.1-nano,KEEP,RAW,268,no,yes,0,1
gpt-4.1-nano,KEEP,ORACLE,268,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,268,,,0,0
gpt-4.1-nano,KEEP,RAW,269,yes,yes,1,1
gpt-4.1-nano,KEEP,ORACLE,269,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,269,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,270,yes,yes,1,1
gpt-4.1-nano,KEEP,ORACLE,270,yes,no,1,0
gpt-4.1-nano,KEEP,DR_k1,270,no,yes,0,1
gpt-4.1-nano,KEEP,RAW,271,yes,no,1,0
gpt-4.1-nano,KEEP,ORACLE,271,no,yes,0,1
gpt-4.1-nano,KEEP,DR_k1,271,no,,0,0
gpt-4.1-nano,KEEP,RAW,272,yes,yes,1,1
gpt-4.1-nano,KEEP,ORACLE,272,no,yes,0,1
gpt-4.1-nano,KEEP,DR_k1,272,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,273,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,273,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,273,no,no,1,1
gpt-4.1-nano,KEEP,RAW,274,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,274,yes,yes,0,0
gpt-4.1-nano,KEEP,DR_k1,274,yes,no,0,1
gpt-4.1-nano,KEEP,RAW,275,no,no,0,0
gpt-4.1-nano,KEEP,ORACLE,275,no,no,0,0
gpt-4.1-nano,KEEP,DR_k1,275,yes,no,1,0
gpt-4.1-nano,KEEP,RAW,276,yes,yes,1,1
gpt-4.1-nano,KEEP,ORACLE,276,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,276,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,277,,,0,0
gpt-4.1-nano,KEEP,ORACLE,277,,,0,0
gpt-4.1-nano,KEEP,DR_k1,277,,,0,0
gpt-4.1-nano,KEEP,RAW,278,yes,yes,1,1
gpt-4.1-nano,KEEP,ORACLE,278,yes,no,1,0
gpt-4.1-nano,KEEP,DR_k1,278,yes,no,1,0
gpt-4.1-nano,KEEP,RAW,279,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,279,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,279,no,no,1,1
gpt-4.1-nano,KEEP,RAW,300,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,300,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,300,no,no,1,1
gpt-4.1-nano,KEEP,RAW,302,yes,yes,1,1
gpt-4.1-nano,KEEP,ORACLE,302,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,302,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,305,yes,yes,1,1
gpt-4.1-nano,KEEP,ORACLE,305,yes,no,1,0
gpt-4.1-nano,KEEP,DR_k1,305,yes,no,1,0
gpt-4.1-nano,KEEP,RAW,307,yes,no,0,1
gpt-4.1-nano,KEEP,ORACLE,307,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,307,no,no,1,1
gpt-4.1-nano,KEEP,RAW,309,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,309,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,309,no,no,1,1
gpt-4.1-nano,KEEP,RAW,312,no,no,0,0
