model,item,graph_id,rung,gold,pred,correct,parsed_answer,parsed_graph,precision,recall,f1,n_reversed,n_spurious,n_missing,n_wrong_edges,exact_match,n_true
gpt-4.1-nano,65,collision,2,yes,no,0,1,1,1.0,1.0,1.0,0,0,0,0,1,2
gpt-4.1-nano,66,confounding,1,yes,yes,1,1,1,1.0,0.6666666666666666,0.8,0,0,1,1,0,3
gpt-4.1-nano,67,confounding,1,yes,yes,1,1,0,0.0,0.0,0.0,0,0,3,3,0,3
gpt-4.1-nano,68,confounding,1,no,no,1,1,1,0.0,0.0,0.0,1,0,2,3,0,3
gpt-4.1-nano,69,confounding,1,yes,yes,1,1,0,0.0,0.0,0.0,0,0,3,3,0,3
gpt-4.1-nano,70,confounding,1,yes,yes,1,1,0,0.0,0.0,0.0,0,0,3,3,0,3
gpt-4.1-nano,71,confounding,1,no,no,1,1,0,0.0,0.0,0.0,0,0,3,3,0,3
gpt-4.1-nano,72,confounding,2,no,no,1,1,1,1.0,1.0,1.0,0,0,0,0,1,3
gpt-4.1-nano,73,confounding,2,no,no,1,1,1,1.0,1.0,1.0,0,0,0,0,1,3
gpt-4.1-nano,74,confounding,2,yes,yes,1,1,1,1.0,1.0,1.0,0,0,0,0,1,3
gpt-4.1-nano,75,confounding,2,yes,yes,1,1,1,1.0,0.6666666666666666,0.8,0,0,1,1,0,3
gpt-4.1-nano,76,confounding,2,no,no,1,1,1,1.0,1.0,1.0,0,0,0,0,1,3
gpt-4.1-nano,77,confounding,2,yes,no,0,1,1,1.0,0.6666666666666666,0.8,0,0,1,1,0,3
gpt-4.1-nano,78,confounding,3,no,no,1,1,1,1.0,1.0,1.0,0,0,0,0,1,3
gpt-4.1-nano,79,confounding,3,yes,no,0,1,1,1.0,0.6666666666666666,0.8,0,0,1,1,0,3
gpt-4.1-nano,80,confounding,3,no,no,1,1,1,1.0,0.3333333333333333,0.5,0,0,2,2,0,3
gpt-4.1-nano,81,confounding,3,yes,no,0,1,1,1.0,1.0,1.0,0,0,0,0,1,3
gpt-4.1-nano,82,confounding,3,no,no,1,1,1,1.0,0.6666666666666666,0.8,0,0,1,1,0,3
gpt-4.1-nano,83,confounding,3,no,no,1,1,1,1.0,0.6666666666666666,0.8,0,0,1,1,0,3
gpt-4.1-nano,84,diamond,1,yes,yes,1,1,1,0.5,0.25,0.3333333333333333,0,1,3,4,0,4
gpt-4.1-nano,85,diamond,1,yes,no,0,1,1,0.0,0.0,0.0,0,1,4,5,0,4
gpt-4.1-nano,86,diamond,1,yes,no,0,1,1,0.0,0.0,0.0,0,1,4,5,0,4
gpt-4.1-nano,87,diamond,1,yes,yes,1,1,1,0.0,0.0,0.0,1,2,3,6,0,4
gpt-4.1-nano,88,diamond,1,no,yes,0,1,1,0.0,0.0,0.0,0,1,4,5,0,4
gpt-4.1-nano,89,diamond,1,no,no,1,1,1,0.0,0.0,0.0,0,1,4,5,0,4
gpt-4.1-nano,90,diamond,2,yes,yes,1,1,1,0.0,0.0,0.0,0,1,4,5,0,4
gpt-4.1-nano,91,diamond,2,yes,yes,1,1,1,1.0,0.5,0.6666666666666666,0,0,2,2,0,4
gpt-4.1-nano,92,diamond,2,no,yes,0,1,1,0.6666666666666666,0.5,0.5714285714285715,0,1,2,3,0,4
gpt-4.1-nano,93,diamond,2,no,no,1,1,1,1.0,0.5,0.6666666666666666,0,0,2,2,0,4
gpt-4.1-nano,94,diamond,2,no,yes,0,1,1,0.0,0.0,0.0,2,1,2,5,0,4
gpt-4.1-nano,95,diamond,2,no,yes,0,1,1,1.0,0.5,0.6666666666666666,0,0,2,2,0,4
gpt-4.1-nano,96,diamond,3,yes,yes,1,1,1,0.75,0.75,0.75,0,1,1,2,0,4
gpt-4.1-nano,97,diamond,3,yes,yes,1,1,1,1.0,1.0,1.0,0,0,0,0,1,4
gpt-4.1-nano,98,diamond,3,no,yes,0,1,1,0.0,0.0,0.0,0,1,4,5,0,4
gpt-4.1-nano,99,diamond,3,yes,yes,1,1,1,1.0,0.75,0.8571428571428571,0,0,1,1,0,4
gpt-4.1-nano,100,diamond,3,yes,yes,1,1,1,1.0,1.0,1.0,0,0,0,0,1,4
gpt-4.1-nano,101,diamond,3,yes,yes,1,1,1,0.0,0.0,0.0,0,1,4,5,0,4
gpt-4.1-nano,102,diamondcut,1,yes,yes,1,1,1,0.0,0.0,0.0,1,0,3,4,0,4
gpt-4.1-nano,103,diamondcut,1,no,no,1,1,1,1.0,0.25,0.4,0,0,3,3,0,4
gpt-4.1-nano,104,diamondcut,1,yes,yes,1,1,1,1.0,0.25,0.4,0,0,3,3,0,4
gpt-4.1-nano,105,diamondcut,1,yes,yes,1,1,1,1.0,0.25,0.4,0,0,3,3,0,4
gpt-4.1-nano,106,diamondcut,1,yes,yes,1,1,1,1.0,0.25,0.4,0,0,3,3,0,4
gpt-4.1-nano,107,diamondcut,1,no,no,1,1,1,1.0,0.25,0.4,0,0,3,3,0,4
gpt-4.1-nano,108,diamondcut,2,no,no,1,1,1,0.6666666666666666,0.5,0.5714285714285715,0,1,2,3,0,4
gpt-4.1-nano,109,diamondcut,2,yes,yes,1,1,1,0.5,0.25,0.3333333333333333,0,1,3,4,0,4
gpt-4.1-nano,110,diamondcut,2,yes,yes,1,1,1,0.0,0.0,0.0,0,1,4,5,0,4
gpt-4.1-nano,111,diamondcut,2,no,yes,0,1,1,0.5,0.25,0.3333333333333333,0,1,3,4,0,4
gpt-4.1-nano,112,diamondcut,2,yes,yes,1,1,0,0.0,0.0,0.0,0,0,4,4,0,4
gpt-4.1-nano,113,diamondcut,2,yes,yes,1,1,1,0.6666666666666666,0.5,0.5714285714285715,0,1,2,3,0,4
gpt-4.1-nano,114,diamondcut,3,yes,no,0,1,1,1.0,1.0,1.0,0,0,0,0,1,4
gpt-4.1-nano,115,diamondcut,3,no,no,1,1,1,0.6666666666666666,0.5,0.5714285714285715,0,1,2,3,0,4
gpt-4.1-nano,116,diamondcut,3,yes,no,0,1,1,1.0,1.0,1.0,0,0,0,0,1,4
gpt-4.1-nano,117,diamondcut,3,yes,no,0,1,1,0.6666666666666666,0.5,0.5714285714285715,0,1,2,3,0,4
gpt-4.1-nano,118,diamondcut,3,no,no,1,1,1,0.6666666666666666,0.5,0.5714285714285715,0,1,2,3,0,4
gpt-4.1-nano,119,diamondcut,3,no,no,1,1,1,0.6666666666666666,0.5,0.5714285714285715,0,1,2,3,0,4
gpt-4.1-nano,120,fork,1,no,no,1,1,0,0.0,0.0,0.0,0,0,2,2,0,2
gpt-4.1-nano,121,fork,1,yes,yes,1,1,1,1.0,0.5,0.6666666666666666,0,0,1,1,0,2
gpt-4.1-nano,122,fork,1,no,no,1,1,1,0.0,0.0,0.0,0,1,2,3,0,2
gpt-4.1-nano,123,fork,1,yes,yes,1,1,1,1.0,0.5,0.6666666666666666,0,0,1,1,0,2
gpt-4.1-nano,124,fork,1,yes,yes,1,1,0,0.0,0.0,0.0,0,0,2,2,0,2
gpt-4.1-nano,125,fork,1,no,yes,0,1,1,1.0,0.5,0.6666666666666666,0,0,1,1,0,2
gpt-4.1-nano,126,fork,2,no,yes,0,1,1,1.0,1.0,1.0,0,0,0,0,1,2
gpt-4.1-nano,127,fork,2,yes,yes,1,1,1,0.0,0.0,0.0,0,1,2,3,0,2
gpt-4.1-nano,128,fork,2,yes,yes,1,1,1,0.5,0.5,0.5,0,1,1,2,0,2
gpt-4.1-nano,129,fork,2,yes,yes,1,1,1,0.6666666666666666,1.0,0.8,0,1,0,1,0,2
gpt-4.1-nano,130,fork,2,no,no,1,1,1,1.0,0.5,0.6666666666666666,0,0,1,1,0,2
gpt-4.1-nano,131,fork,2,yes,yes,1,1,1,0.5,0.5,0.5,0,1,1,2,0,2
gpt-4.1-nano,132,fork,3,yes,yes,1,1,1,0.5,0.5,0.5,0,1,1,2,0,2
gpt-4.1-nano,133,fork,3,yes,yes,1,1,1,1.0,0.5,0.6666666666666666,0,0,1,1,0,2
gpt-4.1-nano,134,fork,3,yes,yes,1,1,1,1.0,1.0,1.0,0,0,0,0,1,2
gpt-4.1-nano,135,fork,3,yes,yes,1,1,1,1.0,1.0,1.0,0,0,0,0,1,2
gpt-4.1-nano,136,fork,3,no,no,1,1,1,1.0,0.5,0.6666666666666666,0,0,1,1,0,2
gpt-4.1-nano,137,fork,3,no,yes,0,1,1,1.0,0.5,0.6666666666666666,0,0,1,1,0,2
gpt-4.1-nano,138,frontdoor,1,no,no,1,1,1,0.0,0.0,0.0,0,1,4,5,0,4
gpt-4.1-nano,139,frontdoor,1,no,no,1,1,1,0.0,0.0,0.0,0,1,4,5,0,4
gpt-4.1-nano,140,frontdoor,1,yes,yes,1,1,1,0.5,0.25,0.3333333333333333,0,1,3,4,0,4
gpt-4.1-nano,141,frontdoor,1,yes,no,0,1,1,0.0,0.0,0.0,0,1,4,5,0,4
gpt-4.1-nano,142,frontdoor,1,no,no,1,1,1,0.0,0.0,0.0,0,1,4,5,0,4
gpt-4.1-nano,143,frontdoor,1,yes,yes,1,1,1,1.0,0.5,0.6666666666666666,0,0,2,2,0,4
gpt-4.1-nano,144,frontdoor,2,yes,yes,1,1,1,1.0,0.5,0.6666666666666666,0,0,2,2,0,4
gpt-4.1-nano,145,frontdoor,2,yes,no,0,1,1,0.6666666666666666,0.5,0.5714285714285715,0,1,2,3,0,4
gpt-4.1-nano,146,frontdoor,2,yes,,0,0,1,1.0,0.25,0.4,0,0,3,3,0,4
gpt-4.1-nano,147,frontdoor,2,no,yes,0,1,1,1.0,0.25,0.4,0,0,3,3,0,4
gpt-4.1-nano,148,frontdoor,2,yes,no,0,1,1,1.0,0.5,0.6666666666666666,0,0,2,2,0,4
gpt-4.1-nano,149,frontdoor,2,yes,no,0,1,1,0.6666666666666666,0.5,0.5714285714285715,0,1,2,3,0,4
gpt-4.1-nano,150,frontdoor,3,yes,yes,1,1,1,1.0,0.5,0.6666666666666666,0,0,2,2,0,4
gpt-4.1-nano,151,frontdoor,3,yes,no,0,1,1,0.6666666666666666,0.5,0.5714285714285715,0,1,2,3,0,4
gpt-4.1-nano,152,frontdoor,3,no,yes,0,1,1,1.0,0.75,0.8571428571428571,0,0,1,1,0,4
gpt-4.1-nano,153,frontdoor,3,no,yes,0,1,1,0.6666666666666666,0.5,0.5714285714285715,0,1,2,3,0,4
gpt-4.1-nano,154,frontdoor,3,yes,,0,0,1,0.6666666666666666,0.5,0.5714285714285715,0,1,2,3,0,4
gpt-4.1-nano,155,frontdoor,3,no,no,1,1,1,0.6666666666666666,0.5,0.5714285714285715,0,1,2,3,0,4
gpt-4.1-nano,156,mediation,1,yes,yes,1,1,1,1.0,0.3333333333333333,0.5,0,0,2,2,0,3
gpt-4.1-nano,157,mediation,1,yes,yes,1,1,1,1.0,0.3333333333333333,0.5,0,0,2,2,0,3
gpt-4.1-nano,158,mediation,1,no,no,1,1,0,0.0,0.0,0.0,0,0,3,3,0,3
gpt-4.1-nano,159,mediation,1,yes,yes,1,1,0,0.0,0.0,0.0,0,0,3,3,0,3
gpt-4.1-nano,160,mediation,1,yes,yes,1,1,0,0.0,0.0,0.0,0,0,3,3,0,3
gpt-4.1-nano,161,mediation,1,yes,yes,1,1,0,0.0,0.0,0.0,0,0,3,3,0,3
gpt-4.1-nano,162,mediation,2,no,no,1,1,1,1.0,0.3333333333333333,0.5,0,0,2,2,0,3
gpt-4.1-nano,163,mediation,2,no,yes,0,1,1,1.0,0.3333333333333333,0.5,0,0,2,2,0,3
gpt-4.1-nano,164,mediation,2,yes,yes,1,1,1,1.0,0.3333333333333333,0.5,0,0,2,2,0,3
gpt-4.1-nano,165,mediation,2,no,yes,0,1,1,0.5,0.3333333333333333,0.4,1,0,1,2,0,3
gpt-4.1-nano,166,mediation,2,no,yes,0,1,1,1.0,0.6666666666666666,0.8,0,0,1,1,0,3
gpt-4.1-nano,167,mediation,2,no,no,1,1,1,1.0,0.3333333333333333,0.5,0,0,2,2,0,3
gpt-4.1-nano,168,mediation,3,no,no,1,1,1,1.0,0.3333333333333333,0.5,0,0,2,2,0,3
gpt-4.1-nano,169,mediation,3,no,no,1,1,1,1.0,1.0,1.0,0,0,0,0,1,3
gpt-4.1-nano,170,mediation,3,no,no,1,1,1,1.0,0.3333333333333333,0.5,0,0,2,2,0,3
gpt-4.1-nano,171,mediation,3,no,no,1,1,1,1.0,0.3333333333333333,0.5,0,0,2,2,0,3
gpt-4.1-nano,172,mediation,3,no,no,1,1,1,1.0,1.0,1.0,0,0,0,0,1,3
gpt-4.1-nano,173,mediation,3,no,no,1,1,1,1.0,1.0,1.0,0,0,0,0,1,3
gpt-4.1-mini,0,IV,1,no,no,1,1,1,1.0,0.5,0.6666666666666666,0,0,2,2,0,4
gpt-4.1-mini,1,IV,1,no,no,1,1,1,1.0,0.5,0.6666666666666666,0,0,2,2,0,4
gpt-4.1-mini,2,IV,1,yes,yes,1,1,1,1.0,0.25,0.4,0,0,3,3,0,4
gpt-4.1-mini,3,IV,1,yes,yes,1,1,1,1.0,1.0,1.0,0,0,0,0,1,4
gpt-4.1-mini,4,IV,1,no,no,1,1,1,1.0,1.0,1.0,0,0,0,0,1,4
gpt-4.1-mini,5,IV,1,yes,yes,1,1,1,1.0,1.0,1.0,0,0,0,0,1,4
gpt-4.1-mini,6,IV,2,no,no,1,1,1,0.6666666666666666,0.5,0.5714285714285715,0,1,2,3,0,4
gpt-4.1-mini,7,IV,2,no,no,1,1,1,0.5,0.25,0.3333333333333333,0,1,3,4,0,4
gpt-4.1-mini,8,IV,2,no,no,1,1,1,0.5,0.25,0.3333333333333333,0,1,3,4,0,4
gpt-4.1-mini,9,IV,2,yes,yes,1,1,1,1.0,1.0,1.0,0,0,0,0,1,4
gpt-4.1-mini,10,IV,2,no,no,1,1,1,0.5,0.25,0.3333333333333333,0,1,3,4,0,4
gpt-4.1-mini,11,IV,2,no,no,1,1,1,0.5,0.25,0.3333333333333333,0,1,3,4,0,4
gpt-4.1-mini,12,IV,3,no,no,1,1,1,1.0,1.0,1.0,0,0,0,0,1,4
gpt-4.1-mini,13,IV,3,no,no,1,1,1,1.0,1.0,1.0,0,0,0,0,1,4
gpt-4.1-mini,14,IV,3,yes,no,0,1,1,1.0,1.0,1.0,0,0,0,0,1,4
gpt-4.1-mini,15,IV,3,yes,no,0,1,1,1.0,1.0,1.0,0,0,0,0,1,4
gpt-4.1-mini,16,IV,3,no,yes,0,1,1,1.0,1.0,1.0,0,0,0,0,1,4
gpt-4.1-mini,17,IV,3,no,no,1,1,1,1.0,1.0,1.0,0,0,0,0,1,4
gpt-4.1-mini,18,arrowhead,1,no,no,1,1,1,1.0,0.2,0.33333333333333337,0,0,4,4,0,5
gpt-4.1-mini,19,arrowhead,1,no,no,1,1,1,1.0,0.2,0.33333333333333337,0,0,4,4,0,5
gpt-4.1-mini,20,arrowhead,1,no,no,1,1,1,1.0,0.2,0.33333333333333337,0,0,4,4,0,5
gpt-4.1-mini,21,arrowhead,1,no,no,1,1,1,1.0,0.2,0.33333333333333337,0,0,4,4,0,5
gpt-4.1-mini,22,arrowhead,1,no,no,1,1,1,1.0,0.2,0.33333333333333337,0,0,4,4,0,5
gpt-4.1-mini,23,arrowhead,1,yes,yes,1,1,1,1.0,0.2,0.33333333333333337,0,0,4,4,0,5
gpt-4.1-mini,24,arrowhead,2,no,yes,0,1,1,0.75,0.6,0.6666666666666665,1,0,1,2,0,5
gpt-4.1-mini,25,arrowhead,2,yes,yes,1,1,1,1.0,0.8,0.888888888888889,0,0,1,1,0,5
gpt-4.1-mini,26,arrowhead,2,yes,yes,1,1,1,1.0,0.2,0.33333333333333337,0,0,4,4,0,5
gpt-4.1-mini,27,arrowhead,2,yes,yes,1,1,1,1.0,0.2,0.33333333333333337,0,0,4,4,0,5
gpt-4.1-mini,28,arrowhead,2,yes,yes,1,1,1,1.0,0.2,0.33333333333333337,0,0,4,4,0,5
gpt-4.1-mini,29,arrowhead,2,no,no,1,1,1,1.0,0.6,0.7499999999999999,0,0,2,2,0,5
gpt-4.1-mini,30,arrowhead,3,no,no,1,1,1,1.0,1.0,1.0,0,0,0,0,1,5
gpt-4.1-mini,31,arrowhead,3,no,yes,0,1,1,1.0,0.8,0.888888888888889,0,0,1,1,0,5
gpt-4.1-mini,32,arrowhead,3,no,,0,0,1,1.0,0.8,0.888888888888889,0,0,1,1,0,5
gpt-4.1-mini,33,arrowhead,3,no,no,1,1,1,1.0,1.0,1.0,0,0,0,0,1,5
gpt-4.1-mini,34,arrowhead,3,no,no,1,1,1,1.0,0.6,0.7499999999999999,0,0,2,2,0,5
gpt-4.1-mini,35,arrowhead,3,yes,,0,0,1,1.0,0.6,0.7499999999999999,0,0,2,2,0,5
gpt-4.1-mini,36,chain,1,yes,no,0,1,0,0.0,0.0,0.0,0,0,2,2,0,2
gpt-4.1-mini,37,chain,1,yes,yes,1,1,0,0.0,0.0,0.0,0,0,2,2,0,2
gpt-4.1-mini,38,chain,1,yes,yes,1,1,1,0.0,0.0,0.0,0,1,2,3,0,2
gpt-4.1-mini,39,chain,1,no,no,1,1,0,0.0,0.0,0.0,0,0,2,2,0,2
gpt-4.1-mini,40,chain,1,no,no,1,1,1,0.0,0.0,0.0,0,1,2,3,0,2
gpt-4.1-mini,41,chain,1,yes,yes,1,1,1,1.0,1.0,1.0,0,0,0,0,1,2
gpt-4.1-mini,42,chain,2,no,no,1,1,1,1.0,1.0,1.0,0,0,0,0,1,2
gpt-4.1-mini,43,chain,2,no,no,1,1,1,1.0,1.0,1.0,0,0,0,0,1,2
gpt-4.1-mini,44,chain,2,no,no,1,1,1,0.0,0.0,0.0,0,1,2,3,0,2
gpt-4.1-mini,45,chain,2,no,no,1,1,1,1.0,1.0,1.0,0,0,0,0,1,2
gpt-4.1-mini,46,chain,2,no,no,1,1,1,1.0,1.0,1.0,0,0,0,0,1,2
gpt-4.1-mini,47,chain,2,no,no,1,1,1,0.0,0.0,0.0,0,1,2,3,0,2
gpt-4.1-mini,48,chain,3,no,no,1,1,1,0.5,0.5,0.5,0,1,1,2,0,2
gpt-4.1-mini,49,chain,3,yes,yes,1,1,1,0.0,0.0,0.0,0,1,2,3,0,2
gpt-4.1-mini,50,chain,3,yes,yes,1,1,1,0.0,0.0,0.0,0,1,2,3,0,2
gpt-4.1-mini,51,chain,3,yes,yes,1,1,1,0.5,0.5,0.5,0,1,1,2,0,2
gpt-4.1-mini,52,chain,3,no,no,1,1,0,0.0,0.0,0.0,0,0,2,2,0,2
gpt-4.1-mini,53,chain,3,yes,yes,1,1,1,0.0,0.0,0.0,0,1,2,3,0,2
gpt-4.1-mini,54,collision,1,yes,yes,1,1,1,0.3333333333333333,0.5,0.4,1,1,0,2,0,2
gpt-4.1-mini,55,collision,1,no,no,1,1,1,0.0,0.0,0.0,1,1,1,3,0,2
gpt-4.1-mini,56,collision,1,no,no,1,1,0,0.0,0.0,0.0,0,0,2,2,0,2
gpt-4.1-mini,57,collision,1,no,no,1,1,0,0.0,0.0,0.0,0,0,2,2,0,2
gpt-4.1-mini,58,collision,1,no,no,1,1,1,0.0,0.0,0.0,1,1,1,3,0,2
gpt-4.1-mini,59,collision,1,yes,yes,1,1,1,0.3333333333333333,0.5,0.4,1,1,0,2,0,2
gpt-4.1-mini,60,collision,2,no,no,1,1,1,1.0,1.0,1.0,0,0,0,0,1,2
gpt-4.1-mini,61,collision,2,yes,yes,1,1,1,1.0,1.0,1.0,0,0,0,0,1,2
gpt-4.1-mini,62,collision,2,no,no,1,1,1,1.0,0.5,0.6666666666666666,0,0,1,1,0,2
gpt-4.1-mini,63,collision,2,no,no,1,1,1,1.0,1.0,1.0,0,0,0,0,1,2
gpt-4.1-mini,64,collision,2,no,no,1,1,1,1.0,1.0,1.0,0,0,0,0,1,2
gpt-4.1-mini,65,collision,2,yes,no,0,1,1,1.0,1.0,1.0,0,0,0,0,1,2
gpt-4.1-mini,66,confounding,1,yes,yes,1,1,1,1.0,0.6666666666666666,0.8,0,0,1,1,0,3
gpt-4.1-mini,67,confounding,1,yes,yes,1,1,1,1.0,1.0,1.0,0,0,0,0,1,3
gpt-4.1-mini,68,confounding,1,no,no,1,1,1,1.0,0.3333333333333333,0.5,0,0,2,2,0,3
gpt-4.1-mini,69,confounding,1,yes,yes,1,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,0,0,1,0,3
