model,item,id,cond,graph_id,rung,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-4.1-nano,8,23255,DR_k2,IV,2,no,no,1,1,193,565,
gpt-4.1-nano,8,23255,FE_k2,IV,2,no,no,1,1,199,363,
gpt-4.1-nano,10,9466,ED_k2,IV,2,yes,yes,1,1,155,167,
gpt-4.1-nano,10,9466,DR_k1,IV,2,yes,yes,1,1,174,222,
gpt-4.1-nano,10,9466,ED_k1,IV,2,yes,yes,1,1,172,242,
gpt-4.1-nano,11,6674,PROSE,IV,2,no,no,1,1,167,3,
gpt-4.1-nano,11,6674,RAW,IV,2,no,no,1,1,129,3,
gpt-4.1-nano,11,6674,ORACLE,IV,2,no,no,1,1,182,256,
gpt-4.1-nano,9,4741,ED_k3,IV,2,no,no,1,1,172,188,
gpt-4.1-nano,9,4741,DR_k2,IV,2,no,no,1,1,187,428,
gpt-4.1-nano,9,4741,DR_k3,IV,2,no,no,1,1,193,429,
gpt-4.1-nano,10,9466,FE_k1,IV,2,yes,yes,1,1,177,336,
gpt-4.1-nano,10,9466,ED_k3,IV,2,yes,no,0,1,152,219,
gpt-4.1-nano,11,6674,DR_k3,IV,2,no,yes,0,1,178,328,
gpt-4.1-nano,9,4741,FE_k1,IV,2,no,no,1,1,197,435,
gpt-4.1-nano,12,15098,PROSE,IV,2,no,no,1,1,175,3,
gpt-4.1-nano,12,15098,RAW,IV,2,no,no,1,1,133,3,
gpt-4.1-nano,12,15098,ORACLE,IV,2,no,yes,0,1,191,195,
gpt-4.1-nano,9,4741,ED_k2,IV,2,no,no,1,1,182,428,
gpt-4.1-nano,11,6674,ED_k3,IV,2,no,no,1,1,157,114,
gpt-4.1-nano,11,6674,DR_k2,IV,2,no,yes,0,1,187,221,
gpt-4.1-nano,10,9466,FE_k2,IV,2,yes,yes,1,1,180,223,
gpt-4.1-nano,9,4741,DR_k1,IV,2,no,no,1,1,194,562,
gpt-4.1-nano,9,4741,FE_k2,IV,2,no,no,1,1,201,434,
gpt-4.1-nano,11,6674,FE_k1,IV,2,no,no,1,1,189,174,
gpt-4.1-nano,11,6674,ED_k2,IV,2,no,yes,0,1,167,249,
gpt-4.1-nano,13,24102,PROSE,IV,2,no,no,1,1,172,513,
gpt-4.1-nano,13,24102,RAW,IV,2,no,,0,0,139,700,
gpt-4.1-nano,13,24102,ORACLE,IV,2,no,no,1,1,187,700,
gpt-4.1-nano,11,6674,DR_k1,IV,2,no,yes,0,1,182,278,
gpt-4.1-nano,11,6674,ED_k1,IV,2,no,yes,0,1,179,202,
gpt-4.1-nano,13,24102,DR_k2,IV,2,no,no,1,1,187,534,
gpt-4.1-nano,12,15098,DR_k1,IV,2,no,yes,0,1,194,284,
gpt-4.1-nano,12,15098,DR_k2,IV,2,no,no,1,1,193,202,
gpt-4.1-nano,11,6674,FE_k2,IV,2,no,no,1,1,189,178,
gpt-4.1-nano,10,9466,DR_k2,IV,2,yes,yes,1,1,173,387,
gpt-4.1-nano,12,15098,FE_k2,IV,2,no,no,1,1,197,223,
gpt-4.1-nano,14,20181,PROSE,IV,3,no,no,1,1,163,601,
gpt-4.1-nano,14,20181,RAW,IV,3,no,no,1,1,125,290,
gpt-4.1-nano,14,20181,ORACLE,IV,3,no,yes,0,1,179,289,
gpt-4.1-nano,14,20181,DR_k1,IV,3,no,yes,0,1,171,485,
gpt-4.1-nano,12,15098,ED_k2,IV,2,no,yes,0,1,175,227,
gpt-4.1-nano,12,15098,DR_k3,IV,2,no,yes,0,1,193,308,
gpt-4.1-nano,12,15098,ED_k3,IV,2,no,yes,0,1,160,179,
gpt-4.1-nano,12,15098,FE_k1,IV,2,no,no,1,1,198,248,
gpt-4.1-nano,9,4741,ED_k1,IV,2,no,,0,0,185,700,
gpt-4.1-nano,12,15098,ED_k1,IV,2,no,yes,0,1,178,226,
gpt-4.1-nano,13,24102,ED_k3,IV,2,no,no,1,1,164,281,
gpt-4.1-nano,15,30671,PROSE,IV,3,yes,no,0,1,147,577,
gpt-4.1-nano,15,30671,RAW,IV,3,yes,yes,1,1,114,547,
gpt-4.1-nano,15,30671,ORACLE,IV,3,yes,no,0,1,162,392,
gpt-4.1-nano,15,30671,DR_k1,IV,3,yes,no,0,1,155,398,
gpt-4.1-nano,13,24102,DR_k3,IV,2,no,no,1,1,180,462,
gpt-4.1-nano,10,9466,DR_k3,IV,2,yes,no,0,1,173,418,
gpt-4.1-nano,13,24102,ED_k2,IV,2,no,no,1,1,174,475,
gpt-4.1-nano,13,24102,DR_k1,IV,2,no,no,1,1,187,548,
gpt-4.1-nano,14,20181,ED_k2,IV,3,no,no,1,1,156,274,
gpt-4.1-nano,14,20181,DR_k3,IV,3,no,no,1,1,183,345,
gpt-4.1-nano,14,20181,DR_k2,IV,3,no,no,1,1,178,483,
gpt-4.1-nano,16,20703,PROSE,IV,3,no,yes,0,1,164,176,
gpt-4.1-nano,16,20703,RAW,IV,3,no,no,1,1,122,519,
gpt-4.1-nano,16,20703,ORACLE,IV,3,no,yes,0,1,180,458,
gpt-4.1-nano,14,20181,FE_k1,IV,3,no,yes,0,1,184,286,
gpt-4.1-nano,14,20181,FE_k2,IV,3,no,yes,0,1,188,334,
gpt-4.1-nano,15,30671,ED_k2,IV,3,yes,yes,1,1,149,137,
gpt-4.1-nano,15,30671,DR_k2,IV,3,yes,no,0,1,162,403,
gpt-4.1-nano,13,24102,FE_k2,IV,2,no,no,1,1,193,700,
gpt-4.1-nano,13,24102,ED_k1,IV,2,no,,0,0,177,700,
gpt-4.1-nano,15,30671,ED_k3,IV,3,yes,yes,1,1,139,191,
gpt-4.1-nano,15,30671,DR_k3,IV,3,yes,yes,1,1,155,470,
gpt-4.1-nano,17,9728,PROSE,IV,3,yes,yes,1,1,174,392,
gpt-4.1-nano,17,9728,RAW,IV,3,yes,yes,1,1,137,168,
gpt-4.1-nano,17,9728,ORACLE,IV,3,yes,yes,1,1,189,449,
gpt-4.1-nano,14,20181,ED_k1,IV,3,no,no,1,1,169,334,
gpt-4.1-nano,6,18678,DR_k3,IV,1,yes,yes,1,1,164,413,
gpt-4.1-nano,15,30671,FE_k2,IV,3,yes,no,0,1,168,343,
gpt-4.1-nano,15,30671,FE_k1,IV,3,yes,no,0,1,165,301,
gpt-4.1-nano,13,24102,FE_k1,IV,2,no,,0,0,190,700,
gpt-4.1-nano,16,20703,DR_k1,IV,3,no,no,1,1,178,380,
gpt-4.1-nano,16,20703,DR_k2,IV,3,no,yes,0,1,182,428,
gpt-4.1-nano,16,20703,ED_k3,IV,3,no,yes,0,1,149,296,
gpt-4.1-nano,18,20132,PROSE,IV,3,no,yes,0,1,170,232,
gpt-4.1-nano,18,20132,RAW,IV,3,no,no,1,1,135,438,
gpt-4.1-nano,18,20132,ORACLE,IV,3,no,yes,0,1,185,416,
gpt-4.1-nano,18,20132,DR_k1,IV,3,no,yes,0,1,178,487,
gpt-4.1-nano,16,20703,ED_k1,IV,3,no,no,1,1,176,453,
gpt-4.1-nano,16,20703,DR_k3,IV,3,no,yes,0,1,182,386,
gpt-4.1-nano,18,20132,DR_k3,IV,3,no,no,1,1,191,322,
gpt-4.1-nano,17,9728,DR_k3,IV,3,yes,yes,1,1,188,384,
gpt-4.1-nano,17,9728,DR_k2,IV,3,yes,yes,1,1,195,398,
gpt-4.1-nano,16,20703,ED_k2,IV,3,no,yes,0,1,155,543,
gpt-4.1-nano,16,20703,FE_k1,IV,3,no,yes,0,1,183,552,
gpt-4.1-nano,19,9799,PROSE,IV,3,no,no,1,1,171,358,
gpt-4.1-nano,19,9799,RAW,IV,3,no,yes,0,1,133,214,
gpt-4.1-nano,19,9799,ORACLE,IV,3,no,no,1,1,186,337,
gpt-4.1-nano,19,9799,DR_k1,IV,3,no,no,1,1,186,298,
gpt-4.1-nano,17,9728,DR_k1,IV,3,yes,no,0,1,193,485,
gpt-4.1-nano,17,9728,ED_k1,IV,3,yes,yes,1,1,179,471,
gpt-4.1-nano,17,9728,ED_k2,IV,3,yes,yes,1,1,169,390,
gpt-4.1-nano,16,20703,FE_k2,IV,3,no,yes,0,1,190,409,
gpt-4.1-nano,17,9728,FE_k1,IV,3,yes,yes,1,1,196,449,
gpt-4.1-nano,19,9799,DR_k2,IV,3,no,no,1,1,191,359,
gpt-4.1-nano,18,20132,DR_k2,IV,3,no,yes,0,1,182,354,
gpt-4.1-nano,20,10050,PROSE,IV,3,yes,yes,1,1,143,167,
gpt-4.1-nano,20,10050,RAW,IV,3,yes,yes,1,1,115,280,
gpt-4.1-nano,20,10050,ORACLE,IV,3,yes,yes,1,1,158,289,
gpt-4.1-nano,18,20132,ED_k1,IV,3,no,yes,0,1,176,334,
gpt-4.1-nano,14,20181,ED_k3,IV,3,no,yes,0,1,150,354,
gpt-4.1-nano,20,10050,DR_k3,IV,3,yes,no,0,1,158,254,
gpt-4.1-nano,19,9799,ED_k3,IV,3,no,yes,0,1,162,234,
gpt-4.1-nano,18,20132,FE_k1,IV,3,no,yes,0,1,192,399,
gpt-4.1-nano,19,9799,ED_k1,IV,3,no,no,1,1,184,273,
gpt-4.1-nano,18,20132,FE_k2,IV,3,no,no,1,1,194,412,
gpt-4.1-nano,17,9728,FE_k2,IV,3,yes,yes,1,1,195,488,
gpt-4.1-nano,21,2536,PROSE,arrowhead,1,yes,yes,1,1,142,354,
gpt-4.1-nano,21,2536,RAW,arrowhead,1,yes,yes,1,1,113,297,
gpt-4.1-nano,21,2536,ORACLE,arrowhead,1,yes,yes,1,1,157,412,
gpt-4.1-nano,18,20132,ED_k2,IV,3,no,yes,0,1,173,515,
gpt-4.1-nano,21,2536,DR_k2,arrowhead,1,yes,yes,1,1,156,396,
gpt-4.1-nano,17,9728,ED_k3,IV,3,yes,yes,1,1,162,449,
gpt-4.1-nano,19,9799,ED_k2,IV,3,no,yes,0,1,175,306,
gpt-4.1-nano,20,10050,DR_k1,IV,3,yes,yes,1,1,158,298,
gpt-4.1-nano,19,9799,FE_k1,IV,3,no,yes,0,1,193,375,
gpt-4.1-nano,20,10050,ED_k2,IV,3,yes,yes,1,1,146,196,
gpt-4.1-nano,19,9799,DR_k3,IV,3,no,no,1,1,182,315,
gpt-4.1-nano,19,9799,FE_k2,IV,3,no,no,1,1,193,284,
gpt-4.1-nano,20,10050,DR_k2,IV,3,yes,no,0,1,158,343,
gpt-4.1-nano,20,10050,ED_k3,IV,3,yes,yes,1,1,138,131,
gpt-4.1-nano,22,2937,ORACLE,arrowhead,1,no,no,1,1,174,500,
gpt-4.1-nano,22,2937,DR_k2,arrowhead,1,no,no,1,1,176,490,
gpt-4.1-nano,22,2937,PROSE,arrowhead,1,no,no,1,1,159,283,
gpt-4.1-nano,22,2937,RAW,arrowhead,1,no,no,1,1,113,313,
gpt-4.1-nano,20,10050,ED_k1,IV,3,yes,no,0,1,156,266,
gpt-4.1-nano,18,20132,ED_k3,IV,3,no,no,1,1,164,688,
gpt-4.1-nano,23,29413,PROSE,arrowhead,1,yes,yes,1,1,146,369,
gpt-4.1-nano,23,29413,RAW,arrowhead,1,yes,yes,1,1,110,311,
gpt-4.1-nano,23,29413,ORACLE,arrowhead,1,yes,yes,1,1,161,312,
gpt-4.1-nano,20,10050,FE_k2,IV,3,yes,no,0,1,164,323,
gpt-4.1-nano,21,2536,ED_k3,arrowhead,1,yes,yes,1,1,145,248,
gpt-4.1-nano,20,10050,FE_k1,IV,3,yes,no,0,1,162,406,
gpt-4.1-nano,21,2536,ED_k1,arrowhead,1,yes,yes,1,1,148,269,
gpt-4.1-nano,21,2536,ED_k2,arrowhead,1,yes,yes,1,1,146,227,
gpt-4.1-nano,21,2536,DR_k1,arrowhead,1,yes,yes,1,1,157,379,
gpt-4.1-nano,21,2536,DR_k3,arrowhead,1,yes,yes,1,1,156,355,
gpt-4.1-nano,24,2359,PROSE,arrowhead,1,no,no,1,1,146,228,
gpt-4.1-nano,24,2359,RAW,arrowhead,1,no,no,1,1,111,435,
gpt-4.1-nano,24,2359,ORACLE,arrowhead,1,no,no,1,1,161,583,
gpt-4.1-nano,22,2937,ED_k3,arrowhead,1,no,no,1,1,154,286,
gpt-4.1-nano,22,2937,DR_k3,arrowhead,1,no,no,1,1,178,370,
gpt-4.1-nano,22,2937,ED_k1,arrowhead,1,no,no,1,1,169,499,
gpt-4.1-nano,22,2937,FE_k1,arrowhead,1,no,no,1,1,180,499,
gpt-4.1-nano,21,2536,FE_k1,arrowhead,1,yes,yes,1,1,159,411,
gpt-4.1-nano,22,2937,DR_k1,arrowhead,1,no,yes,0,1,175,529,
gpt-4.1-nano,23,29413,DR_k2,arrowhead,1,yes,yes,1,1,162,395,
gpt-4.1-nano,25,7733,PROSE,arrowhead,1,yes,yes,1,1,159,679,
gpt-4.1-nano,25,7733,RAW,arrowhead,1,yes,yes,1,1,113,331,
gpt-4.1-nano,25,7733,ORACLE,arrowhead,1,yes,yes,1,1,174,323,
gpt-4.1-nano,25,7733,DR_k1,arrowhead,1,yes,yes,1,1,173,320,
gpt-4.1-nano,25,7733,DR_k2,arrowhead,1,yes,no,0,1,178,564,
gpt-4.1-nano,23,29413,DR_k3,arrowhead,1,yes,yes,1,1,162,333,
gpt-4.1-nano,22,2937,ED_k2,arrowhead,1,no,no,1,1,158,566,
gpt-4.1-nano,23,29413,ED_k1,arrowhead,1,yes,no,0,1,158,402,
gpt-4.1-nano,23,29413,ED_k3,arrowhead,1,yes,yes,1,1,145,384,
gpt-4.1-nano,23,29413,DR_k1,arrowhead,1,yes,yes,1,1,161,403,
gpt-4.1-nano,23,29413,FE_k1,arrowhead,1,yes,yes,1,1,164,360,
gpt-4.1-nano,23,29413,ED_k2,arrowhead,1,yes,yes,1,1,148,461,
gpt-4.1-nano,26,4401,PROSE,arrowhead,1,no,no,1,1,141,700,
gpt-4.1-nano,26,4401,ORACLE,arrowhead,1,no,no,1,1,156,540,
gpt-4.1-nano,26,4401,RAW,arrowhead,1,no,no,1,1,110,361,
gpt-4.1-nano,24,2359,DR_k1,arrowhead,1,no,no,1,1,160,545,
gpt-4.1-nano,24,2359,DR_k3,arrowhead,1,no,no,1,1,160,470,
gpt-4.1-nano,24,2359,ED_k3,arrowhead,1,no,no,1,1,145,356,
gpt-4.1-nano,24,2359,ED_k1,arrowhead,1,no,no,1,1,158,529,
gpt-4.1-nano,15,30671,ED_k1,IV,3,yes,yes,1,1,152,322,
gpt-4.1-nano,27,18087,PROSE,arrowhead,1,yes,yes,1,1,165,263,
gpt-4.1-nano,27,18087,RAW,arrowhead,1,yes,yes,1,1,119,363,
gpt-4.1-nano,27,18087,ORACLE,arrowhead,1,yes,yes,1,1,180,329,
gpt-4.1-nano,25,7733,DR_k3,arrowhead,1,yes,yes,1,1,176,499,
gpt-4.1-nano,24,2359,FE_k1,arrowhead,1,no,no,1,1,163,572,
gpt-4.1-nano,24,2359,ED_k2,arrowhead,1,no,no,1,1,148,543,
gpt-4.1-nano,25,7733,ED_k1,arrowhead,1,yes,yes,1,1,169,482,
gpt-4.1-nano,25,7733,FE_k1,arrowhead,1,yes,yes,1,1,180,324,
gpt-4.1-nano,26,4401,DR_k1,arrowhead,1,no,no,1,1,156,441,
gpt-4.1-nano,24,2359,DR_k2,arrowhead,1,no,no,1,1,160,620,
gpt-4.1-nano,28,17600,PROSE,arrowhead,2,yes,yes,1,1,133,147,
gpt-4.1-nano,28,17600,RAW,arrowhead,2,yes,yes,1,1,101,49,
gpt-4.1-nano,28,17600,ORACLE,arrowhead,2,yes,yes,1,1,148,279,
gpt-4.1-nano,26,4401,DR_k2,arrowhead,1,no,no,1,1,156,481,
gpt-4.1-nano,25,7733,ED_k2,arrowhead,1,yes,no,0,1,157,527,
gpt-4.1-nano,26,4401,DR_k3,arrowhead,1,no,no,1,1,154,566,
gpt-4.1-nano,26,4401,ED_k1,arrowhead,1,no,no,1,1,153,484,
gpt-4.1-nano,27,18087,ED_k3,arrowhead,1,yes,yes,1,1,162,226,
gpt-4.1-nano,27,18087,ED_k2,arrowhead,1,yes,yes,1,1,162,295,
gpt-4.1-nano,25,7733,ED_k3,arrowhead,1,yes,yes,1,1,153,485,
gpt-4.1-nano,29,4113,PROSE,arrowhead,2,no,no,1,1,152,66,
gpt-4.1-nano,29,4113,RAW,arrowhead,2,no,no,1,1,108,61,
gpt-4.1-nano,29,4113,ORACLE,arrowhead,2,no,no,1,1,167,289,
gpt-4.1-nano,29,4113,DR_k1,arrowhead,2,no,no,1,1,167,247,
gpt-4.1-nano,28,17600,DR_k1,arrowhead,2,yes,yes,1,1,149,114,
gpt-4.1-nano,26,4401,FE_k1,arrowhead,1,no,no,1,1,158,480,
gpt-4.1-nano,27,18087,ED_k1,arrowhead,1,yes,yes,1,1,175,320,
gpt-4.1-nano,26,4401,ED_k2,arrowhead,1,no,no,1,1,145,656,
gpt-4.1-nano,26,4401,ED_k3,arrowhead,1,no,no,1,1,143,496,
gpt-4.1-nano,27,18087,DR_k3,arrowhead,1,yes,yes,1,1,183,475,
gpt-4.1-nano,30,2482,PROSE,arrowhead,2,yes,yes,1,1,132,102,
gpt-4.1-nano,30,2482,RAW,arrowhead,2,yes,yes,1,1,103,47,
gpt-4.1-nano,30,2482,ORACLE,arrowhead,2,yes,yes,1,1,147,138,
gpt-4.1-nano,28,17600,ED_k3,arrowhead,2,yes,yes,1,1,134,120,
gpt-4.1-nano,27,18087,DR_k1,arrowhead,1,yes,,0,0,179,700,
gpt-4.1-nano,29,4113,ED_k2,arrowhead,2,no,yes,0,1,150,117,
gpt-4.1-nano,27,18087,DR_k2,arrowhead,1,yes,yes,1,1,183,525,
gpt-4.1-nano,29,4113,ED_k3,arrowhead,2,no,no,1,1,145,111,
gpt-4.1-nano,28,17600,ED_k1,arrowhead,2,yes,yes,1,1,145,279,
gpt-4.1-nano,28,17600,ED_k2,arrowhead,2,yes,yes,1,1,137,221,
gpt-4.1-nano,28,17600,DR_k2,arrowhead,2,yes,yes,1,1,149,407,
gpt-4.1-nano,31,28517,RAW,arrowhead,2,no,no,1,1,129,3,
gpt-4.1-nano,31,28517,PROSE,arrowhead,2,no,no,1,1,165,3,
gpt-4.1-nano,31,28517,ORACLE,arrowhead,2,no,yes,0,1,180,240,
gpt-4.1-nano,31,28517,DR_k1,arrowhead,2,no,no,1,1,180,364,
gpt-4.1-nano,30,2482,DR_k1,arrowhead,2,yes,yes,1,1,146,131,
gpt-4.1-nano,29,4113,FE_k1,arrowhead,2,no,no,1,1,170,304,
gpt-4.1-nano,27,18087,FE_k1,arrowhead,1,yes,no,0,1,184,700,
gpt-4.1-nano,29,4113,ED_k1,arrowhead,2,no,no,1,1,164,344,
gpt-4.1-nano,29,4113,DR_k3,arrowhead,2,no,no,1,1,163,418,
gpt-4.1-nano,32,9160,PROSE,arrowhead,2,no,no,1,1,135,206,
gpt-4.1-nano,32,9160,RAW,arrowhead,2,no,no,1,1,104,119,
gpt-4.1-nano,32,9160,ORACLE,arrowhead,2,no,no,1,1,150,398,
gpt-4.1-nano,29,4113,DR_k2,arrowhead,2,no,no,1,1,164,446,
gpt-4.1-nano,30,2482,ED_k3,arrowhead,2,yes,yes,1,1,135,100,
gpt-4.1-nano,28,17600,DR_k3,arrowhead,2,yes,yes,1,1,148,458,
gpt-4.1-nano,30,2482,ED_k1,arrowhead,2,yes,yes,1,1,145,178,
gpt-4.1-nano,28,17600,FE_k1,arrowhead,2,yes,yes,1,1,150,486,
