model,item,cond,graph_id,rung,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-4.1-nano,47,RAW,collision,1,no,yes,0,1,99,173,
gpt-4.1-nano,47,PROSE,collision,1,no,yes,0,1,120,292,
gpt-4.1-nano,45,PROSE,collision,1,yes,no,0,1,177,700,
gpt-4.1-nano,46,DR_k1,collision,1,no,no,1,1,134,456,
gpt-4.1-nano,45,RAW,collision,1,yes,,0,0,154,700,
gpt-4.1-nano,50,RAW,collision,2,no,yes,0,1,100,182,
gpt-4.1-nano,45,DR_k1,collision,1,yes,,0,0,191,700,
gpt-4.1-nano,45,ORACLE,collision,1,yes,,0,0,192,700,
gpt-4.1-nano,44,RAW,chain,3,yes,yes,1,1,91,141,
gpt-4.1-nano,47,ORACLE,collision,1,no,no,1,1,135,248,
gpt-4.1-nano,42,PROSE,chain,3,no,no,1,1,111,132,
gpt-4.1-nano,49,ORACLE,collision,1,yes,no,0,1,135,299,
gpt-4.1-nano,49,PROSE,collision,1,yes,yes,1,1,120,199,
gpt-4.1-nano,51,RAW,collision,2,no,yes,0,1,77,68,
gpt-4.1-nano,49,DR_k1,collision,1,yes,no,0,1,135,298,
gpt-4.1-nano,51,PROSE,collision,2,no,yes,0,1,98,162,
gpt-4.1-nano,49,RAW,collision,1,yes,yes,1,1,99,288,
gpt-4.1-nano,51,DR_k1,collision,2,no,yes,0,1,113,107,
gpt-4.1-nano,50,DR_k1,collision,2,no,yes,0,1,136,274,
gpt-4.1-nano,50,PROSE,collision,2,no,no,1,1,122,369,
gpt-4.1-nano,52,RAW,collision,2,yes,yes,1,1,77,78,
gpt-4.1-nano,50,ORACLE,collision,2,no,no,1,1,137,241,
gpt-4.1-nano,48,RAW,collision,1,no,no,1,1,154,651,
gpt-4.1-nano,51,ORACLE,collision,2,no,no,1,1,113,236,
gpt-4.1-nano,53,ORACLE,collision,2,yes,yes,1,1,116,162,
gpt-4.1-nano,47,DR_k1,collision,1,no,no,1,1,135,436,
gpt-4.1-nano,52,PROSE,collision,2,yes,no,0,1,97,170,
gpt-4.1-nano,48,ORACLE,collision,1,no,,0,0,191,700,
gpt-4.1-nano,53,RAW,collision,2,yes,yes,1,1,78,58,
gpt-4.1-nano,54,RAW,collision,2,no,yes,0,1,78,94,
gpt-4.1-nano,48,DR_k1,collision,1,no,yes,0,1,191,655,
gpt-4.1-nano,52,DR_k1,collision,2,yes,no,0,1,112,191,
gpt-4.1-nano,48,PROSE,collision,1,no,,0,0,176,700,
gpt-4.1-nano,53,PROSE,collision,2,yes,no,0,1,101,221,
gpt-4.1-nano,52,ORACLE,collision,2,yes,yes,1,1,112,148,
gpt-4.1-nano,54,DR_k1,collision,2,no,yes,0,1,115,161,
gpt-4.1-nano,54,ORACLE,collision,2,no,no,1,1,116,198,
gpt-4.1-nano,54,PROSE,collision,2,no,no,1,1,101,320,
gpt-4.1-nano,56,RAW,confounding,1,yes,no,0,1,104,293,
gpt-4.1-nano,53,DR_k1,collision,2,yes,yes,1,1,115,205,
gpt-4.1-nano,55,ORACLE,confounding,1,yes,yes,1,1,138,421,
gpt-4.1-nano,56,DR_k1,confounding,1,yes,yes,1,1,145,374,
gpt-4.1-nano,56,ORACLE,confounding,1,yes,no,0,1,146,452,
gpt-4.1-nano,56,PROSE,confounding,1,yes,yes,1,1,131,447,
gpt-4.1-nano,57,RAW,confounding,1,yes,no,0,1,91,428,
gpt-4.1-nano,55,DR_k1,confounding,1,yes,no,0,1,137,664,
gpt-4.1-nano,60,ORACLE,confounding,2,yes,yes,1,1,141,224,
gpt-4.1-nano,57,DR_k1,confounding,1,yes,yes,1,1,131,458,
gpt-4.1-nano,59,RAW,confounding,1,no,no,1,1,99,145,
gpt-4.1-nano,57,ORACLE,confounding,1,yes,no,0,1,130,570,
gpt-4.1-nano,58,PROSE,confounding,1,no,no,1,1,114,526,
gpt-4.1-nano,58,DR_k1,confounding,1,no,yes,0,1,129,398,
gpt-4.1-nano,55,RAW,confounding,1,yes,no,0,1,96,700,
gpt-4.1-nano,57,PROSE,confounding,1,yes,yes,1,1,115,543,
gpt-4.1-nano,58,ORACLE,confounding,1,no,no,1,1,129,554,
gpt-4.1-nano,60,RAW,confounding,2,yes,yes,1,1,100,120,
gpt-4.1-nano,59,ORACLE,confounding,1,no,yes,0,1,138,248,
gpt-4.1-nano,59,PROSE,confounding,1,no,no,1,1,123,514,
gpt-4.1-nano,61,RAW,confounding,2,no,no,1,1,93,179,
gpt-4.1-nano,58,RAW,confounding,1,no,yes,0,1,91,569,
gpt-4.1-nano,55,PROSE,confounding,1,yes,,0,0,123,700,
gpt-4.1-nano,61,PROSE,confounding,2,no,no,1,1,117,165,
gpt-4.1-nano,64,ORACLE,confounding,2,yes,yes,1,1,141,224,
gpt-4.1-nano,64,RAW,confounding,2,yes,yes,1,1,100,120,
gpt-4.1-nano,60,PROSE,confounding,2,yes,yes,1,1,126,266,
gpt-4.1-nano,60,DR_k1,confounding,2,yes,yes,1,1,141,193,
gpt-4.1-nano,61,ORACLE,confounding,2,no,yes,0,1,132,220,
gpt-4.1-nano,61,DR_k1,confounding,2,no,yes,0,1,133,234,
gpt-4.1-nano,59,DR_k1,confounding,1,no,no,1,1,139,318,
gpt-4.1-nano,63,RAW,confounding,2,no,no,1,1,92,109,
gpt-4.1-nano,64,DR_k1,confounding,2,yes,no,0,1,141,192,
gpt-4.1-nano,63,DR_k1,confounding,2,no,no,1,1,131,217,
gpt-4.1-nano,63,ORACLE,confounding,2,no,no,1,1,131,214,
gpt-4.1-nano,64,PROSE,confounding,2,yes,yes,1,1,126,246,
gpt-4.1-nano,62,ORACLE,confounding,2,no,,0,0,195,700,
gpt-4.1-nano,63,PROSE,confounding,2,no,yes,0,1,115,142,
gpt-4.1-nano,62,RAW,confounding,2,no,,0,0,154,700,
gpt-4.1-nano,62,DR_k1,confounding,2,no,,0,0,194,700,
gpt-4.1-nano,62,PROSE,confounding,2,no,no,1,1,180,700,
gpt-4.1-nano,68,PROSE,confounding,3,no,no,1,1,106,188,
gpt-4.1-nano,68,RAW,confounding,3,no,no,1,1,83,162,
gpt-4.1-nano,65,PROSE,confounding,3,no,no,1,1,177,700,
gpt-4.1-nano,65,RAW,confounding,3,no,,0,0,154,700,
gpt-4.1-nano,66,RAW,confounding,3,yes,no,0,1,154,700,
gpt-4.1-nano,66,ORACLE,confounding,3,yes,,0,0,192,700,
gpt-4.1-nano,65,DR_k1,confounding,3,no,,0,0,192,700,
gpt-4.1-nano,68,DR_k1,confounding,3,no,no,1,1,121,242,
gpt-4.1-nano,66,DR_k1,confounding,3,yes,,0,0,192,700,
gpt-4.1-nano,67,PROSE,confounding,3,yes,,0,0,185,700,
gpt-4.1-nano,65,ORACLE,confounding,3,no,no,1,1,192,700,
gpt-4.1-nano,67,DR_k1,confounding,3,yes,no,0,1,199,564,
gpt-4.1-nano,70,PROSE,diamond,1,no,yes,0,1,135,191,
gpt-4.1-nano,66,PROSE,confounding,3,yes,no,0,1,177,700,
gpt-4.1-nano,70,DR_k1,diamond,1,no,yes,0,1,150,278,
gpt-4.1-nano,70,ORACLE,diamond,1,no,yes,0,1,150,315,
gpt-4.1-nano,67,RAW,confounding,3,yes,no,0,1,158,700,
gpt-4.1-nano,68,ORACLE,confounding,3,no,no,1,1,121,269,
gpt-4.1-nano,71,DR_k1,diamond,1,yes,no,0,1,140,383,
gpt-4.1-nano,69,RAW,confounding,3,yes,,0,0,154,700,
gpt-4.1-nano,71,ORACLE,diamond,1,yes,yes,1,1,139,433,
gpt-4.1-nano,69,ORACLE,confounding,3,yes,,0,0,195,700,
gpt-4.1-nano,71,RAW,diamond,1,yes,yes,1,1,91,365,
gpt-4.1-nano,69,PROSE,confounding,3,yes,no,0,1,180,700,
gpt-4.1-nano,67,ORACLE,confounding,3,yes,,0,0,200,700,
gpt-4.1-nano,69,DR_k1,confounding,3,yes,yes,1,1,194,692,
gpt-4.1-nano,70,RAW,diamond,1,no,yes,0,1,99,326,
gpt-4.1-nano,71,PROSE,diamond,1,yes,no,0,1,124,700,
gpt-4.1-nano,75,PROSE,diamond,2,yes,,0,0,123,14,
gpt-4.1-nano,72,DR_k1,diamond,1,yes,yes,1,1,144,310,
gpt-4.1-nano,75,RAW,diamond,2,yes,,0,0,89,16,
gpt-4.1-nano,72,RAW,diamond,1,yes,no,0,1,94,644,
gpt-4.1-nano,72,PROSE,diamond,1,yes,no,0,1,128,650,
gpt-4.1-nano,76,ORACLE,diamond,2,yes,,0,0,139,19,
gpt-4.1-nano,76,RAW,diamond,2,yes,no,0,1,89,115,
gpt-4.1-nano,72,ORACLE,diamond,1,yes,no,0,1,143,531,
gpt-4.1-nano,76,PROSE,diamond,2,yes,no,0,1,124,147,
gpt-4.1-nano,75,DR_k1,diamond,2,yes,yes,1,1,137,220,
gpt-4.1-nano,75,ORACLE,diamond,2,yes,yes,1,1,138,267,
gpt-4.1-nano,74,RAW,diamond,1,yes,no,0,1,91,476,
gpt-4.1-nano,77,RAW,diamond,2,no,,0,0,89,15,
gpt-4.1-nano,73,RAW,diamond,1,yes,no,0,1,91,607,
gpt-4.1-nano,74,DR_k1,diamond,1,yes,yes,1,1,140,469,
gpt-4.1-nano,78,RAW,diamond,2,no,,0,0,91,14,
gpt-4.1-nano,73,ORACLE,diamond,1,yes,yes,1,1,141,638,
gpt-4.1-nano,78,PROSE,diamond,2,no,,0,0,128,14,
gpt-4.1-nano,73,DR_k1,diamond,1,yes,yes,1,1,141,580,
gpt-4.1-nano,74,ORACLE,diamond,1,yes,no,0,1,140,380,
gpt-4.1-nano,79,RAW,diamond,2,no,yes,0,1,98,131,
gpt-4.1-nano,79,PROSE,diamond,2,no,no,1,1,131,145,
gpt-4.1-nano,80,PROSE,diamond,3,yes,,0,0,128,14,
gpt-4.1-nano,74,PROSE,diamond,1,yes,no,0,1,125,414,
gpt-4.1-nano,79,DR_k1,diamond,2,no,yes,0,1,146,180,
gpt-4.1-nano,77,PROSE,diamond,2,no,no,1,1,125,247,
gpt-4.1-nano,78,ORACLE,diamond,2,no,yes,0,1,143,379,
gpt-4.1-nano,73,PROSE,diamond,1,yes,no,0,1,126,700,
gpt-4.1-nano,79,ORACLE,diamond,2,no,yes,0,1,146,246,
gpt-4.1-nano,77,DR_k1,diamond,2,no,no,1,1,140,455,
gpt-4.1-nano,77,ORACLE,diamond,2,no,yes,0,1,140,397,
gpt-4.1-nano,81,RAW,diamond,3,yes,yes,1,1,77,77,
gpt-4.1-nano,76,DR_k1,diamond,2,yes,yes,1,1,138,332,
gpt-4.1-nano,82,RAW,diamond,3,no,,0,0,93,16,
gpt-4.1-nano,80,RAW,diamond,3,yes,no,0,1,91,397,
gpt-4.1-nano,83,PROSE,diamond,3,no,,0,0,122,13,
gpt-4.1-nano,81,DR_k1,diamond,3,yes,yes,1,1,126,111,
gpt-4.1-nano,82,PROSE,diamond,3,no,no,1,1,129,98,
gpt-4.1-nano,83,RAW,diamond,3,no,,0,0,89,14,
gpt-4.1-nano,84,RAW,diamond,3,yes,,0,0,91,16,
gpt-4.1-nano,78,DR_k1,diamond,2,no,yes,0,1,142,419,
gpt-4.1-nano,84,PROSE,diamond,3,yes,yes,1,1,129,73,
gpt-4.1-nano,81,ORACLE,diamond,3,yes,yes,1,1,126,102,
gpt-4.1-nano,81,PROSE,diamond,3,yes,yes,1,1,110,89,
gpt-4.1-nano,82,ORACLE,diamond,3,no,yes,0,1,144,166,
gpt-4.1-nano,83,DR_k1,diamond,3,no,yes,0,1,138,252,
gpt-4.1-nano,80,DR_k1,diamond,3,yes,no,0,1,143,407,
gpt-4.1-nano,85,PROSE,diamondcut,1,yes,yes,1,1,133,175,
gpt-4.1-nano,80,ORACLE,diamond,3,yes,yes,1,1,143,612,
gpt-4.1-nano,84,DR_k1,diamond,3,yes,yes,1,1,144,324,
gpt-4.1-nano,83,ORACLE,diamond,3,no,yes,0,1,137,279,
gpt-4.1-nano,82,DR_k1,diamond,3,no,yes,0,1,144,334,
gpt-4.1-nano,85,RAW,diamondcut,1,yes,yes,1,1,99,219,
gpt-4.1-nano,86,RAW,diamondcut,1,no,yes,0,1,99,264,
gpt-4.1-nano,84,ORACLE,diamond,3,yes,yes,1,1,144,244,
gpt-4.1-nano,86,PROSE,diamondcut,1,no,yes,0,1,133,219,
gpt-4.1-nano,86,DR_k1,diamondcut,1,no,yes,0,1,147,295,
gpt-4.1-nano,85,ORACLE,diamondcut,1,yes,yes,1,1,148,305,
gpt-4.1-nano,88,PROSE,diamondcut,1,no,yes,0,1,141,175,
gpt-4.1-nano,85,DR_k1,diamondcut,1,yes,yes,1,1,148,353,
gpt-4.1-nano,86,ORACLE,diamondcut,1,no,yes,0,1,148,394,
gpt-4.1-nano,89,RAW,diamondcut,1,yes,yes,1,1,99,152,
gpt-4.1-nano,88,RAW,diamondcut,1,no,yes,0,1,104,266,
gpt-4.1-nano,87,RAW,diamondcut,1,yes,no,0,1,91,435,
gpt-4.1-nano,88,ORACLE,diamondcut,1,no,yes,0,1,156,361,
gpt-4.1-nano,87,PROSE,diamondcut,1,yes,yes,1,1,126,667,
gpt-4.1-nano,87,ORACLE,diamondcut,1,yes,yes,1,1,141,580,
gpt-4.1-nano,87,DR_k1,diamondcut,1,yes,yes,1,1,142,517,
gpt-4.1-nano,89,PROSE,diamondcut,1,yes,no,0,1,134,508,
gpt-4.1-nano,89,DR_k1,diamondcut,1,yes,yes,1,1,150,374,
gpt-4.1-nano,89,ORACLE,diamondcut,1,yes,yes,1,1,149,461,
gpt-4.1-nano,88,DR_k1,diamondcut,1,no,no,1,1,156,341,
gpt-4.1-nano,93,PROSE,diamondcut,2,yes,no,0,1,132,3,
gpt-4.1-nano,90,RAW,diamondcut,2,yes,,0,0,150,700,
gpt-4.1-nano,93,RAW,diamondcut,2,yes,yes,1,1,98,99,
gpt-4.1-nano,91,PROSE,diamondcut,2,no,,0,0,184,700,
gpt-4.1-nano,90,ORACLE,diamondcut,2,yes,yes,1,1,198,497,
