item,story,mode,gold,n_nodes,has_data,used
26,"ajlk | bduo | mzbw | vlmn || AB,BC,BD,CD",FAKE,no,4,True,0
27,"alor | dzww | geer | tnkc || AD,BC,CD",FAKE,no,4,False,0
28,"the amount of sleep the night before the exam | the number of hours studied for an exam | the overall performance in the course | the score obtained on the exam || AB,AC,BD,CD",REAL,no,4,True,1
29,"ahlq | fekt | jzav | zpil || AB,AC,AD,BC,BD,CD",FAKE,no,4,True,0
30,"bdnv | llwq | ohtx | ybho || AB,AD,BC",FAKE,yes,4,True,0
31,"bftz | iemr | mcjs | ppux || AC,AD,BC,CD",FAKE,no,4,False,0
32,"amount of exercise | market demand | sales performance | wheather condition || AB,AC,AD,BD,CD",RANDOM,no,4,False,0
33,"employee performance | job satisfaction | rainfull | talent | wheather condition || AB,AE,BC,BD,CD,CE,DE",RANDOM,yes,5,True,0
34,"abcp | bdan | xuoo || AB,BC",FAKE,no,3,True,0
35,"hdqy | ivje | qmiv | uoeb || AB,AD,BD,CD",FAKE,no,4,False,0
36,"amount of exercise | job satisfaction | quality of teaching | stress level | wheather condition || AB,AD,BC,BE,CD,CE,DE",RANDOM,no,5,False,0
37,"customer satisfaction with a product | number of positive reviews for the product | revenue generated from the product | sales performance of the product || AB,AD,BC,CD",REAL,no,4,False,1
38,"air pressure | quality of teaching | sales performance | work-life balance || AB,AC,BD,CD",RANDOM,no,4,False,0
39,"mental health | severity of respiratory illnesses | talent | work-life balance || AB,AC,AD,BC,CD",RANDOM,no,4,False,0
40,"apearance | employee performance | mental health || AC,BC",RANDOM,no,3,True,0
41,"air pressure | quality of teaching | sales performance | work-life balance || AB,AC,BD,CD",RANDOM,no,4,True,0
42,"blood pressure | humidity level | severity of respiratory illnesses | wheather condition || AC,AD,BC",RANDOM,no,4,False,0
43,"air pressure | blood pressure | education level | severity of respiratory illnesses || AC,AD,BC,BD,CD",RANDOM,no,4,True,0
44,"education level | job satisfaction | rainfull | sales performance || AB,AC,AD,BC",RANDOM,yes,4,True,0
45,"lyht | lzwf | xlyn || AC,BC",FAKE,no,3,True,0
46,"whether a person eats a healthy diet | whether a person exercises regularly | whether a person has good cardiovascular health | whether a person maintains a healthy weight || AB,AD,BC,CD",REAL,no,4,True,1
47,"icux | mqrw | qeld | rztp || AC,AD,BC",FAKE,no,4,False,0
48,"exxp | hnzi | mlhx | ovlq | wtel || AC,BC,CD,ED",FAKE,no,5,False,0
49,"employee performance | job satisfaction | rainfull | talent | wheather condition || AB,AE,BC,BD,CD,CE,DE",RANDOM,no,5,False,0
50,"whether a person is exposed to a contagious disease | whether the person receives appropriate treatment | whether the person recovers from the disease | whether the person seeks medical attention | whether the person shows symptoms of the disease || AB,AE,BC,BD,CD,CE,DE",REAL,no,5,True,1
51,"employment status | happiness level | income | level of education || AB,AC,AD",REAL,no,4,False,1
52,"air pressure | blood pressure | education level | severity of respiratory illnesses || AC,AD,BC,BD,CD",RANDOM,yes,4,True,0
53,"apearance | quality of teaching | work-life balance || AB,AC",RANDOM,no,3,True,0
54,"education level | mental health | sales performance | talent || AB,AD,BC,CD",RANDOM,yes,4,True,0
55,"avtx | etyb | gmjc | wmpz || AD,BD,CD",FAKE,no,4,False,0
56,"air pressure | quality of teaching | sales performance | work-life balance || AB,AC,BD,CD",RANDOM,no,4,False,0
57,"amount of exercise | education level | humidity level | market demand | sales performance || AB,AD,AE,BC,BD,CD,CE",RANDOM,yes,5,True,0
58,"nvcm | sxxy | zavj || AB,BC",FAKE,yes,3,True,0
59,"azip | hfro | smik | zycs || AB,BC,BD,CD",FAKE,no,4,True,0
60,"amount of exercise | blood pressure | income level | quality of teaching || AB,BC,BD,CD",RANDOM,no,4,True,0
61,"fhbj | jlwb | ppvf | vsqg || AB,AC,AD,BC,BD",FAKE,yes,4,True,0
62,"dtdq | lkll | owxw | wmll || AB,AD,BC,CD",FAKE,no,4,False,0
63,"amount of exercise | body weight | caloric intake | overall health || AD,BC,CD",REAL,no,4,False,1
64,"the amount of sleep the night before the exam | the exam score | the number of hours studied for an exam || AC,BC",REAL,no,3,False,1
65,"crop yield | harvest quality | temperature | weather conditions || AC,AD,BC,BD,CD",REAL,yes,4,True,1
66,"a company | company expenses | company profit | company revenue || AB,AC,AD,BC",REAL,no,4,False,1
67,"first-born child | parent | second-born child | third-born child || AB,AC,AD,BC,BD",REAL,no,4,False,1
68,"amount of exercise | overall health status | physical fitness level || AB,BC",REAL,no,3,False,1
69,"patient's diet | patient's exercise habits | patient's life expectancy | patient's overall health | patient's stress levels || AD,BD,CD,DE",REAL,no,5,True,1
70,"gavm | gewg | rrch | vate || AB,AC,AD,BC,BD",FAKE,no,4,False,0
71,"the exam score | the number of hours spent sleeping the night before the exam | the number of hours spent studying for an exam || AC,BC",REAL,yes,3,True,1
72,"a person's education level | the person's income | the person's job title | the person's salary || AC,AD,BC",REAL,no,4,False,1
73,"aghu | izlq | jvyl | xewl | ydlu || AB,AD,AE,BC,BD,CD,CE",FAKE,no,5,False,0
74,"employee performance | mental health | stress level || AC,BC",RANDOM,no,3,False,0
75,"job performance rating | level of education | salary | years of work experience || AC,AD,BC,BD",REAL,yes,4,True,1
76,"ahpi | imah | lsrx | ojko || AB,AC,BD,CD",FAKE,no,4,True,0
77,"education level | happiness level | income level | job performance || AB,AC,BD,CD",REAL,no,4,True,1
78,"bkyd | enae | rzgq || AC,BC",FAKE,no,3,False,0
79,"the amount of exercise a person gets | the amount of sleep a person gets | the person's energy level | the person's overall health || AD,BC,CD",REAL,no,4,False,1
80,"ncyl | uooz | vxek | xprn || AB,AC,BC,BD",FAKE,no,4,False,0
81,"iykj | nptw | sgnl | tmex || AB,AD,BC,CD",FAKE,yes,4,True,0
82,"the amount of time spent studying | the final grade in the course | the level of understanding of the subject | the test score obtained || AB,AC,BC,BD,CD",REAL,yes,4,True,1
83,"the amount of sleep the night before the exam | the number of hours studied for an exam | the overall performance in the course | the score obtained on the exam || AB,AC,BD,CD",REAL,yes,4,True,1
84,"blood pressure | education level | government policies | rainfull | sales performance || AC,AE,BC,BD,CD,CE,DE",RANDOM,yes,5,True,0
85,"muin | tdsh | vgim || AB,AC",FAKE,yes,3,True,0
86,"dupa | fbzr | vfvq | xizv || AC,AD,BC",FAKE,no,4,True,0
87,"education level | mental health | physical health | wheather condition || AB,AD,BC,BD,CD",RANDOM,no,4,False,0
88,"sund | tavp | ujtl | wkhi || AB,AC,AD,BD,CD",FAKE,no,4,True,0
89,"employee performance | mental health | stress level || AC,BC",RANDOM,no,3,False,0
90,"government policies | physical health | rainfull | severity of respiratory illnesses || AC,AD,BC,BD",RANDOM,no,4,False,0
91,"government policies | income level | talent | work-life balance || AB,AC,AD,BC,CD",RANDOM,yes,4,True,0
92,"customer satisfaction | product quality | revenue | sales || AC,BC,CD",REAL,no,4,False,1
93,"htlq | vldf | zzdz || AC,BC",FAKE,no,3,False,0
94,"amount of trash left on the beach | number of people going to the beach | weather conditions || AB,AC,BC",REAL,no,3,False,1
95,"lyht | lzwf | xlyn || AC,BC",FAKE,no,3,True,0
96,"amount of rainfall | crop yield | soil moisture || AB,BC",REAL,no,3,False,1
97,"availability of alternative routes | road construction | traffic congestion | travel time to destination || AB,AC,AD,BD,CD",REAL,no,4,True,1
98,"amount of exercise | blood pressure | job satisfaction | rainfull || AB,AC,BC,CD",RANDOM,no,4,False,0
99,"job experience | job performance | level of education | salary || AB,AD,BC,BD,CD",REAL,yes,4,True,1
100,"eurf | yikq | zccw || AC,BC",FAKE,yes,3,True,0
101,"bcij | musg | qbfp | qmsx | xrdt || AB,AC,BC,BD,CD,DE",FAKE,no,5,False,0
102,"amount of exercise | employee performance | government policies | physical health || AB,AC,BD,CD",RANDOM,no,4,False,0
103,"a company | company expenses | company profit | company revenue || AB,AC,AD,BC",REAL,no,4,False,1
104,"amount of exercise | caloric intake | weight loss/gain || AC,BC",REAL,yes,3,True,1
105,"crop yield | economic growth | humidity level | profit of farmers | weather conditions || AB,AC,BC,BD,CD,DE",REAL,yes,5,True,1
106,"ferk | rekt | tfmi || AC,BC",FAKE,no,3,False,0
107,"amount of rainfall | crop yield | soil moisture level | weather conditions || AC,AD,BC,CD",REAL,yes,4,True,1
108,"amount of studying | grade in class | overall academic achievement | test performance || AB,BC,BD,CD",REAL,yes,4,True,1
109,"a manufacturing plant | the efficiency of the plant's machinery | the overall profitability of the plant | the production output of the plant || AB,AC,AD,BC,BD",REAL,no,4,True,1
110,"amount of rainfall | crop yield | groundwater level || AB,AC",REAL,no,3,False,1
111,"gibg | gqle | vwlo || AC,BC",FAKE,no,3,True,0
112,"eqln | jlbp | mwdq | watl || AB,AC,AD,BC,BD,CD",FAKE,no,4,False,0
113,"dcmi | gbyj | qkxc | qlzr || AB,AC,BD,CD",FAKE,no,4,False,0
114,"the availability of public transportation | the cost of fuel | the number of cars on the road || AC,BC",REAL,no,3,False,1
115,"alor | dzww | geer | tnkc || AD,BC,CD",FAKE,no,4,False,0
116,"patient's diet | patient's exercise habits | patient's life expectancy | patient's overall health | patient's stress levels || AD,BD,CD,DE",REAL,no,5,False,1
117,"dtdq | lkll | owxw | wmll || AB,AD,BC,CD",FAKE,no,4,False,0
118,"aemv | qftw | wurj | yglq || AB,AC,AD,BC,CD",FAKE,yes,4,True,0
119,"job satisfaction | sales performance | talent | traffic congestion || AB,BC,BD,CD",RANDOM,yes,4,True,0
120,"the amount of exercise a person does | the person's cardiovascular health | the person's immune system | the person's overall health | the person's respiratory health || AB,AD,BC,BE,CD,CE,DE",REAL,yes,5,True,1
121,"amount of exercise | education level | employee performance | physical health | temperature || AC,AE,BC,BE,CD,CE,DE",RANDOM,no,5,True,0
122,"job satisfaction | rainfull | stress level | traffic congestion || AB,AC,AD",RANDOM,no,4,False,0
123,"exxp | hnzi | mlhx | ovlq | wtel || AC,BC,CD,ED",FAKE,no,5,True,0
124,"blood pressure | stress level | temperature | work-life balance || AB,AC,BC,BD,CD",RANDOM,no,4,False,0
125,"the amount of rainfall in a region | the availability of water for irrigation | the crop yield in the region | the water level in a river || AB,AC,BC,BD,CD",REAL,no,4,False,1
126,"adyg | bqct | kvwx | nbzs || AC,BC,CD",FAKE,no,4,False,0
127,"arbu | eons | pgqh | smku || AC,AD,BC,CD",FAKE,no,4,False,0
128,"apearance | government policies | mental health | temperature || AD,BC,CD",RANDOM,yes,4,True,0
129,"amount of sunlight | crop quality | crop yield | weather conditions || AC,AD,BC,BD",REAL,no,4,False,1
130,"amount of exercise | physical health | quality of teaching | severity of respiratory illnesses || AD,BC,CD",RANDOM,no,4,False,0
131,"air pressure | rainfull | severity of respiratory illnesses | stress level || AC,BC,CD",RANDOM,no,4,False,0
132,"kbta | rebc | vtrq | ylaa || AB,AD,BC,BD,CD",FAKE,yes,4,True,0
133,"gqkb | rrej | uniw | vxat | zwyp || AB,AC,AD,BC,BD,BE,CD,DE",FAKE,no,5,False,0
134,"bkzf | fcun | mwcs | xmtp || AB,BC,BD",FAKE,no,4,True,0
135,"the grade achieved in an exam | the likelihood of getting a scholarship | the likelihood of getting admitted to a university | the number of hours spent studying || AB,BC,BD",REAL,no,4,False,1
136,"blood pressure | government policies | severity of respiratory illnesses | work-life balance || AD,BD,CD",RANDOM,no,4,False,0
137,"education level | government policies | severity of respiratory illnesses | temperature || AB,AC,AD,BC,BD,CD",RANDOM,yes,4,True,0
138,"bvzl | novl | pasq || AB,BC",FAKE,yes,3,True,0
139,"employment status | happiness level | income | level of education || AB,AC,AD",REAL,no,4,False,1
140,"amount of exercise | education level | employee performance | physical health | temperature || AC,AE,BC,BE,CD,CE,DE",RANDOM,yes,5,True,0
141,"amount of exercise | education level | employee performance | physical health | temperature || AC,AE,BC,BE,CD,CE,DE",RANDOM,yes,5,True,0
142,"education level | market demand | mental health | temperature || AB,AC,BC,BD",RANDOM,no,4,False,0
143,"alor | dzww | geer | tnkc || AD,BC,CD",FAKE,no,4,False,0
144,"adyg | bqct | kvwx | nbzs || AC,BC,CD",FAKE,no,4,False,0
145,"apearance | quality of teaching | work-life balance || AB,AC",RANDOM,no,3,False,0
146,"blood pressure | severity of respiratory illnesses | wheather condition || AC,BC",RANDOM,no,3,False,0
147,"htwb | jcwu | qguu | resg || AD,BD,CD",FAKE,no,4,False,0
148,"apearance | education level | humidity level | temperature || AB,BC,CD",RANDOM,no,4,True,0
149,"final grade in the class | number of hours of studying for a test | test score || AB,BC",REAL,yes,3,True,1
150,"aemv | qftw | wurj | yglq || AB,AC,AD,BC,CD",FAKE,no,4,False,0
151,"air pressure | job satisfaction | temperature | wheather condition || AB,AC,AD",RANDOM,yes,4,True,0
152,"customer satisfaction | product quality | revenue | sales || AC,BC,CD",REAL,no,4,True,1
153,"apearance | rainfull | temperature | traffic congestion || AB,AD,BC",RANDOM,no,4,True,0
154,"amount of exercise | blood pressure | income level | quality of teaching || AB,BC,BD,CD",RANDOM,no,4,True,0
155,"kuja | ntxj | ttck || AB,BC",FAKE,no,3,True,0
156,"government policies | market demand | quality of teaching || AB,AC",RANDOM,no,3,False,0
157,"the amount of sleep the student gets | the grade the student receives on a test | the number of hours a student studies | the overall academic performance of the student || AB,AD,BD,CD",REAL,yes,4,True,1
158,"aswt | tbxn | tlwo || AB,AC,BC",FAKE,yes,3,True,0
159,"apearance | education level | humidity level | temperature || AB,BC,CD",RANDOM,no,4,False,0
160,"axag | eyse | hsvu | tqrr | vgnx || AD,BD,CD,DE",FAKE,no,5,True,0
161,"htwb | jcwu | qguu | resg || AD,BD,CD",FAKE,no,4,False,0
162,"dhib | maiw | vean | zild || AB,AC,BC,CD",FAKE,no,4,False,0
163,"the final grade of the student | whether a student studies for an exam | whether the student is well-prepared | whether the student performs well on the exam | whether the student understands the material || AB,AC,AD,BC,BD,BE,CD,DE",REAL,no,5,True,1
164,"amount of sleep | exam score | number of hours studied || AC,BC",REAL,no,3,False,1
165,"credit score | income level | loan approval status | savings amount || AB,AC,AD,BD,CD",REAL,yes,4,True,1
166,"exxp | hnzi | mlhx | ovlq | wtel || AC,BC,CD,ED",FAKE,no,5,False,0
167,"air pressure | humidity level | sales performance | work-life balance || AC,AD,BC,CD",RANDOM,no,4,True,0
168,"education level | happiness level | income level | job performance || AB,AC,BD,CD",REAL,no,4,False,1
169,"ejwt | fguc | fywx | gecc | radw || AC,AE,BC,BE,CD,CE,DE",FAKE,no,5,False,0
170,"employee performance | mental health | stress level || AC,BC",RANDOM,no,3,True,0
171,"amount of exercise | blood pressure | job satisfaction | rainfull || AB,AC,BC,CD",RANDOM,no,4,True,0
172,"amount of exercise | blood pressure | income level | quality of teaching || AB,BC,BD,CD",RANDOM,no,4,False,0
173,"bjtk | clwv | dmfl | tvkj || AB,BC,CD",FAKE,no,4,False,0
174,"humidity level | stress level | talent || AC,BC",RANDOM,no,3,False,0
175,"humidity level | physical health | work-life balance || AB,BC",RANDOM,no,3,False,0
176,"exam score | grade in the course | number of hours studied || AB,BC",REAL,no,3,False,1
177,"azgg | lscu | zens | zgcj || AB,AC,AD,BD,CD",FAKE,no,4,False,0
178,"gqkb | rrej | uniw | vxat | zwyp || AB,AC,AD,BC,BD,BE,CD,DE",FAKE,yes,5,True,0
179,"jkcn | ogvr | piki | zgsl || AB,AC,BC,BD",FAKE,no,4,False,0
180,"ejwt | fguc | fywx | gecc | radw || AC,AE,BC,BE,CD,CE,DE",FAKE,no,5,False,0
181,"ahcp | etsq | fqyq | pcit || AB,AD,BD,CD",FAKE,no,4,False,0
182,"the final grade of the student | whether a student studies for an exam | whether the student is well-prepared | whether the student performs well on the exam | whether the student understands the material || AB,AC,AD,BC,BD,BE,CD,DE",REAL,no,5,True,1
183,"amount of exercise | market demand | sales performance | wheather condition || AB,AC,AD,BD,CD",RANDOM,no,4,False,0
184,"gavm | gewg | rrch | vate || AB,AC,AD,BC,BD",FAKE,no,4,False,0
185,"job experience | job performance | level of education | salary | skills proficiency || AB,AD,AE,BC,BD,CD,CE",REAL,no,5,True,1
186,"mental health | severity of respiratory illnesses | talent | work-life balance || AB,AC,AD,BC,CD",RANDOM,yes,4,True,0
187,"amount of exercise | apearance | employee performance | market demand || AB,AD,BC,CD",RANDOM,yes,4,True,0
188,"overall health condition | physical fitness level | time spent exercising || AB,AC",REAL,no,3,False,1
189,"a person's education level | a person's financial stability | a person's income | a person's job status || AB,AC,AD,BC",REAL,yes,4,True,1
190,"government policies | physical health | rainfull | severity of respiratory illnesses || AC,AD,BC,BD",RANDOM,no,4,True,0
191,"job experience | job performance | level of education | salary || AB,AD,BC,BD,CD",REAL,yes,4,True,1
192,"the amount of exercise a person does | the person's cardiovascular health | the person's immune system | the person's overall health | the person's respiratory health || AB,AD,BC,BE,CD,CE,DE",REAL,no,5,False,1
193,"amount of rainfall | crop yield | temperature | wind speed || AD,BD,CD",REAL,no,4,True,1
194,"job satisfaction | sales performance | talent | traffic congestion || AB,BC,BD",RANDOM,yes,4,True,0
195,"credit score | income level | loan approval status | savings amount || AB,AC,AD,BD,CD",REAL,no,4,False,1
196,"air pressure | job satisfaction | temperature | wheather condition || AB,AC,AD",RANDOM,no,4,False,0
197,"the grade achieved in an exam | the likelihood of getting a scholarship | the likelihood of getting admitted to a university | the number of hours spent studying || AB,BC,BD",REAL,no,4,True,1
198,"air pressure | physical health | sales performance | traffic congestion || AC,AD,BC",RANDOM,no,4,False,0
199,"adyg | bqct | kvwx | nbzs || AC,BC,CD",FAKE,no,4,False,0
200,"apearance | blood pressure | employee performance | job satisfaction || AB,AC,AD,BC,BD,CD",RANDOM,no,4,False,0
201,"sund | tavp | ujtl | wkhi || AB,AC,AD,BD,CD",FAKE,no,4,False,0
202,"humidity level | stress level | talent || AC,BC",RANDOM,yes,3,True,0
203,"amount of exercise | employee performance | government policies | physical health || AB,AC,BD,CD",RANDOM,no,4,False,0
204,"eosj | mffx | sozj | taaz || AB,BC,CD",FAKE,yes,4,True,0
205,"whether a person is exposed to a contagious disease | whether the person receives appropriate treatment | whether the person recovers from the disease | whether the person seeks medical attention | whether the person shows symptoms of the disease || AB,AE,BC,BD,CD,CE,DE",REAL,no,5,True,1
206,"job satisfaction | sales performance | talent | traffic congestion || AB,BC,BD,CD",RANDOM,yes,4,True,0
207,"ahpi | imah | lsrx | ojko || AB,AC,BD,CD",FAKE,no,4,False,0
208,"bhrz | tltd | ypil || AB,BC",FAKE,no,3,False,0
209,"gqkb | rrej | uniw | vxat | zwyp || AB,AC,AD,BC,BD,BE,CD,DE",FAKE,no,5,False,0
210,"cegl | jeie | mwcg || AB,AC,BC",FAKE,no,3,False,0
211,"blood pressure | education level | government policies | rainfull | sales performance || AC,AE,BC,BD,CD,CE,DE",RANDOM,no,5,True,0
212,"dliz | iipq | kyfi | uoni || AD,BC,CD",FAKE,no,4,True,0
213,"apearance | education level | humidity level | temperature || AB,BC,CD",RANDOM,no,4,False,0
214,"air pressure | apearance | education level || AB,BC",RANDOM,no,3,False,0
215,"crop yield | the amount of rainfall | the soil moisture level || AB,AC,BC",REAL,no,3,False,1
216,"air pressure | physical health | sales performance | traffic congestion || AC,AD,BC",RANDOM,no,4,False,0
217,"clzo | itsc | kyzr | vvae || AB,BC,BD",FAKE,no,4,True,0
218,"job experience | job performance | level of education | salary | skills proficiency || AB,AD,AE,BC,BD,CD,CE",REAL,no,5,True,1
219,"amount of exercise | employee performance | government policies | physical health || AB,AC,BD,CD",RANDOM,yes,4,True,0
220,"amount of rainfall | crop yield | soil moisture level | weather conditions || AC,AD,BC,CD",REAL,yes,4,True,1
221,"amdi | qlhq | wvif || AB,AC",FAKE,no,3,False,0
222,"job satisfaction | sales performance | talent | traffic congestion || AB,BC,BD",RANDOM,yes,4,True,0
223,"customer satisfaction with a product | number of positive reviews for the product | revenue generated from the product | sales performance of the product || AB,AD,BC,CD",REAL,no,4,False,1
224,"dupa | fbzr | vfvq | xizv || AC,AD,BC",FAKE,no,4,False,0
225,"axag | eyse | hsvu | tqrr | vgnx || AD,BD,CD,DE",FAKE,no,5,False,0
226,"the amount of exercise the person does | the amount of sleep a person gets | the overall health of the person | the productivity level of the person || AB,AD,BD,CD",REAL,no,4,True,1
227,"lyht | lzwf | xlyn || AC,BC",FAKE,no,3,False,0
228,"air pressure | government policies | wheather condition || AC,BC",RANDOM,no,3,False,0
229,"amount of exercise | body weight | caloric intake | overall health || AD,BC,CD",REAL,no,4,False,1
230,"exam score | grade in the course | number of hours studied for an exam || AB,AC,BC",REAL,yes,3,True,1
231,"the amount of time spent studying | the final grade in the course | the level of understanding of the subject | the test score obtained || AB,AC,BC,BD,CD",REAL,no,4,True,1
232,"humidity | precipitation | temperature | weather conditions || AB,AC,BC,BD",REAL,no,4,False,1
233,"oerx | tlqy | xtse | zqrx || AB,AC,BC,BD,CD",FAKE,no,4,False,0
234,"patient's diet | patient's exercise habits | patient's life expectancy | patient's overall health | patient's stress levels || AD,BD,CD,DE",REAL,yes,5,True,1
235,"availability of public transportation | traffic congestion | travel time to work || AB,AC,BC",REAL,no,3,False,1
236,"ceho | jvqa | lgwu || AB,AC,BC",FAKE,no,3,False,0
237,"access to medical facilities | education level | healthcare coverage | income level | overall health status || AC,AE,BC,BE,CD,CE,DE",REAL,yes,5,True,1
238,"mental health | severity of respiratory illnesses | talent | work-life balance || AB,AC,AD,BC,CD",RANDOM,no,4,True,0
239,"job satisfaction | sales performance | talent | wheather condition | work-life balance || AC,BC,CD,ED",RANDOM,yes,5,True,0
240,"amount of exercise | education level | employee performance | physical health | temperature || AC,AE,BC,BE,CD,CE,DE",RANDOM,no,5,False,0
241,"grade in the course | number of hours studied | overall gpa | test performance || AB,BC,CD",REAL,no,4,False,1
242,"the amount of rainfall in a region | the availability of water for irrigation | the crop yield in the region | the water level in a river || AB,AC,BC,BD,CD",REAL,no,4,True,1
243,"air pressure | physical health | temperature | wheather condition || AB,AC,AD,BD,CD",RANDOM,no,4,True,0
244,"the decision to bring an umbrella | the weather forecast | whether the person gets wet | whether the person stays dry || AB,BC,BD",REAL,yes,4,True,1
245,"axag | eyse | hsvu | tqrr | vgnx || AD,BD,CD,DE",FAKE,no,5,False,0
246,"htwb | jcwu | qguu | resg || AD,BD,CD",FAKE,no,4,False,0
247,"enck | mktt | oroo | tlxp || AB,AC,AD,BC",FAKE,no,4,False,0
248,"education level | mental health | rainfull || AB,BC",RANDOM,no,3,False,0
249,"lyht | lzwf | xlyn || AC,BC",FAKE,no,3,False,0
250,"exam score | grade received in the course | number of hours studied for an exam || AB,AC",REAL,no,3,False,1
251,"the amount of rainfall in a region | the availability of water for irrigation | the crop yield in the region | the water level in a river || AB,AC,BC,BD,CD",REAL,yes,4,True,1
252,"education level | government policies | severity of respiratory illnesses | temperature || AB,AC,AD,BC,BD,CD",RANDOM,yes,4,True,0
253,"employee performance | mental health | sales performance | traffic congestion || AB,AC,BC,BD,CD",RANDOM,yes,4,True,0
254,"the amount of sleep the night before the exam | the number of hours studied for an exam | the overall performance in the course | the score obtained on the exam || AB,AC,BD,CD",REAL,no,4,False,1
255,"ftog | jazt | kdns || AB,BC",FAKE,no,3,True,0
256,"amount of exercise | body weight | dietary habits | risk of developing chronic diseases || AC,BC,CD",REAL,no,4,False,1
257,"amount of exercise | physical health | quality of teaching | severity of respiratory illnesses || AD,BC,CD",RANDOM,yes,4,True,0
258,"amount of exercise | job satisfaction | quality of teaching | stress level | wheather condition || AB,AD,BC,BE,CD,CE,DE",RANDOM,no,5,False,0
259,"humidity | rainfall | temperature || AC,BC",REAL,no,3,True,1
260,"ahpi | imah | lsrx | ojko || AB,AC,BD,CD",FAKE,no,4,False,0
261,"education level | mental health | wheather condition || AB,BC",RANDOM,yes,3,True,0
262,"market demand | severity of respiratory illnesses | talent | temperature || AB,AD,BC,BD,CD",RANDOM,yes,4,True,0
263,"job experience | job performance | level of education | salary || AB,AD,BC,BD,CD",REAL,no,4,False,1
264,"blood pressure | humidity level | severity of respiratory illnesses | wheather condition || AC,AD,BC",RANDOM,yes,4,True,0
265,"aghu | izlq | jvyl | xewl | ydlu || AB,AD,AE,BC,BD,CD,CE",FAKE,yes,5,True,0
266,"mental health | severity of respiratory illnesses | talent | work-life balance || AB,AC,AD,BC,CD",RANDOM,yes,4,True,0
267,"amount of exercise | physical health | quality of teaching | severity of respiratory illnesses || AD,BC,CD",RANDOM,no,4,False,0
268,"apearance | rainfull | temperature | traffic congestion || AB,AD,BC",RANDOM,no,4,True,0
269,"the amount of exercise the person does | the amount of sleep a person gets | the overall health of the person | the productivity level of the person || AB,AD,BD,CD",REAL,yes,4,True,1
270,"education level | government policies | rainfull || AC,BC",RANDOM,yes,3,True,0
271,"apearance | blood pressure | job satisfaction | severity of respiratory illnesses | stress level || AB,AC,AD,BC,BD,BE,CD,DE",RANDOM,no,5,False,0
272,"amount of rainfall | crop yield | soil moisture level | weather conditions || AC,AD,BC,CD",REAL,no,4,True,1
273,"a manufacturing plant | the efficiency of the plant's machinery | the overall profitability of the plant | the production output of the plant || AB,AC,AD,BC,BD",REAL,yes,4,True,1
274,"education level | mental health | rainfull || AB,BC",RANDOM,no,3,True,0
275,"grade in the course | number of hours studied | overall gpa | test performance || AB,BC,CD",REAL,no,4,False,1
276,"mrwi | qyhw | zthn || AB,AC,BC",FAKE,yes,3,True,0
277,"government policies | temperature | wheather condition || AC,BC",RANDOM,no,3,False,0
278,"humidity level | stress level | talent || AC,BC",RANDOM,no,3,False,0
