model,item,cond,graph_id,rung,query_type,story_id,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-4.1-nano,6,FE_k1,IV,1,marginal,college_wage,PSEUDO,no,no,1,1,167,700,
gpt-4.1-nano,6,ED_k3,IV,1,marginal,college_wage,PSEUDO,no,no,1,1,141,700,
gpt-4.1-nano,6,ED_k2,IV,1,marginal,college_wage,PSEUDO,no,no,1,1,151,700,
gpt-4.1-nano,7,ED_k3,IV,1,correlation,water_cholera,PSEUDO,no,no,1,1,141,301,
gpt-4.1-nano,7,ED_k2,IV,1,correlation,water_cholera,PSEUDO,no,no,1,1,153,435,
gpt-4.1-nano,7,FE_k1,IV,1,correlation,water_cholera,PSEUDO,no,no,1,1,172,526,
gpt-4.1-nano,7,ED_k1,IV,1,correlation,water_cholera,PSEUDO,no,no,1,1,157,432,
gpt-4.1-nano,8,DR_k2,IV,1,correlation,price,PSEUDO,yes,yes,1,1,164,333,
gpt-4.1-nano,8,ORACLE,IV,1,correlation,price,PSEUDO,yes,yes,1,1,164,438,
gpt-4.1-nano,7,FE_k2,IV,1,correlation,water_cholera,PSEUDO,no,no,1,1,174,480,
gpt-4.1-nano,8,PROSE,IV,1,correlation,price,PSEUDO,yes,no,0,1,149,487,
gpt-4.1-nano,8,DR_k1,IV,1,correlation,price,PSEUDO,yes,yes,1,1,157,482,
gpt-4.1-nano,7,DR_k2,IV,1,correlation,water_cholera,PSEUDO,no,no,1,1,169,499,
gpt-4.1-nano,8,ED_k3,IV,1,correlation,price,PSEUDO,yes,yes,1,1,138,368,
gpt-4.1-nano,8,RAW,IV,1,correlation,price,PSEUDO,yes,,0,0,113,700,
gpt-4.1-nano,8,DR_k3,IV,1,correlation,price,PSEUDO,yes,yes,1,1,157,654,
gpt-4.1-nano,7,DR_k3,IV,1,correlation,water_cholera,PSEUDO,no,no,1,1,168,527,
gpt-4.1-nano,9,RAW,IV,1,correlation,tax_smoke_birthWeight,PSEUDO,yes,yes,1,1,114,343,
gpt-4.1-nano,8,ED_k1,IV,1,correlation,price,PSEUDO,yes,,0,0,160,700,
gpt-4.1-nano,9,PROSE,IV,1,correlation,tax_smoke_birthWeight,PSEUDO,yes,yes,1,1,150,431,
gpt-4.1-nano,9,ORACLE,IV,1,correlation,tax_smoke_birthWeight,PSEUDO,yes,yes,1,1,164,429,
gpt-4.1-nano,9,DR_k1,IV,1,correlation,tax_smoke_birthWeight,PSEUDO,yes,yes,1,1,157,407,
gpt-4.1-nano,9,DR_k3,IV,1,correlation,tax_smoke_birthWeight,PSEUDO,yes,yes,1,1,164,361,
gpt-4.1-nano,9,FE_k1,IV,1,correlation,tax_smoke_birthWeight,PSEUDO,yes,yes,1,1,167,370,
gpt-4.1-nano,9,DR_k2,IV,1,correlation,tax_smoke_birthWeight,PSEUDO,yes,yes,1,1,164,367,
gpt-4.1-nano,8,FE_k1,IV,1,correlation,price,PSEUDO,yes,yes,1,1,167,446,
gpt-4.1-nano,9,ED_k3,IV,1,correlation,tax_smoke_birthWeight,PSEUDO,yes,yes,1,1,139,390,
gpt-4.1-nano,8,FE_k2,IV,1,correlation,price,PSEUDO,yes,yes,1,1,171,469,
gpt-4.1-nano,8,ED_k2,IV,1,correlation,price,PSEUDO,yes,yes,1,1,150,423,
gpt-4.1-nano,9,ED_k1,IV,1,correlation,tax_smoke_birthWeight,PSEUDO,yes,yes,1,1,161,377,
gpt-4.1-nano,9,FE_k2,IV,1,correlation,tax_smoke_birthWeight,PSEUDO,yes,yes,1,1,171,415,
gpt-4.1-nano,10,RAW,IV,1,marginal,cholesterol,PSEUDO,no,no,1,1,121,554,
gpt-4.1-nano,9,ED_k2,IV,1,correlation,tax_smoke_birthWeight,PSEUDO,yes,yes,1,1,149,416,
gpt-4.1-nano,10,ORACLE,IV,1,marginal,cholesterol,PSEUDO,no,no,1,1,172,700,
gpt-4.1-nano,10,PROSE,IV,1,marginal,cholesterol,PSEUDO,no,no,1,1,157,700,
gpt-4.1-nano,10,ED_k1,IV,1,marginal,cholesterol,PSEUDO,no,no,1,1,169,608,
gpt-4.1-nano,10,FE_k1,IV,1,marginal,cholesterol,PSEUDO,no,no,1,1,176,573,
gpt-4.1-nano,10,DR_k2,IV,1,marginal,cholesterol,PSEUDO,no,no,1,1,171,700,
gpt-4.1-nano,10,ED_k2,IV,1,marginal,cholesterol,PSEUDO,no,no,1,1,158,700,
gpt-4.1-nano,10,DR_k3,IV,1,marginal,cholesterol,PSEUDO,no,no,1,1,173,648,
gpt-4.1-nano,10,FE_k2,IV,1,marginal,cholesterol,PSEUDO,no,no,1,1,179,692,
gpt-4.1-nano,11,DR_k2,IV,1,correlation,water_cholera,PSEUDO,yes,yes,1,1,165,445,
gpt-4.1-nano,10,ED_k3,IV,1,marginal,cholesterol,PSEUDO,no,no,1,1,147,457,
gpt-4.1-nano,11,DR_k1,IV,1,correlation,water_cholera,PSEUDO,yes,yes,1,1,157,432,
gpt-4.1-nano,11,PROSE,IV,1,correlation,water_cholera,PSEUDO,yes,yes,1,1,150,650,
gpt-4.1-nano,11,DR_k3,IV,1,correlation,water_cholera,PSEUDO,yes,yes,1,1,166,479,
gpt-4.1-nano,10,DR_k1,IV,1,marginal,cholesterol,PSEUDO,no,no,1,1,171,572,
gpt-4.1-nano,11,RAW,IV,1,correlation,water_cholera,PSEUDO,yes,yes,1,1,114,430,
gpt-4.1-nano,11,ED_k1,IV,1,correlation,water_cholera,PSEUDO,yes,yes,1,1,161,441,
gpt-4.1-nano,11,ORACLE,IV,1,correlation,water_cholera,PSEUDO,yes,yes,1,1,165,455,
gpt-4.1-nano,12,RAW,IV,1,correlation,cholesterol,PSEUDO,yes,no,0,1,111,322,
gpt-4.1-nano,11,ED_k2,IV,1,correlation,water_cholera,PSEUDO,yes,yes,1,1,151,477,
gpt-4.1-nano,12,ED_k2,IV,1,correlation,cholesterol,PSEUDO,yes,yes,1,1,147,329,
gpt-4.1-nano,11,FE_k1,IV,1,correlation,water_cholera,PSEUDO,yes,yes,1,1,168,458,
gpt-4.1-nano,11,FE_k2,IV,1,correlation,water_cholera,PSEUDO,yes,yes,1,1,171,465,
gpt-4.1-nano,12,ED_k1,IV,1,correlation,cholesterol,PSEUDO,yes,no,0,1,157,470,
gpt-4.1-nano,12,PROSE,IV,1,correlation,cholesterol,PSEUDO,yes,no,0,1,145,625,
gpt-4.1-nano,12,DR_k1,IV,1,correlation,cholesterol,PSEUDO,yes,yes,1,1,160,378,
gpt-4.1-nano,12,DR_k3,IV,1,correlation,cholesterol,PSEUDO,yes,yes,1,1,152,408,
gpt-4.1-nano,13,PROSE,IV,1,marginal,price,PSEUDO,yes,yes,1,1,154,270,
gpt-4.1-nano,12,ORACLE,IV,1,correlation,cholesterol,PSEUDO,yes,yes,1,1,160,493,
gpt-4.1-nano,11,ED_k3,IV,1,correlation,water_cholera,PSEUDO,yes,yes,1,1,141,468,
gpt-4.1-nano,12,ED_k3,IV,1,correlation,cholesterol,PSEUDO,yes,no,0,1,136,414,
gpt-4.1-nano,12,DR_k2,IV,1,correlation,cholesterol,PSEUDO,yes,yes,1,1,160,357,
gpt-4.1-nano,12,FE_k2,IV,1,correlation,cholesterol,PSEUDO,yes,yes,1,1,166,353,
gpt-4.1-nano,13,RAW,IV,1,marginal,price,PSEUDO,yes,yes,1,1,120,248,
gpt-4.1-nano,13,ORACLE,IV,1,marginal,price,PSEUDO,yes,yes,1,1,169,372,
gpt-4.1-nano,13,ED_k2,IV,1,marginal,price,PSEUDO,yes,yes,1,1,156,256,
gpt-4.1-nano,12,FE_k1,IV,1,correlation,cholesterol,PSEUDO,yes,no,0,1,163,553,
gpt-4.1-nano,13,DR_k1,IV,1,marginal,price,PSEUDO,yes,yes,1,1,169,371,
gpt-4.1-nano,13,ED_k1,IV,1,marginal,price,PSEUDO,yes,yes,1,1,158,279,
gpt-4.1-nano,13,ED_k3,IV,1,marginal,price,PSEUDO,yes,yes,1,1,145,287,
gpt-4.1-nano,13,DR_k2,IV,1,marginal,price,PSEUDO,yes,yes,1,1,169,349,
gpt-4.1-nano,14,RAW,IV,1,marginal,price,PSEUDO,no,no,1,1,121,297,
gpt-4.1-nano,14,PROSE,IV,1,marginal,price,PSEUDO,no,no,1,1,156,297,
gpt-4.1-nano,13,DR_k3,IV,1,marginal,price,PSEUDO,yes,yes,1,1,169,424,
gpt-4.1-nano,13,FE_k1,IV,1,marginal,price,PSEUDO,yes,yes,1,1,172,400,
gpt-4.1-nano,13,FE_k2,IV,1,marginal,price,PSEUDO,yes,yes,1,1,175,379,
gpt-4.1-nano,14,DR_k2,IV,1,marginal,price,PSEUDO,no,no,1,1,172,350,
gpt-4.1-nano,14,DR_k3,IV,1,marginal,price,PSEUDO,no,no,1,1,165,366,
gpt-4.1-nano,14,ORACLE,IV,1,marginal,price,PSEUDO,no,no,1,1,171,421,
gpt-4.1-nano,14,ED_k1,IV,1,marginal,price,PSEUDO,no,no,1,1,161,447,
gpt-4.1-nano,14,DR_k1,IV,1,marginal,price,PSEUDO,no,no,1,1,170,368,
gpt-4.1-nano,15,RAW,IV,1,correlation,cholesterol,PSEUDO,no,no,1,1,111,252,
gpt-4.1-nano,14,FE_k1,IV,1,marginal,price,PSEUDO,no,no,1,1,174,408,
gpt-4.1-nano,14,ED_k3,IV,1,marginal,price,PSEUDO,no,no,1,1,146,332,
gpt-4.1-nano,14,FE_k2,IV,1,marginal,price,PSEUDO,no,no,1,1,177,449,
gpt-4.1-nano,15,PROSE,IV,1,correlation,cholesterol,PSEUDO,no,no,1,1,146,452,
gpt-4.1-nano,15,ED_k2,IV,1,correlation,cholesterol,PSEUDO,no,no,1,1,146,403,
gpt-4.1-nano,15,DR_k1,IV,1,correlation,cholesterol,PSEUDO,no,no,1,1,161,434,
gpt-4.1-nano,14,ED_k2,IV,1,marginal,price,PSEUDO,no,no,1,1,157,335,
gpt-4.1-nano,15,ED_k3,IV,1,correlation,cholesterol,PSEUDO,no,no,1,1,137,387,
gpt-4.1-nano,15,DR_k3,IV,1,correlation,cholesterol,PSEUDO,no,no,1,1,161,438,
gpt-4.1-nano,15,FE_k1,IV,1,correlation,cholesterol,PSEUDO,no,no,1,1,164,436,
gpt-4.1-nano,15,ORACLE,IV,1,correlation,cholesterol,PSEUDO,no,no,1,1,161,371,
gpt-4.1-nano,15,DR_k2,IV,1,correlation,cholesterol,PSEUDO,no,no,1,1,152,412,
gpt-4.1-nano,15,ED_k1,IV,1,correlation,cholesterol,PSEUDO,no,no,1,1,158,375,
gpt-4.1-nano,16,RAW,IV,1,correlation,price,PSEUDO,yes,yes,1,1,111,244,
gpt-4.1-nano,15,FE_k2,IV,1,correlation,cholesterol,PSEUDO,no,no,1,1,167,463,
gpt-4.1-nano,16,ORACLE,IV,1,correlation,price,PSEUDO,yes,no,0,1,160,453,
gpt-4.1-nano,17,RAW,IV,1,correlation,cholesterol,PSEUDO,yes,yes,1,1,113,187,
gpt-4.1-nano,16,DR_k2,IV,1,correlation,price,PSEUDO,yes,no,0,1,153,510,
gpt-4.1-nano,16,ED_k1,IV,1,correlation,price,PSEUDO,yes,yes,1,1,157,348,
gpt-4.1-nano,16,ED_k3,IV,1,correlation,price,PSEUDO,yes,no,0,1,137,377,
gpt-4.1-nano,16,ED_k2,IV,1,correlation,price,PSEUDO,yes,no,0,1,140,399,
gpt-4.1-nano,16,DR_k1,IV,1,correlation,price,PSEUDO,yes,yes,1,1,153,411,
gpt-4.1-nano,16,PROSE,IV,1,correlation,price,PSEUDO,yes,,0,0,145,700,
gpt-4.1-nano,16,DR_k3,IV,1,correlation,price,PSEUDO,yes,yes,1,1,153,390,
gpt-4.1-nano,17,DR_k1,IV,1,correlation,cholesterol,PSEUDO,yes,yes,1,1,163,462,
gpt-4.1-nano,17,DR_k2,IV,1,correlation,cholesterol,PSEUDO,yes,yes,1,1,156,359,
gpt-4.1-nano,17,ED_k1,IV,1,correlation,cholesterol,PSEUDO,yes,yes,1,1,160,341,
gpt-4.1-nano,16,FE_k1,IV,1,correlation,price,PSEUDO,yes,yes,1,1,163,329,
gpt-4.1-nano,17,ED_k2,IV,1,correlation,cholesterol,PSEUDO,yes,yes,1,1,149,463,
gpt-4.1-nano,16,FE_k2,IV,1,correlation,price,PSEUDO,yes,yes,1,1,166,403,
gpt-4.1-nano,17,ED_k3,IV,1,correlation,cholesterol,PSEUDO,yes,yes,1,1,138,451,
gpt-4.1-nano,17,DR_k3,IV,1,correlation,cholesterol,PSEUDO,yes,yes,1,1,156,397,
gpt-4.1-nano,17,ORACLE,IV,1,correlation,cholesterol,PSEUDO,yes,yes,1,1,163,409,
gpt-4.1-nano,17,PROSE,IV,1,correlation,cholesterol,PSEUDO,yes,yes,1,1,148,496,
gpt-4.1-nano,17,FE_k2,IV,1,correlation,cholesterol,PSEUDO,yes,yes,1,1,170,406,
gpt-4.1-nano,17,FE_k1,IV,1,correlation,cholesterol,PSEUDO,yes,yes,1,1,167,518,
gpt-4.1-nano,19,PROSE,IV,2,backadj,price,PSEUDO,no,no,1,1,160,3,
gpt-4.1-nano,19,RAW,IV,2,backadj,price,PSEUDO,no,no,1,1,125,3,
gpt-4.1-nano,18,PROSE,IV,1,marginal,water_cholera,PSEUDO,no,no,1,1,164,478,
gpt-4.1-nano,18,DR_k1,IV,1,marginal,water_cholera,PSEUDO,no,no,1,1,170,474,
gpt-4.1-nano,18,ED_k2,IV,1,marginal,water_cholera,PSEUDO,no,no,1,1,164,338,
gpt-4.1-nano,18,ORACLE,IV,1,marginal,water_cholera,PSEUDO,no,no,1,1,179,454,
gpt-4.1-nano,18,RAW,IV,1,marginal,water_cholera,PSEUDO,no,no,1,1,125,384,
gpt-4.1-nano,18,ED_k1,IV,1,marginal,water_cholera,PSEUDO,no,no,1,1,175,428,
gpt-4.1-nano,19,DR_k2,IV,2,backadj,price,PSEUDO,no,no,1,1,175,155,
gpt-4.1-nano,18,DR_k3,IV,1,marginal,water_cholera,PSEUDO,no,no,1,1,178,537,
gpt-4.1-nano,19,DR_k1,IV,2,backadj,price,PSEUDO,no,no,1,1,167,257,
gpt-4.1-nano,19,ED_k3,IV,2,backadj,price,PSEUDO,no,yes,0,1,151,125,
gpt-4.1-nano,18,FE_k2,IV,1,marginal,water_cholera,PSEUDO,no,no,1,1,186,435,
gpt-4.1-nano,19,ORACLE,IV,2,backadj,price,PSEUDO,no,no,1,1,175,211,
gpt-4.1-nano,18,DR_k2,IV,1,marginal,water_cholera,PSEUDO,no,no,1,1,178,431,
gpt-4.1-nano,19,FE_k1,IV,2,backadj,price,PSEUDO,no,no,1,1,179,226,
gpt-4.1-nano,18,ED_k3,IV,1,marginal,water_cholera,PSEUDO,no,no,1,1,151,442,
gpt-4.1-nano,19,ED_k2,IV,2,backadj,price,PSEUDO,no,yes,0,1,161,180,
gpt-4.1-nano,18,FE_k1,IV,1,marginal,water_cholera,PSEUDO,no,no,1,1,183,455,
gpt-4.1-nano,19,ED_k1,IV,2,backadj,price,PSEUDO,no,no,1,1,172,244,
gpt-4.1-nano,20,RAW,IV,2,ate,price,PSEUDO,yes,yes,1,1,144,214,
gpt-4.1-nano,19,FE_k2,IV,2,backadj,price,PSEUDO,no,no,1,1,181,373,
gpt-4.1-nano,19,DR_k3,IV,2,backadj,price,PSEUDO,no,no,1,1,177,425,
gpt-4.1-nano,20,DR_k1,IV,2,ate,price,PSEUDO,yes,yes,1,1,195,240,
gpt-4.1-nano,20,FE_k2,IV,2,ate,price,PSEUDO,yes,yes,1,1,202,190,
gpt-4.1-nano,20,ED_k1,IV,2,ate,price,PSEUDO,yes,yes,1,1,184,229,
gpt-4.1-nano,20,ORACLE,IV,2,ate,price,PSEUDO,yes,yes,1,1,195,292,
gpt-4.1-nano,21,PROSE,IV,2,ate,tax_smoke_birthWeight,PSEUDO,no,no,1,1,170,288,
gpt-4.1-nano,20,DR_k3,IV,2,ate,price,PSEUDO,yes,yes,1,1,187,272,
gpt-4.1-nano,20,PROSE,IV,2,ate,price,PSEUDO,yes,yes,1,1,180,255,
gpt-4.1-nano,20,ED_k2,IV,2,ate,price,PSEUDO,yes,yes,1,1,180,235,
gpt-4.1-nano,20,ED_k3,IV,2,ate,price,PSEUDO,yes,no,0,1,170,209,
gpt-4.1-nano,20,DR_k2,IV,2,ate,price,PSEUDO,yes,yes,1,1,187,305,
gpt-4.1-nano,21,RAW,IV,2,ate,tax_smoke_birthWeight,PSEUDO,no,no,1,1,136,194,
gpt-4.1-nano,20,FE_k1,IV,2,ate,price,PSEUDO,yes,yes,1,1,198,283,
gpt-4.1-nano,22,RAW,IV,2,backadj,cholesterol,PSEUDO,no,no,1,1,125,3,
gpt-4.1-nano,22,PROSE,IV,2,backadj,cholesterol,PSEUDO,no,no,1,1,161,3,
gpt-4.1-nano,22,ORACLE,IV,2,backadj,cholesterol,PSEUDO,no,yes,0,1,176,164,
gpt-4.1-nano,21,ED_k3,IV,2,ate,tax_smoke_birthWeight,PSEUDO,no,no,1,1,162,193,
gpt-4.1-nano,22,DR_k2,IV,2,backadj,cholesterol,PSEUDO,no,yes,0,1,167,199,
gpt-4.1-nano,21,ED_k2,IV,2,ate,tax_smoke_birthWeight,PSEUDO,no,no,1,1,165,212,
gpt-4.1-nano,22,DR_k3,IV,2,backadj,cholesterol,PSEUDO,no,yes,0,1,167,269,
gpt-4.1-nano,21,DR_k1,IV,2,ate,tax_smoke_birthWeight,PSEUDO,no,no,1,1,186,429,
gpt-4.1-nano,21,ORACLE,IV,2,ate,tax_smoke_birthWeight,PSEUDO,no,no,1,1,185,458,
gpt-4.1-nano,22,ED_k1,IV,2,backadj,cholesterol,PSEUDO,no,no,1,1,165,193,
gpt-4.1-nano,22,ED_k2,IV,2,backadj,cholesterol,PSEUDO,no,yes,0,1,154,223,
gpt-4.1-nano,21,DR_k2,IV,2,ate,tax_smoke_birthWeight,PSEUDO,no,no,1,1,179,486,
gpt-4.1-nano,22,DR_k1,IV,2,backadj,cholesterol,PSEUDO,no,no,1,1,176,366,
gpt-4.1-nano,21,ED_k1,IV,2,ate,tax_smoke_birthWeight,PSEUDO,no,no,1,1,175,380,
gpt-4.1-nano,22,ED_k3,IV,2,backadj,cholesterol,PSEUDO,no,no,1,1,150,155,
gpt-4.1-nano,22,FE_k1,IV,2,backadj,cholesterol,PSEUDO,no,yes,0,1,179,301,
gpt-4.1-nano,22,FE_k2,IV,2,backadj,cholesterol,PSEUDO,no,no,1,1,182,226,
