question_id,graph_id,query_type,gia_tri_cong_bo,gia_tri_dung,nguong,nhan,nhan_di_theo
67112,arrowhead,nde,0.05420166321386266,-0.03644861045488085,0.0,yes,hong
67755,confounding,marginal,0.35734816570854944,0.591485128847552,0.5,yes,hong
67894,mediation,marginal,0.5220355978626847,0.4482335484984919,0.5,yes,hong
68157,arrowhead,ate,0.014420140474158183,-0.06856082745481296,0.0,no,hong
68163,arrowhead,nde,0.06171414022686905,-0.016202877215261924,0.0,no,hong
69221,arrowhead,ate,0.13337383491452742,-0.0002445699972077331,0.0,no,hong
69222,arrowhead,ett,0.13337383491452742,-0.00024456999720770013,0.0,no,dung
69224,arrowhead,nie,0.006608882454940124,-0.08152226128861834,0.0,yes,hong
69290,arrowhead,ate,-0.047202831713227755,0.0290341930650444,0.0,no,hong
69292,arrowhead,ett,-0.04720283171322803,0.02903419306504436,0.0,yes,dung
69308,arrowhead,nie,-0.0524498995589604,0.023623227183368845,0.0,no,hong
69340,arrowhead,marginal,0.5077058160319996,0.4817830628894417,0.5,yes,hong
70389,arrowhead,nde,-0.01336032703711676,0.011470025853509647,0.0,yes,hong
70400,arrowhead,nie,0.0053032895800034785,-0.00675248546264029,0.0,yes,hong
70674,diamondcut,marginal,0.5638941412901056,0.45142497045082186,0.5,yes,hong
71213,mediation,marginal,0.5039702079928429,0.41232459844274505,0.5,no,hong
71591,arrowhead,nie,-0.00795346763265481,0.001045622602033891,0.0,yes,hong
72374,mediation,marginal,0.43272923142186803,0.5245247757214074,0.5,no,hong
72375,mediation,marginal,0.43272923142186803,0.5245247757214074,0.5,yes,hong
72671,arrowhead,nde,0.002072755042749619,-0.1986031298479029,0.0,no,hong
