section,model,sample,lexicon,quantity,estimate_pp,ci_lo,ci_hi,p_boot,n_items
4 ladder,Llama 3.3 70B,n600 causal,RAW,IRRELEVANT -> PERMUTE,-0.7,-4.9,3.5,0.8145,286
4 ladder,Llama 3.3 70B,n600 causal,RAW,IRRELEVANT -> SYMBOL,-4.93,-9.51,-0.35,0.036,284
4 ladder,Llama 3.3 70B,n600 causal,RAW,SYMBOL -> PSEUDO,7.72,3.51,11.94,0.0005,285
4 ladder,Llama 3.3 70B,n600 causal,RAW,KEEP -> SYMBOL,12.9,7.17,18.64,0.0005,279
4 ladder,Llama 3.3 70B,n600 causal,RAW,KEEP -> PSEUDO,20.36,14.29,26.07,0.0005,280
4 ladder,Llama 3.3 70B,n600 causal,"RAW, cut-offs re-asked at 1500 tokens",KEEP -> IRRELEVANT,16.21,10.69,21.72,0.0005,290
4 ladder,Llama 3.3 70B,n600 causal,"RAW, cut-offs re-asked at 1500 tokens",IRRELEVANT -> PERMUTE,-0.69,-4.83,3.45,0.794,290
4 ladder,Llama 3.3 70B,n600 causal,"RAW, cut-offs re-asked at 1500 tokens",IRRELEVANT -> SYMBOL,-4.55,-8.74,0.0,0.0555,286
4 ladder,Llama 3.3 70B,n600 causal,"RAW, cut-offs re-asked at 1500 tokens",SYMBOL -> PSEUDO,7.64,3.12,12.15,0.0005,288
4 ladder,Llama 3.3 70B,n600 causal,"RAW, cut-offs re-asked at 1500 tokens",KEEP -> SYMBOL,12.15,6.94,17.71,0.0005,288
4 ladder,Llama 3.3 70B,n600 causal,"RAW, cut-offs re-asked at 1500 tokens",KEEP -> PSEUDO,19.86,14.04,25.68,0.0005,292
