item,family,query_type,cond,arm,k,estimand_unchanged,touches_causal_path,strict_unchanged,unchanged_qt
9,IV,correlation,ED_k3,ED,3,False,True,False,False
9,IV,correlation,FE_k1,FE,1,True,False,True,True
9,IV,correlation,FE_k2,FE,2,False,False,False,False
10,IV,marginal,DR_k1,DR,1,False,True,False,False
10,IV,marginal,DR_k2,DR,2,False,True,False,False
10,IV,marginal,DR_k3,DR,3,False,True,False,False
10,IV,marginal,ED_k1,ED,1,False,False,False,False
10,IV,marginal,ED_k2,ED,2,False,True,False,False
10,IV,marginal,ED_k3,ED,3,False,True,False,False
10,IV,marginal,FE_k1,FE,1,True,False,True,True
10,IV,marginal,FE_k2,FE,2,False,False,False,False
11,IV,correlation,DR_k1,DR,1,False,True,False,False
11,IV,correlation,DR_k2,DR,2,False,True,False,False
11,IV,correlation,DR_k3,DR,3,False,True,False,False
11,IV,correlation,ED_k1,ED,1,False,False,False,False
11,IV,correlation,ED_k2,ED,2,False,False,False,False
11,IV,correlation,ED_k3,ED,3,False,True,False,False
11,IV,correlation,FE_k1,FE,1,True,False,True,True
11,IV,correlation,FE_k2,FE,2,False,False,False,False
12,IV,correlation,DR_k1,DR,1,False,True,False,False
12,IV,correlation,DR_k2,DR,2,False,True,False,False
12,IV,correlation,DR_k3,DR,3,False,True,False,False
12,IV,correlation,ED_k1,ED,1,False,False,False,False
12,IV,correlation,ED_k2,ED,2,False,True,False,False
12,IV,correlation,ED_k3,ED,3,False,True,False,False
12,IV,correlation,FE_k1,FE,1,True,False,True,True
12,IV,correlation,FE_k2,FE,2,False,False,False,False
13,IV,marginal,DR_k1,DR,1,False,True,False,False
13,IV,marginal,DR_k2,DR,2,False,True,False,False
13,IV,marginal,DR_k3,DR,3,False,True,False,False
13,IV,marginal,ED_k1,ED,1,True,False,True,True
13,IV,marginal,ED_k2,ED,2,False,False,False,False
13,IV,marginal,ED_k3,ED,3,False,True,False,False
13,IV,marginal,FE_k1,FE,1,True,False,True,True
13,IV,marginal,FE_k2,FE,2,False,False,False,False
14,IV,marginal,DR_k1,DR,1,False,True,False,False
14,IV,marginal,DR_k2,DR,2,False,True,False,False
14,IV,marginal,DR_k3,DR,3,False,True,False,False
14,IV,marginal,ED_k1,ED,1,True,False,True,True
14,IV,marginal,ED_k2,ED,2,False,True,False,False
14,IV,marginal,ED_k3,ED,3,False,True,False,False
14,IV,marginal,FE_k1,FE,1,False,False,False,False
14,IV,marginal,FE_k2,FE,2,False,False,False,False
15,IV,correlation,DR_k1,DR,1,False,True,False,False
15,IV,correlation,DR_k2,DR,2,False,True,False,False
15,IV,correlation,DR_k3,DR,3,False,True,False,False
15,IV,correlation,ED_k1,ED,1,False,False,False,False
15,IV,correlation,ED_k2,ED,2,False,False,False,False
15,IV,correlation,ED_k3,ED,3,False,True,False,False
15,IV,correlation,FE_k1,FE,1,True,False,True,True
15,IV,correlation,FE_k2,FE,2,False,False,False,False
16,IV,correlation,DR_k1,DR,1,False,True,False,False
16,IV,correlation,DR_k2,DR,2,False,True,False,False
16,IV,correlation,DR_k3,DR,3,False,True,False,False
16,IV,correlation,ED_k1,ED,1,False,False,False,False
16,IV,correlation,ED_k2,ED,2,False,True,False,False
16,IV,correlation,ED_k3,ED,3,False,True,False,False
16,IV,correlation,FE_k1,FE,1,False,False,False,False
16,IV,correlation,FE_k2,FE,2,False,False,False,False
17,IV,correlation,DR_k1,DR,1,False,True,False,False
17,IV,correlation,DR_k2,DR,2,False,True,False,False
17,IV,correlation,DR_k3,DR,3,False,True,False,False
17,IV,correlation,ED_k1,ED,1,False,False,False,False
17,IV,correlation,ED_k2,ED,2,False,True,False,False
17,IV,correlation,ED_k3,ED,3,False,True,False,False
17,IV,correlation,FE_k1,FE,1,True,False,True,True
17,IV,correlation,FE_k2,FE,2,False,False,False,False
18,IV,marginal,DR_k1,DR,1,False,True,False,False
18,IV,marginal,DR_k2,DR,2,False,True,False,False
18,IV,marginal,DR_k3,DR,3,False,True,False,False
18,IV,marginal,ED_k1,ED,1,False,False,False,False
18,IV,marginal,ED_k2,ED,2,False,False,False,False
18,IV,marginal,ED_k3,ED,3,False,True,False,False
18,IV,marginal,FE_k1,FE,1,False,False,False,False
18,IV,marginal,FE_k2,FE,2,False,False,False,False
19,IV,backadj,DR_k1,DR,1,False,True,False,False
19,IV,backadj,DR_k2,DR,2,False,True,False,False
19,IV,backadj,DR_k3,DR,3,False,True,False,False
19,IV,backadj,ED_k1,ED,1,False,False,False,False
19,IV,backadj,ED_k2,ED,2,False,False,False,False
19,IV,backadj,ED_k3,ED,3,False,True,False,False
19,IV,backadj,FE_k1,FE,1,True,False,True,True
19,IV,backadj,FE_k2,FE,2,False,False,False,False
20,IV,ate,DR_k1,DR,1,False,True,False,False
20,IV,ate,DR_k2,DR,2,False,True,False,False
20,IV,ate,DR_k3,DR,3,False,True,False,False
20,IV,ate,ED_k1,ED,1,True,False,True,True
20,IV,ate,ED_k2,ED,2,False,False,False,False
20,IV,ate,ED_k3,ED,3,False,True,False,False
20,IV,ate,FE_k1,FE,1,True,False,True,True
20,IV,ate,FE_k2,FE,2,False,False,False,False
21,IV,ate,DR_k1,DR,1,False,True,False,False
21,IV,ate,DR_k2,DR,2,False,True,False,False
21,IV,ate,DR_k3,DR,3,False,True,False,False
21,IV,ate,ED_k1,ED,1,True,False,True,True
21,IV,ate,ED_k2,ED,2,False,True,False,False
21,IV,ate,ED_k3,ED,3,False,True,False,False
21,IV,ate,FE_k1,FE,1,True,False,True,True
21,IV,ate,FE_k2,FE,2,False,False,False,False
22,IV,backadj,DR_k1,DR,1,False,True,False,False
22,IV,backadj,DR_k2,DR,2,False,True,False,False
22,IV,backadj,DR_k3,DR,3,False,True,False,False
22,IV,backadj,ED_k1,ED,1,True,False,True,True
22,IV,backadj,ED_k2,ED,2,False,True,False,False
22,IV,backadj,ED_k3,ED,3,False,True,False,False
22,IV,backadj,FE_k1,FE,1,False,False,False,False
22,IV,backadj,FE_k2,FE,2,False,False,False,False
23,IV,ate,DR_k1,DR,1,False,True,False,False
23,IV,ate,DR_k2,DR,2,False,True,False,False
23,IV,ate,DR_k3,DR,3,False,True,False,False
23,IV,ate,ED_k1,ED,1,False,False,False,False
23,IV,ate,ED_k2,ED,2,False,True,False,False
23,IV,ate,ED_k3,ED,3,False,True,False,False
23,IV,ate,FE_k1,FE,1,False,False,False,False
23,IV,ate,FE_k2,FE,2,False,False,False,False
24,IV,ate,DR_k1,DR,1,False,True,False,False
24,IV,ate,DR_k2,DR,2,False,True,False,False
24,IV,ate,DR_k3,DR,3,False,True,False,False
24,IV,ate,ED_k1,ED,1,True,False,True,True
24,IV,ate,ED_k2,ED,2,False,True,False,False
24,IV,ate,ED_k3,ED,3,False,True,False,False
24,IV,ate,FE_k1,FE,1,True,False,True,True
24,IV,ate,FE_k2,FE,2,False,False,False,False
25,IV,backadj,DR_k1,DR,1,False,True,False,False
25,IV,backadj,DR_k2,DR,2,False,True,False,False
25,IV,backadj,DR_k3,DR,3,False,True,False,False
25,IV,backadj,ED_k1,ED,1,True,False,True,True
25,IV,backadj,ED_k2,ED,2,False,True,False,False
25,IV,backadj,ED_k3,ED,3,False,True,False,False
25,IV,backadj,FE_k1,FE,1,True,False,True,True
25,IV,backadj,FE_k2,FE,2,False,False,False,False
26,IV,ate,DR_k1,DR,1,False,True,False,False
26,IV,ate,DR_k2,DR,2,False,True,False,False
26,IV,ate,DR_k3,DR,3,False,True,False,False
26,IV,ate,ED_k1,ED,1,False,False,False,False
26,IV,ate,ED_k2,ED,2,False,True,False,False
26,IV,ate,ED_k3,ED,3,False,False,False,False
26,IV,ate,FE_k1,FE,1,True,False,True,True
26,IV,ate,FE_k2,FE,2,False,False,False,False
27,IV,backadj,DR_k1,DR,1,False,True,False,False
27,IV,backadj,DR_k2,DR,2,False,True,False,False
27,IV,backadj,DR_k3,DR,3,False,True,False,False
27,IV,backadj,ED_k1,ED,1,False,False,False,False
27,IV,backadj,ED_k2,ED,2,False,True,False,False
27,IV,backadj,ED_k3,ED,3,False,True,False,False
27,IV,backadj,FE_k1,FE,1,True,False,True,True
27,IV,backadj,FE_k2,FE,2,False,False,False,False
28,IV,backadj,DR_k1,DR,1,False,True,False,False
28,IV,backadj,DR_k2,DR,2,False,True,False,False
28,IV,backadj,DR_k3,DR,3,False,True,False,False
28,IV,backadj,ED_k1,ED,1,False,False,False,False
28,IV,backadj,ED_k2,ED,2,False,False,False,False
28,IV,backadj,ED_k3,ED,3,False,False,False,False
28,IV,backadj,FE_k1,FE,1,True,False,True,True
28,IV,backadj,FE_k2,FE,2,False,False,False,False
29,IV,ate,DR_k1,DR,1,False,True,False,False
29,IV,ate,DR_k2,DR,2,False,True,False,False
29,IV,ate,DR_k3,DR,3,False,True,False,False
29,IV,ate,ED_k1,ED,1,False,False,False,False
29,IV,ate,ED_k2,ED,2,False,False,False,False
29,IV,ate,ED_k3,ED,3,False,True,False,False
29,IV,ate,FE_k1,FE,1,True,False,True,True
29,IV,ate,FE_k2,FE,2,False,False,False,False
30,IV,backadj,DR_k1,DR,1,False,True,False,False
30,IV,backadj,DR_k2,DR,2,False,True,False,False
30,IV,backadj,DR_k3,DR,3,False,True,False,False
30,IV,backadj,ED_k1,ED,1,False,False,False,False
30,IV,backadj,ED_k2,ED,2,False,True,False,False
30,IV,backadj,ED_k3,ED,3,False,True,False,False
30,IV,backadj,FE_k1,FE,1,True,False,True,True
30,IV,backadj,FE_k2,FE,2,False,False,False,False
31,IV,backadj,DR_k1,DR,1,False,True,False,False
31,IV,backadj,DR_k2,DR,2,False,True,False,False
31,IV,backadj,DR_k3,DR,3,False,True,False,False
31,IV,backadj,ED_k1,ED,1,False,False,False,False
31,IV,backadj,ED_k2,ED,2,False,False,False,False
31,IV,backadj,ED_k3,ED,3,False,True,False,False
31,IV,backadj,FE_k1,FE,1,True,False,True,True
31,IV,backadj,FE_k2,FE,2,False,False,False,False
32,IV,ate,DR_k1,DR,1,False,True,False,False
32,IV,ate,DR_k2,DR,2,False,True,False,False
32,IV,ate,DR_k3,DR,3,False,True,False,False
32,IV,ate,ED_k1,ED,1,False,False,False,False
32,IV,ate,ED_k2,ED,2,False,True,False,False
32,IV,ate,ED_k3,ED,3,False,True,False,False
32,IV,ate,FE_k1,FE,1,True,False,True,True
32,IV,ate,FE_k2,FE,2,False,False,False,False
33,IV,ate,DR_k1,DR,1,False,True,False,False
33,IV,ate,DR_k2,DR,2,False,True,False,False
33,IV,ate,DR_k3,DR,3,False,True,False,False
33,IV,ate,ED_k1,ED,1,False,False,False,False
33,IV,ate,ED_k2,ED,2,False,True,False,False
33,IV,ate,ED_k3,ED,3,False,False,False,False
33,IV,ate,FE_k1,FE,1,True,False,True,True
33,IV,ate,FE_k2,FE,2,False,False,False,False
34,IV,ate,DR_k1,DR,1,False,True,False,False
34,IV,ate,DR_k2,DR,2,False,True,False,False
34,IV,ate,DR_k3,DR,3,False,True,False,False
34,IV,ate,ED_k1,ED,1,False,True,False,False
34,IV,ate,ED_k2,ED,2,False,True,False,False
34,IV,ate,ED_k3,ED,3,False,True,False,False
34,IV,ate,FE_k1,FE,1,False,False,False,False
34,IV,ate,FE_k2,FE,2,False,False,False,False
35,IV,ate,DR_k1,DR,1,False,True,False,False
35,IV,ate,DR_k2,DR,2,False,True,False,False
35,IV,ate,DR_k3,DR,3,False,True,False,False
35,IV,ate,ED_k1,ED,1,False,True,False,False
35,IV,ate,ED_k2,ED,2,False,False,False,False
35,IV,ate,ED_k3,ED,3,False,True,False,False
35,IV,ate,FE_k1,FE,1,False,False,False,False
35,IV,ate,FE_k2,FE,2,False,False,False,False
36,IV,backadj,DR_k1,DR,1,False,True,False,False
36,IV,backadj,DR_k2,DR,2,False,True,False,False
36,IV,backadj,DR_k3,DR,3,False,True,False,False
36,IV,backadj,ED_k1,ED,1,True,False,True,True
36,IV,backadj,ED_k2,ED,2,False,True,False,False
36,IV,backadj,ED_k3,ED,3,False,True,False,False
36,IV,backadj,FE_k1,FE,1,True,False,True,True
36,IV,backadj,FE_k2,FE,2,False,False,False,False
37,IV,ate,DR_k1,DR,1,False,True,False,False
37,IV,ate,DR_k2,DR,2,False,True,False,False
37,IV,ate,DR_k3,DR,3,False,True,False,False
37,IV,ate,ED_k1,ED,1,False,False,False,False
37,IV,ate,ED_k2,ED,2,False,True,False,False
37,IV,ate,ED_k3,ED,3,False,True,False,False
37,IV,ate,FE_k1,FE,1,False,False,False,False
37,IV,ate,FE_k2,FE,2,False,False,False,False
38,IV,det-counterfactual,DR_k1,DR,1,False,True,False,False
38,IV,det-counterfactual,DR_k2,DR,2,False,True,False,False
38,IV,det-counterfactual,DR_k3,DR,3,False,True,False,False
38,IV,det-counterfactual,ED_k1,ED,1,False,False,False,False
38,IV,det-counterfactual,ED_k2,ED,2,False,False,False,False
38,IV,det-counterfactual,ED_k3,ED,3,False,False,False,False
38,IV,det-counterfactual,FE_k1,FE,1,False,False,False,False
38,IV,det-counterfactual,FE_k2,FE,2,False,False,False,False
39,IV,det-counterfactual,DR_k1,DR,1,False,True,False,False
39,IV,det-counterfactual,DR_k2,DR,2,False,True,False,False
39,IV,det-counterfactual,DR_k3,DR,3,False,True,False,False
39,IV,det-counterfactual,ED_k1,ED,1,False,True,False,False
39,IV,det-counterfactual,ED_k2,ED,2,False,True,False,False
39,IV,det-counterfactual,ED_k3,ED,3,False,True,False,False
39,IV,det-counterfactual,FE_k1,FE,1,True,False,True,True
39,IV,det-counterfactual,FE_k2,FE,2,False,False,False,False
40,IV,det-counterfactual,DR_k1,DR,1,False,True,False,False
40,IV,det-counterfactual,DR_k2,DR,2,False,True,False,False
40,IV,det-counterfactual,DR_k3,DR,3,False,True,False,False
40,IV,det-counterfactual,ED_k1,ED,1,True,False,True,True
40,IV,det-counterfactual,ED_k2,ED,2,False,False,False,False
40,IV,det-counterfactual,ED_k3,ED,3,False,True,False,False
40,IV,det-counterfactual,FE_k1,FE,1,True,False,True,True
40,IV,det-counterfactual,FE_k2,FE,2,False,False,False,False
41,IV,det-counterfactual,DR_k1,DR,1,False,True,False,False
41,IV,det-counterfactual,DR_k2,DR,2,False,True,False,False
41,IV,det-counterfactual,DR_k3,DR,3,False,True,False,False
41,IV,det-counterfactual,ED_k1,ED,1,False,True,False,False
41,IV,det-counterfactual,ED_k2,ED,2,False,False,False,False
41,IV,det-counterfactual,ED_k3,ED,3,False,False,False,False
41,IV,det-counterfactual,FE_k1,FE,1,True,False,True,True
41,IV,det-counterfactual,FE_k2,FE,2,False,False,False,False
42,IV,det-counterfactual,DR_k1,DR,1,False,True,False,False
42,IV,det-counterfactual,DR_k2,DR,2,False,True,False,False
42,IV,det-counterfactual,DR_k3,DR,3,False,True,False,False
42,IV,det-counterfactual,ED_k1,ED,1,False,False,False,False
42,IV,det-counterfactual,ED_k2,ED,2,False,False,False,False
42,IV,det-counterfactual,ED_k3,ED,3,False,True,False,False
42,IV,det-counterfactual,FE_k1,FE,1,False,False,False,False
42,IV,det-counterfactual,FE_k2,FE,2,False,False,False,False
43,IV,det-counterfactual,DR_k1,DR,1,False,True,False,False
43,IV,det-counterfactual,DR_k2,DR,2,False,True,False,False
43,IV,det-counterfactual,DR_k3,DR,3,False,True,False,False
43,IV,det-counterfactual,ED_k1,ED,1,False,False,False,False
43,IV,det-counterfactual,ED_k2,ED,2,False,True,False,False
43,IV,det-counterfactual,ED_k3,ED,3,False,True,False,False
43,IV,det-counterfactual,FE_k1,FE,1,True,False,True,True
43,IV,det-counterfactual,FE_k2,FE,2,False,False,False,False
44,IV,det-counterfactual,DR_k1,DR,1,False,True,False,False
44,IV,det-counterfactual,DR_k2,DR,2,False,True,False,False
44,IV,det-counterfactual,DR_k3,DR,3,False,True,False,False
44,IV,det-counterfactual,ED_k1,ED,1,False,True,False,False
44,IV,det-counterfactual,ED_k2,ED,2,False,False,False,False
44,IV,det-counterfactual,ED_k3,ED,3,False,True,False,False
44,IV,det-counterfactual,FE_k1,FE,1,True,False,True,True
44,IV,det-counterfactual,FE_k2,FE,2,False,False,False,False
45,IV,det-counterfactual,DR_k1,DR,1,False,True,False,False
45,IV,det-counterfactual,DR_k2,DR,2,False,True,False,False
45,IV,det-counterfactual,DR_k3,DR,3,False,True,False,False
45,IV,det-counterfactual,ED_k1,ED,1,False,False,False,False
45,IV,det-counterfactual,ED_k2,ED,2,False,True,False,False
45,IV,det-counterfactual,ED_k3,ED,3,False,True,False,False
45,IV,det-counterfactual,FE_k1,FE,1,True,False,True,True
45,IV,det-counterfactual,FE_k2,FE,2,False,False,False,False
46,IV,det-counterfactual,DR_k1,DR,1,False,True,False,False
46,IV,det-counterfactual,DR_k2,DR,2,False,True,False,False
46,IV,det-counterfactual,DR_k3,DR,3,False,True,False,False
46,IV,det-counterfactual,ED_k1,ED,1,False,False,False,False
46,IV,det-counterfactual,ED_k2,ED,2,False,True,False,False
46,IV,det-counterfactual,ED_k3,ED,3,False,True,False,False
46,IV,det-counterfactual,FE_k1,FE,1,False,False,False,False
46,IV,det-counterfactual,FE_k2,FE,2,False,False,False,False
47,IV,det-counterfactual,DR_k1,DR,1,False,True,False,False
47,IV,det-counterfactual,DR_k2,DR,2,False,True,False,False
47,IV,det-counterfactual,DR_k3,DR,3,False,True,False,False
47,IV,det-counterfactual,ED_k1,ED,1,False,True,False,False
47,IV,det-counterfactual,ED_k2,ED,2,False,False,False,False
47,IV,det-counterfactual,ED_k3,ED,3,False,False,False,False
47,IV,det-counterfactual,FE_k1,FE,1,True,False,True,True
47,IV,det-counterfactual,FE_k2,FE,2,False,False,False,False
48,IV,det-counterfactual,DR_k1,DR,1,False,True,False,False
48,IV,det-counterfactual,DR_k2,DR,2,False,True,False,False
48,IV,det-counterfactual,DR_k3,DR,3,False,True,False,False
48,IV,det-counterfactual,ED_k1,ED,1,False,True,False,False
48,IV,det-counterfactual,ED_k2,ED,2,False,True,False,False
48,IV,det-counterfactual,ED_k3,ED,3,False,True,False,False
48,IV,det-counterfactual,FE_k1,FE,1,True,False,True,True
48,IV,det-counterfactual,FE_k2,FE,2,False,False,False,False
49,IV,det-counterfactual,DR_k1,DR,1,False,True,False,False
49,IV,det-counterfactual,DR_k2,DR,2,False,True,False,False
49,IV,det-counterfactual,DR_k3,DR,3,False,True,False,False
49,IV,det-counterfactual,ED_k1,ED,1,True,False,True,True
49,IV,det-counterfactual,ED_k2,ED,2,False,True,False,False
49,IV,det-counterfactual,ED_k3,ED,3,False,True,False,False
49,IV,det-counterfactual,FE_k1,FE,1,True,False,True,True
49,IV,det-counterfactual,FE_k2,FE,2,False,False,False,False
50,IV,det-counterfactual,DR_k1,DR,1,False,True,False,False
50,IV,det-counterfactual,DR_k2,DR,2,False,True,False,False
50,IV,det-counterfactual,DR_k3,DR,3,False,True,False,False
50,IV,det-counterfactual,ED_k1,ED,1,True,False,True,True
50,IV,det-counterfactual,ED_k2,ED,2,False,True,False,False
50,IV,det-counterfactual,ED_k3,ED,3,False,True,False,False
50,IV,det-counterfactual,FE_k1,FE,1,True,False,True,True
50,IV,det-counterfactual,FE_k2,FE,2,False,False,False,False
51,IV,det-counterfactual,DR_k1,DR,1,False,True,False,False
51,IV,det-counterfactual,DR_k2,DR,2,False,True,False,False
51,IV,det-counterfactual,DR_k3,DR,3,False,True,False,False
51,IV,det-counterfactual,ED_k1,ED,1,False,False,False,False
51,IV,det-counterfactual,ED_k2,ED,2,False,False,False,False
51,IV,det-counterfactual,ED_k3,ED,3,False,True,False,False
51,IV,det-counterfactual,FE_k1,FE,1,True,False,True,True
51,IV,det-counterfactual,FE_k2,FE,2,False,False,False,False
52,IV,det-counterfactual,DR_k1,DR,1,False,True,False,False
52,IV,det-counterfactual,DR_k2,DR,2,False,True,False,False
52,IV,det-counterfactual,DR_k3,DR,3,False,True,False,False
52,IV,det-counterfactual,ED_k1,ED,1,False,False,False,False
52,IV,det-counterfactual,ED_k2,ED,2,False,False,False,False
52,IV,det-counterfactual,ED_k3,ED,3,False,True,False,False
52,IV,det-counterfactual,FE_k1,FE,1,True,False,True,True
52,IV,det-counterfactual,FE_k2,FE,2,False,False,False,False
53,IV,det-counterfactual,DR_k1,DR,1,False,True,False,False
53,IV,det-counterfactual,DR_k2,DR,2,False,True,False,False
53,IV,det-counterfactual,DR_k3,DR,3,False,True,False,False
53,IV,det-counterfactual,ED_k1,ED,1,True,False,True,True
53,IV,det-counterfactual,ED_k2,ED,2,False,False,False,False
53,IV,det-counterfactual,ED_k3,ED,3,False,True,False,False
53,IV,det-counterfactual,FE_k1,FE,1,False,False,False,False
53,IV,det-counterfactual,FE_k2,FE,2,False,False,False,False
54,IV,det-counterfactual,DR_k1,DR,1,False,True,False,False
54,IV,det-counterfactual,DR_k2,DR,2,False,True,False,False
54,IV,det-counterfactual,DR_k3,DR,3,False,True,False,False
54,IV,det-counterfactual,ED_k1,ED,1,False,True,False,False
54,IV,det-counterfactual,ED_k2,ED,2,False,False,False,False
54,IV,det-counterfactual,ED_k3,ED,3,False,True,False,False
54,IV,det-counterfactual,FE_k1,FE,1,True,False,True,True
54,IV,det-counterfactual,FE_k2,FE,2,False,False,False,False
55,IV,det-counterfactual,DR_k1,DR,1,False,True,False,False
55,IV,det-counterfactual,DR_k2,DR,2,False,True,False,False
55,IV,det-counterfactual,DR_k3,DR,3,False,True,False,False
55,IV,det-counterfactual,ED_k1,ED,1,False,False,False,False
55,IV,det-counterfactual,ED_k2,ED,2,False,False,False,False
55,IV,det-counterfactual,ED_k3,ED,3,False,True,False,False
55,IV,det-counterfactual,FE_k1,FE,1,False,False,False,False
55,IV,det-counterfactual,FE_k2,FE,2,False,False,False,False
56,IV,det-counterfactual,DR_k1,DR,1,False,True,False,False
56,IV,det-counterfactual,DR_k2,DR,2,False,True,False,False
56,IV,det-counterfactual,DR_k3,DR,3,False,True,False,False
56,IV,det-counterfactual,ED_k1,ED,1,False,True,False,False
56,IV,det-counterfactual,ED_k2,ED,2,False,True,False,False
56,IV,det-counterfactual,ED_k3,ED,3,False,True,False,False
56,IV,det-counterfactual,FE_k1,FE,1,True,False,True,True
56,IV,det-counterfactual,FE_k2,FE,2,False,False,False,False
57,arrowhead,marginal,DR_k1,DR,1,False,True,False,False
57,arrowhead,marginal,DR_k2,DR,2,False,True,False,False
57,arrowhead,marginal,DR_k3,DR,3,False,True,False,False
57,arrowhead,marginal,ED_k1,ED,1,False,True,False,False
57,arrowhead,marginal,ED_k2,ED,2,False,True,False,False
57,arrowhead,marginal,ED_k3,ED,3,False,True,False,False
57,arrowhead,marginal,FE_k1,FE,1,False,False,False,False
58,arrowhead,correlation,DR_k1,DR,1,False,True,False,False
58,arrowhead,correlation,DR_k2,DR,2,False,True,False,False
58,arrowhead,correlation,DR_k3,DR,3,False,True,False,False
58,arrowhead,correlation,ED_k1,ED,1,True,True,False,True
58,arrowhead,correlation,ED_k2,ED,2,True,True,False,True
58,arrowhead,correlation,ED_k3,ED,3,False,True,False,False
58,arrowhead,correlation,FE_k1,FE,1,False,True,False,False
59,arrowhead,marginal,DR_k1,DR,1,False,True,False,False
59,arrowhead,marginal,DR_k2,DR,2,False,True,False,False
59,arrowhead,marginal,DR_k3,DR,3,False,True,False,False
59,arrowhead,marginal,ED_k1,ED,1,True,False,True,True
59,arrowhead,marginal,ED_k2,ED,2,False,True,False,False
